"","data","arimaforecasts","holtwintersforecasts"
"1",0.001,0.001,0.001
"2",0.001,0.001,0.001
"3",0.006,0.006,0.006
"4",0.006,0.006,0.006
"5",0.008,0.008,0.008
"6",0.008,0.008,0.008
"7",0.007,0.007,0.007
"8",0.007,0.007,0.007
"9",0.011,0.011,0.011
"10",0.011,0.011,0.011
"11",0.014,0.014,0.014
"12",0.014,0.014,0.014
"13",0.015,0.015,0.015
"14",0.015,0.015,0.015
"15",0.024,0.024,0.024
"16",0.024,0.024,0.024
"17",0.022,0.022,0.022
"18",0.022,0.022,0.022
"19",0.025,0.025,0.025
"20",0.025,0.025,0.025
"21",0.039,0.039,0.039
"22",0.039,0.039,0.039
"23",0.047,0.047,0.047
"24",0.047,0.047,0.047
"25",0.055,0.055,0.055
"26",0.055,0.055,0.055
"27",0.106,0.106,0.106
"28",0.106,0.106,0.106
"29",0.109,0.109,0.109
"30",0.109,0.109,0.109
"31",0.13,0.136778732690208,0.178726961752826
"32",0.13,0.137134475389097,0.175544571350035
"33",0.231,0.333379349354493,0.286432485455198
"34",0.231,0.35793412736967,0.348183588596856
"35",0.242,0.24591876627231,0.391495412940695
"36",0.242,0.24615668568676,0.400577823112126
"37",0.248,0.250163077724639,0.320758582887474
"38",0.248,0.250296707655318,0.303200522841244
"39",0.329,0.361016710739213,0.405789855757973
"40",0.329,0.363276360390372,0.420512015770281
"41",0.353,0.362401785016653,0.450028988604705
"42",0.353,0.363056856998707,0.446034100798865
"43",0.376,0.385651452734766,0.457315661766112
"44",0.376,0.386393226335425,0.449363143426322
"45",0.45,0.488771277745185,0.504755547051135
"46",0.45,0.49282345746686,0.535290198461673
"47",0.487,0.50788394639842,0.589840024489439
"48",0.487,0.510295874538997,0.606186258972042
"49",0.511,0.525075662505817,0.628497640389816
"50",0.511,0.526786017180813,0.585081761862488
"51",0.585,0.634151186132983,0.680217061091835
"52",0.585,0.641174287936469,0.698060275374804
"53",0.6,0.608881355253692,0.719783355900374
"54",0.6,0.60997416266057,0.723638160367703
"55",0.61,0.616316270207058,0.706862149258061
"56",0.61,0.617162011189873,0.676554119973503
"57",0.678,0.722520785308148,0.757101367126571
"58",0.678,0.728765780183345,0.772642435495801
"59",0.731,0.769950832092424,0.831199516278524
"60",0.731,0.776279620226603,0.844000000000001
"61",0.778,0.824509766729325,0.887629576026213
"62",0.778,0.835355254118,0.872866407876754
"63",0.834,0.892182101530145,0.959892796592762
"64",0.834,0.906542895778294,0.956062510038592
"65",0.882,0.93369395845548,1.01087904336923
"66",0.882,0.946994115296005,1.01344151936779
"67",0.846,0.806330554713201,0.948831701515382
"68",0.846,0.795852021090661,0.797479202368248
"69",0.721,0.571140570526947,0.3351148436618
"70",0.721,0.527583583377063,0.429703276197239
"71",0.924,0.915470426825053,0.961005233784388
"72",0.924,0.915470388196077,1.03699597298122
"73",0.938,0.937837944915603,1.00668985638962
"74",0.938,0.9378379403533,1.02340773067412
"75",0.961,0.960077080835405,1.02054963742645
"76",0.961,0.960077079381763,1.05993814301343
"77",0.978,0.977217614498468,1.03184724769633
"78",0.978,0.977217607806541,1.10120120093282
"79",0.968,0.96873386211788,1.01178562843176
"80",0.968,0.968733867267814,1.00783008411189
"81",0.949,0.950622689129062,0.972564397795017
"82",0.949,0.950622692855172,1.0256711434506
"83",0.914,0.916750829553304,0.923393726512955
"84",0.914,0.914,0.914
