_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-09-20:36:00	edge-8vsjk	13.0	4.07232512E8	0.9822499752044678	600.0	1794.0	19893.0	10600.0	58829.0	
2017-04-09-20:36:00	edge-8vsjk	13.0	4.07232512E8	0.9822499752044678	600.0	1794.0	19893.0	10600.0	58829.0	
2017-04-09-20:35:00	edge-8vsjk	18.0	4.07461888E8	0.9877499938011169	600.0	1763.0	19532.0	10600.0	58829.0	
2017-04-09-20:35:00	edge-8vsjk	18.0	4.07461888E8	0.9877499938011169	600.0	1763.0	19532.0	10600.0	58829.0	
2017-04-09-20:34:00	edge-8vsjk	5.0	4.08395776E8	0.9860000014305115	600.0	1763.0	19518.0	10600.0	58829.0	
2017-04-09-20:34:00	edge-8vsjk	5.0	4.08395776E8	0.9860000014305115	600.0	1763.0	19518.0	10600.0	58829.0	
2017-04-09-20:33:00	edge-8vsjk	9.0	4.0853504E8	0.9850000143051147	600.0	1726.0	19337.0	10600.0	58829.0	
2017-04-09-20:33:00	edge-8vsjk	9.0	4.0853504E8	0.9850000143051147	600.0	1726.0	19337.0	10600.0	58829.0	
2017-04-09-20:32:00	edge-8vsjk	10.0	4.086784E8	0.9857500195503235	600.0	1682.0	19164.0	10600.0	58829.0	
2017-04-09-20:32:00	edge-8vsjk	10.0	4.086784E8	0.9857500195503235	600.0	1682.0	19164.0	10600.0	58829.0	
2017-04-09-20:31:00	edge-8vsjk	11.0	4.13626368E8	0.9877499938011169	600.0	1666.0	18909.0	10600.0	58829.0	
2017-04-09-20:31:00	edge-8vsjk	11.0	4.13626368E8	0.9877499938011169	600.0	1666.0	18909.0	10600.0	58829.0	
2017-04-09-20:30:00	edge-8vsjk	4.0	4.14674944E8	0.9879999756813049	600.0	1666.0	18905.0	10600.0	58829.0	
2017-04-09-20:30:00	edge-8vsjk	4.0	4.14674944E8	0.9879999756813049	600.0	1666.0	18905.0	10600.0	58829.0	
2017-04-09-20:29:00	edge-8vsjk	6.0	4.17533952E8	0.984499990940094	600.0	1626.0	18775.0	10600.0	58829.0	
2017-04-09-20:29:00	edge-8vsjk	6.0	4.17533952E8	0.984499990940094	600.0	1626.0	18775.0	10600.0	58829.0	
2017-04-09-20:28:00	edge-8vsjk	10.0	4.2135552E8	0.9835000038146973	600.0	1611.0	18513.0	10600.0	58829.0	
2017-04-09-20:28:00	edge-8vsjk	10.0	4.2135552E8	0.9835000038146973	600.0	1611.0	18513.0	10600.0	58829.0	
2017-04-09-20:27:00	edge-8vsjk	13.0	4.26602496E8	0.9862499833106995	600.0	1611.0	18513.0	10600.0	58829.0	
2017-04-09-20:27:00	edge-8vsjk	13.0	4.26602496E8	0.9862499833106995	600.0	1611.0	18513.0	10600.0	58829.0	
2017-04-09-20:26:00	edge-8vsjk	9.0	4.28695552E8	0.987500011920929	600.0	1583.0	18177.0	10600.0	58829.0	
2017-04-09-20:26:00	edge-8vsjk	9.0	4.28695552E8	0.987500011920929	600.0	1583.0	18177.0	10600.0	58829.0	
2017-04-09-20:25:00	edge-8vsjk	6.0	4.3030528E8	0.9832500219345093	600.0	1540.0	18000.0	10600.0	58829.0	
2017-04-09-20:25:00	edge-8vsjk	6.0	4.3030528E8	0.9832500219345093	600.0	1540.0	18000.0	10600.0	58829.0	
2017-04-09-20:24:00	edge-8vsjk	14.0	4.33446912E8	0.984499990940094	600.0	1540.0	18000.0	10600.0	58829.0	
2017-04-09-20:24:00	edge-8vsjk	14.0	4.33446912E8	0.984499990940094	600.0	1540.0	18000.0	10600.0	58829.0	
