_DATE host cpuusage memusage 
2017-03-09-16:28:00 edge-8vsjk 0.0 5.23247616E8 
2017-03-09-16:28:00 edge-8vsjk 0.0 5.23247616E8 
2017-03-09-16:27:00 edge-8vsjk 0.0 5.2226048E8 
2017-03-09-16:27:00 edge-8vsjk 0.0 5.2226048E8 
2017-03-09-16:26:00 edge-8vsjk 0.0 5.2342784E8 
2017-03-09-16:26:00 edge-8vsjk 0.0 5.2342784E8 
2017-03-09-16:25:00 edge-8vsjk 0.0 5.22440704E8 
2017-03-09-16:25:00 edge-8vsjk 0.0 5.22440704E8 
2017-03-09-16:24:00 edge-8vsjk 0.0 5.22530816E8 
2017-03-09-16:24:00 edge-8vsjk 0.0 5.22530816E8 
2017-03-09-16:23:00 edge-8vsjk 0.0 5.22620928E8 
2017-03-09-16:23:00 edge-8vsjk 0.0 5.22620928E8 
2017-03-09-16:22:00 edge-8vsjk 0.0 5.2379648E8 
2017-03-09-16:22:00 edge-8vsjk 0.0 5.2379648E8 
2017-03-09-16:21:00 edge-8vsjk 0.0 5.23886592E8 
2017-03-09-16:21:00 edge-8vsjk 0.0 5.23886592E8 
2017-03-09-16:20:00 edge-8vsjk 0.0 5.23976704E8 
2017-03-09-16:20:00 edge-8vsjk 0.0 5.23976704E8 
2017-03-09-16:19:00 edge-8vsjk 0.0 5.24066816E8 
2017-03-09-16:19:00 edge-8vsjk 0.0 5.24066816E8 
2017-03-09-16:18:00 edge-8vsjk 0.0 5.24156928E8 
2017-03-09-16:18:00 edge-8vsjk 0.0 5.24156928E8 
2017-03-09-16:17:00 edge-8vsjk 0.0 5.23169792E8 
2017-03-09-16:17:00 edge-8vsjk 0.0 5.23169792E8 
2017-03-09-16:16:00 edge-8vsjk 0.0 5.2334592E8 
2017-03-09-16:16:00 edge-8vsjk 0.0 5.2334592E8 
2017-03-09-16:15:00 edge-8vsjk 0.0 5.24517376E8 
2017-03-09-16:15:00 edge-8vsjk 0.0 5.24517376E8 
2017-03-09-16:14:00 edge-8vsjk 1.0 5.23419648E8 
2017-03-09-16:14:00 edge-8vsjk 1.0 5.23419648E8 
2017-03-09-16:13:00 edge-8vsjk 209.0 5.04889344E8 
2017-03-09-16:13:00 edge-8vsjk 209.0 5.04889344E8 
2017-03-09-16:12:00 edge-8vsjk 259.0 5.04684544E8 
2017-03-09-16:12:00 edge-8vsjk 259.0 5.04684544E8 
2017-03-09-16:11:00 edge-8vsjk 263.0 4.97463296E8 
