_DATE host cpuusage memusage 
2017-03-09-16:54:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:54:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:53:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:53:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:52:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:52:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:51:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:51:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:50:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:50:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:49:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:49:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:48:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:48:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:47:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:47:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:46:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:46:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:45:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:45:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:44:00 middletier-2vpks 0.0 5.97372928E8 
2017-03-09-16:44:00 middletier-2vpks 0.0 5.97372928E8 
2017-03-09-16:43:00 middletier-2vpks 0.0 5.98376448E8 
2017-03-09-16:43:00 middletier-2vpks 0.0 5.98376448E8 
2017-03-09-16:42:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:42:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:41:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:41:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:40:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:40:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:39:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:39:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:38:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:38:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:37:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:37:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:36:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:36:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:35:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:35:00 middletier-2vpks 1.0 5.97372928E8 
2017-03-09-16:34:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:34:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:33:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:33:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:32:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:32:00 middletier-2vpks 1.0 5.98376448E8 
2017-03-09-16:31:00 middletier-2vpks 1.0 5.97372928E8 
