_DATE host cpuusage memusage 
2017-03-09-16:55:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:55:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:54:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:54:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:53:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:53:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:52:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:52:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:51:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:51:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:50:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:50:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:49:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:49:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:48:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:48:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:47:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:47:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:46:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:46:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:45:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:45:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:44:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:44:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:43:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:43:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:42:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:42:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:41:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:41:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:40:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:40:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:39:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:39:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:38:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:38:00 rssserver-l9b0p 0.0 2.1929984E7 
2017-03-09-16:37:00 rssserver-l9b0p 0.0 2.1929984E7 
