_DATE host cpuusage memusage 
2017-03-11-18:51:00 edge-8vsjk 0.0 1.136910336E9 
2017-03-11-18:51:00 edge-8vsjk 0.0 1.136910336E9 
2017-03-11-18:50:00 edge-8vsjk 0.0 1.136910336E9 
2017-03-11-18:50:00 edge-8vsjk 0.0 1.136910336E9 
2017-03-11-18:49:00 edge-8vsjk 0.0 1.137197056E9 
2017-03-11-18:49:00 edge-8vsjk 0.0 1.137197056E9 
2017-03-11-18:48:00 edge-8vsjk 0.0 1.137307648E9 
2017-03-11-18:48:00 edge-8vsjk 0.0 1.137307648E9 
2017-03-11-18:47:00 edge-8vsjk 0.0 1.137422336E9 
2017-03-11-18:47:00 edge-8vsjk 0.0 1.137422336E9 
2017-03-11-18:46:00 edge-8vsjk 0.0 1.137422336E9 
2017-03-11-18:46:00 edge-8vsjk 0.0 1.137422336E9 
2017-03-11-18:45:00 edge-8vsjk 0.0 1.13770496E9 
2017-03-11-18:45:00 edge-8vsjk 0.0 1.13770496E9 
2017-03-11-18:44:00 edge-8vsjk 6.0 1.137451008E9 
2017-03-11-18:44:00 edge-8vsjk 6.0 1.137451008E9 
2017-03-11-18:43:00 edge-8vsjk 155.0 1.135157248E9 
2017-03-11-18:43:00 edge-8vsjk 155.0 1.135157248E9 
2017-03-11-18:42:00 edge-8vsjk 156.0 1.12912384E9 
2017-03-11-18:42:00 edge-8vsjk 156.0 1.12912384E9 
2017-03-11-18:41:00 edge-8vsjk 155.0 1.12576512E9 
2017-03-11-18:41:00 edge-8vsjk 155.0 1.12576512E9 
2017-03-11-18:40:00 edge-8vsjk 137.0 1.123065856E9 
2017-03-11-18:40:00 edge-8vsjk 137.0 1.123065856E9 
2017-03-11-18:39:00 edge-8vsjk 137.0 1.120694272E9 
2017-03-11-18:39:00 edge-8vsjk 137.0 1.120694272E9 
2017-03-11-18:38:00 edge-8vsjk 134.0 1.119117312E9 
2017-03-11-18:38:00 edge-8vsjk 134.0 1.119117312E9 
2017-03-11-18:37:00 edge-8vsjk 124.0 1.116495872E9 
2017-03-11-18:37:00 edge-8vsjk 124.0 1.116495872E9 
2017-03-11-18:36:00 edge-8vsjk 122.0 1.11407104E9 
2017-03-11-18:36:00 edge-8vsjk 122.0 1.11407104E9 
