_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-13-00:49:00	rssserver-63g53	30.0	2.768896E7	0.08649999648332596	0.0	
2017-03-13-00:49:00	rssserver-63g53	30.0	2.768896E7	0.08649999648332596	0.0	
2017-03-13-00:48:00	rssserver-63g53	31.0	2.9691904E7	0.0925000011920929	300.0	
2017-03-13-00:48:00	rssserver-63g53	31.0	2.9691904E7	0.0925000011920929	300.0	
2017-03-13-00:47:00	rssserver-63g53	36.0	2.828288E7	0.09624999761581421	300.0	
2017-03-13-00:47:00	rssserver-63g53	36.0	2.828288E7	0.09624999761581421	300.0	
2017-03-13-00:46:00	rssserver-63g53	34.0	2.9356032E7	0.10100000351667404	350.0	
2017-03-13-00:46:00	rssserver-63g53	34.0	2.9356032E7	0.10100000351667404	350.0	
2017-03-13-00:45:00	rssserver-63g53	37.0	2.9077504E7	0.09574999660253525	350.0	
2017-03-13-00:45:00	rssserver-63g53	37.0	2.9077504E7	0.09574999660253525	350.0	
2017-03-13-00:44:00	rssserver-63g53	32.0	2.7930624E7	0.10350000113248825	400.0	
2017-03-13-00:44:00	rssserver-63g53	32.0	2.7930624E7	0.10350000113248825	400.0	
2017-03-13-00:43:00	rssserver-63g53	23.0	2.7602944E7	0.08275000005960464	400.0	
2017-03-13-00:43:00	rssserver-63g53	23.0	2.7602944E7	0.08275000005960464	400.0	
2017-03-13-00:42:00	rssserver-63g53	18.0	2.770944E7	0.05700000002980232	250.0	
2017-03-13-00:42:00	rssserver-63g53	18.0	2.770944E7	0.05700000002980232	250.0	
2017-03-13-00:41:00	rssserver-63g53	10.0	2.8020736E7	0.0625	250.0	
2017-03-13-00:41:00	rssserver-63g53	10.0	2.8020736E7	0.0625	250.0	
2017-03-13-00:40:00	rssserver-63g53	11.0	2.8393472E7	0.09049999713897705	100.0	
2017-03-13-00:40:00	rssserver-63g53	11.0	2.8393472E7	0.09049999713897705	100.0	
2017-03-13-00:39:00	rssserver-63g53	31.0	2.7611136E7	0.09350000321865082	100.0	
2017-03-13-00:39:00	rssserver-63g53	31.0	2.7611136E7	0.09350000321865082	100.0	
2017-03-13-00:38:00	rssserver-63g53	29.0	2.8028928E7	0.0729999989271164	350.0	
2017-03-13-00:38:00	rssserver-63g53	29.0	2.8028928E7	0.0729999989271164	350.0	
2017-03-13-00:37:00	rssserver-63g53	22.0	2.8020736E7	0.07850000262260437	350.0	
2017-03-13-00:37:00	rssserver-63g53	22.0	2.8020736E7	0.07850000262260437	350.0	
2017-03-13-00:36:00	rssserver-63g53	23.0	2.801664E7	0.09300000220537186	200.0	
2017-03-13-00:36:00	rssserver-63g53	23.0	2.801664E7	0.09300000220537186	200.0	
2017-03-13-00:35:00	rssserver-63g53	33.0	2.9208576E7	0.08675000071525574	200.0	
2017-03-13-00:35:00	rssserver-63g53	33.0	2.9208576E7	0.08675000071525574	200.0	
2017-03-13-00:34:00	rssserver-63g53	33.0	2.940928E7	0.10050000250339508	300.0	
2017-03-13-00:34:00	rssserver-63g53	33.0	2.940928E7	0.10050000250339508	300.0	
2017-03-13-00:33:00	rssserver-63g53	38.0	3.0601216E7	0.12224999815225601	300.0	
2017-03-13-00:33:00	rssserver-63g53	38.0	3.0601216E7	0.12224999815225601	300.0	
2017-03-13-00:32:00	rssserver-63g53	38.0	3.0076928E7	0.09449999779462814	400.0	
2017-03-13-00:32:00	rssserver-63g53	38.0	3.0076928E7	0.09449999779462814	400.0	
2017-03-13-00:31:00	rssserver-63g53	36.0	3.0031872E7	0.09449999779462814	400.0	
2017-03-13-00:31:00	rssserver-63g53	36.0	3.0031872E7	0.09449999779462814	400.0	
2017-03-13-00:30:00	rssserver-63g53	37.0	3.0355456E7	0.09700000286102295	350.0	
2017-03-13-00:30:00	rssserver-63g53	37.0	3.0355456E7	0.09700000286102295	350.0	
2017-03-13-00:29:00	rssserver-63g53	39.0	2.981888E7	0.10074999928474426	350.0	
2017-03-13-00:29:00	rssserver-63g53	39.0	2.981888E7	0.10074999928474426	350.0	
2017-03-13-00:28:00	rssserver-63g53	38.0	2.985984E7	0.10525000095367432	400.0	
2017-03-13-00:28:00	rssserver-63g53	38.0	2.985984E7	0.10525000095367432	400.0	
2017-03-13-00:27:00	rssserver-63g53	40.0	2.9728768E7	0.09974999725818634	400.0	
2017-03-13-00:27:00	rssserver-63g53	40.0	2.9728768E7	0.09974999725818634	400.0	
2017-03-13-00:26:00	rssserver-63g53	32.0	2.7602944E7	0.07699999958276749	500.0	
2017-03-13-00:26:00	rssserver-63g53	32.0	2.7602944E7	0.07699999958276749	500.0	
2017-03-13-00:25:00	rssserver-63g53	19.0	2.8069888E7	0.0742499977350235	500.0	
2017-03-13-00:25:00	rssserver-63g53	19.0	2.8069888E7	0.0742499977350235	500.0	
2017-03-13-00:24:00	rssserver-63g53	12.0	2.5997312E7	0.039500001817941666	200.0	
2017-03-13-00:24:00	rssserver-63g53	12.0	2.5997312E7	0.039500001817941666	200.0	
2017-03-13-00:23:00	rssserver-63g53	0.0	2.568192E7	0.07325000315904617	200.0	
2017-03-13-00:23:00	rssserver-63g53	0.0	2.568192E7	0.07325000315904617	200.0	
2017-03-13-00:22:00	rssserver-63g53	0.0	2.568192E7	0.04500000178813934	3.0	
2017-03-13-00:22:00	rssserver-63g53	0.0	2.568192E7	0.04500000178813934	3.0	
2017-03-13-00:21:00	rssserver-63g53	0.0	2.5993216E7	0.0442500002682209	3.0	
2017-03-13-00:21:00	rssserver-63g53	0.0	2.5993216E7	0.0442500002682209	3.0	
2017-03-13-00:20:00	rssserver-63g53	0.0	2.5993216E7	0.050999999046325684	3.0	
2017-03-13-00:20:00	rssserver-63g53	0.0	2.5993216E7	0.050999999046325684	3.0	
