_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 18:10:00 CEST 2017	1.0	1.129283584E9	3090.54833984375	0.0	2.7070464E7	0.0	3.0	1.2801024E9	48.97886657714844	1.0	1.0	1.111953408E9	4.87555072E8	31.263507843017578	0.06949999928474426	0.06224999949336052	0.04874999821186066	0.06875000149011612	0.8729475736618042	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:09:00 CEST 2017	2.0	1.129283584E9	2945.277587890625	0.0	2.5915392E7	0.0	3.0	1.280012288E9	48.97886657714844	1.0	1.0	1.11204352E9	4.8764928E8	31.263507843017578	0.061000000685453415	0.05575000122189522	0.052000001072883606	0.05400000140070915	0.8710472583770752	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:08:00 CEST 2017	2.0	1.128275968E9	2945.277587890625	0.0	2.5915392E7	0.0	7.0	1.280012288E9	34.52815246582031	1.0	1.0	1.112133632E9	4.87739392E8	29.32763671875	0.0820000022649765	0.05900000035762787	0.051249999552965164	0.06449999660253525	0.8710780739784241	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:07:00 CEST 2017	1.0	1.129279488E9	2945.277587890625	0.0	2.7070464E7	0.0	3.0	1.280012288E9	53.94743347167969	0.0	0.0	1.112256512E9	4.87825408E8	28.760665893554688	0.07724999636411667	0.05849999934434891	0.04924999922513962	0.05674999952316284	0.871093213558197	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:06:00 CEST 2017	1.0	1.128275968E9	2945.277587890625	0.0	2.5915392E7	0.0	3.0	1.280012288E9	53.94743347167969	0.0	1.0	1.114861568E9	4.8791552E8	28.03200912475586	0.07225000113248825	0.06199999898672104	0.04324999824166298	0.06700000166893005	0.8714097738265991	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:05:00 CEST 2017	1.0	1.129279488E9	2945.277587890625	0.0	2.5915392E7	0.0	3.0	1.279893504E9	53.94743347167969	0.0	1.0	1.11495168E9	4.88009728E8	28.03200912475586	0.06700000166893005	0.05350000038743019	0.04774999991059303	0.054999999701976776	0.8723927140235901	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:04:00 CEST 2017	1.0	1.129279488E9	2612.840576171875	0.0	2.5915392E7	0.0	3.0	1.279803392E9	42.26249694824219	0.0	1.0	1.115041792E9	4.88103936E8	28.03200912475586	0.09324999898672104	0.057500001043081284	0.051500000059604645	0.06674999743700027	0.871487557888031	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:03:00 CEST 2017	1.0	1.128275968E9	2612.840576171875	0.0	2.5915392E7	0.0	3.0	1.279803392E9	48.0023078918457	0.0	1.0	1.115127808E9	4.88194048E8	28.03200912475586	0.06499999761581421	0.05874999985098839	0.0494999997317791	0.060750000178813934	0.8715854287147522	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:02:00 CEST 2017	1.0	1.128275968E9	3140.8037109375	0.0	2.5915392E7	6.660163879394531	3.0	1.279803392E9	null	1.0	1.0	1.11521792E9	4.8838656E8	31.737693786621094	0.06599999964237213	0.061500001698732376	0.054249998182058334	0.05925000086426735	0.8715976476669312	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:01:00 CEST 2017	1.0	1.129279488E9	3140.8037109375	0.0	2.7070464E7	6.660163879394531	3.0	1.279803392E9	null	1.0	1.0	1.115308032E9	4.88472576E8	30.297983169555664	0.07175000011920929	0.05274999886751175	0.061000000685453415	0.054749999195337296	0.8716152906417847	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 18:00:00 CEST 2017	1.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
