_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge1	memusage_edge1	cpuusage_edge2	memusage_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count1	status_500_count1	status_0_count1	status_other_count1	status_200_count2	status_500_count2	status_0_count2	status_other_count2	
2017-04-15-15:35:00	783.0	1.252941824E9	41.0	2.793472E7	174.0	3.60710144E8	157.0	1.035702272E9	0.0	0.9325000047683716	0.18725000321865082	0.22599999606609344	600.0	28641.0	3372.0	8.0	0.0	28327.0	3236.0	9.0	0.0	
2017-04-15-15:35:00	783.0	1.252941824E9	41.0	2.793472E7	174.0	3.60710144E8	157.0	1.035702272E9	0.0	0.9325000047683716	0.18725000321865082	0.22599999606609344	600.0	28641.0	3372.0	8.0	0.0	28327.0	3236.0	9.0	0.0	
2017-04-15-15:34:00	795.0	1.25247488E9	0.0	2.8418048E7	168.0	3.56356096E8	143.0	1.034235904E9	0.06575000286102295	0.9365000128746033	0.1875	0.23800000548362732	600.0	27177.0	2872.0	3.0	0.0	26851.0	2776.0	2.0	0.0	
2017-04-15-15:34:00	795.0	1.25247488E9	0.0	2.8418048E7	168.0	3.56356096E8	143.0	1.034235904E9	0.06575000286102295	0.9365000128746033	0.1875	0.23800000548362732	600.0	27177.0	2872.0	3.0	0.0	26851.0	2776.0	2.0	0.0	
2017-04-15-15:33:00	735.0	1.252671488E9	0.0	0.0	177.0	3.77765888E8	147.0	1.033314304E9	0.06575000286102295	0.9347500205039978	0.17800000309944153	0.226500004529953	600.0	25637.0	2450.0	1.0	0.0	25320.0	2358.0	2.0	0.0	
2017-04-15-15:33:00	735.0	1.252671488E9	0.0	0.0	177.0	3.77765888E8	147.0	1.033314304E9	0.06575000286102295	0.9347500205039978	0.17800000309944153	0.226500004529953	600.0	25637.0	2450.0	1.0	0.0	25320.0	2358.0	2.0	0.0	
2017-04-15-15:32:00	774.0	1.25149184E9	38.0	2.6120192E7	173.0	3.5772416E8	145.0	1.033183232E9	0.06700000166893005	0.9327499866485596	0.18725000321865082	0.2280000001192093	500.0	24194.0	1957.0	1.0	0.0	23948.0	1845.0	1.0	0.0	
2017-04-15-15:32:00	774.0	1.25149184E9	38.0	2.6120192E7	173.0	3.5772416E8	145.0	1.033183232E9	0.06700000166893005	0.9327499866485596	0.18725000321865082	0.2280000001192093	500.0	24194.0	1957.0	1.0	0.0	23948.0	1845.0	1.0	0.0	
2017-04-15-15:31:00	752.0	1.251577856E9	38.0	2.6935296E7	170.0	3.62307584E8	135.0	1.033179136E9	0.0702499970793724	0.9359999895095825	0.17874999344348907	0.21199999749660492	500.0	22709.0	1528.0	0.0	0.0	22474.0	1448.0	1.0	0.0	
2017-04-15-15:31:00	752.0	1.251577856E9	38.0	2.6935296E7	170.0	3.62307584E8	135.0	1.033179136E9	0.0702499970793724	0.9359999895095825	0.17874999344348907	0.21199999749660492	500.0	22709.0	1528.0	0.0	0.0	22474.0	1448.0	1.0	0.0	
2017-04-15-15:30:00	741.0	1.251913728E9	39.0	2.6034176E7	165.0	3.54004992E8	133.0	1.03161856E9	0.06724999845027924	0.9369999766349792	0.17100000381469727	0.20675000548362732	500.0	21145.0	1181.0	0.0	0.0	20921.0	1129.0	0.0	0.0	
2017-04-15-15:30:00	741.0	1.251913728E9	39.0	2.6034176E7	165.0	3.54004992E8	133.0	1.03161856E9	0.06724999845027924	0.9369999766349792	0.17100000381469727	0.20675000548362732	500.0	21145.0	1181.0	0.0	0.0	20921.0	1129.0	0.0	0.0	
2017-04-15-15:29:00	714.0	1.251422208E9	37.0	2.6800128E7	152.0	3.5588096E8	124.0	1.030787072E9	0.06875000149011612	0.937749981880188	0.1667499989271164	0.19249999523162842	400.0	19675.0	951.0	0.0	0.0	19457.0	932.0	0.0	0.0	
2017-04-15-15:29:00	714.0	1.251422208E9	37.0	2.6800128E7	152.0	3.5588096E8	124.0	1.030787072E9	0.06875000149011612	0.937749981880188	0.1667499989271164	0.19249999523162842	400.0	19675.0	951.0	0.0	0.0	19457.0	932.0	0.0	0.0	
2017-04-15-15:28:00	701.0	1.251479552E9	35.0	2.6038272E7	156.0	3.71367936E8	119.0	1.030889472E9	0.07074999809265137	0.9392499923706055	0.1599999964237213	0.19824999570846558	400.0	18277.0	796.0	0.0	0.0	18079.0	771.0	0.0	0.0	
2017-04-15-15:28:00	701.0	1.251479552E9	35.0	2.6038272E7	156.0	3.71367936E8	119.0	1.030889472E9	0.07074999809265137	0.9392499923706055	0.1599999964237213	0.19824999570846558	400.0	18277.0	796.0	0.0	0.0	18079.0	771.0	0.0	0.0	
2017-04-15-15:27:00	663.0	1.2515328E9	35.0	2.6820608E7	148.0	3.5731456E8	116.0	1.029955584E9	0.06624999642372131	0.9392499923706055	0.16099999845027924	0.1889999955892563	400.0	16907.0	625.0	0.0	0.0	16706.0	607.0	0.0	0.0	
2017-04-15-15:27:00	663.0	1.2515328E9	35.0	2.6820608E7	148.0	3.5731456E8	116.0	1.029955584E9	0.06624999642372131	0.9392499923706055	0.16099999845027924	0.1889999955892563	400.0	16907.0	625.0	0.0	0.0	16706.0	607.0	0.0	0.0	
2017-04-15-15:26:00	663.0	1.251872768E9	34.0	2.6718208E7	148.0	3.74349824E8	113.0	1.03006208E9	0.0	0.940750002861023	0.15850000083446503	0.18025000393390656	350.0	15652.0	454.0	0.0	0.0	15462.0	439.0	0.0	0.0	
2017-04-15-15:26:00	663.0	1.251872768E9	34.0	2.6718208E7	148.0	3.74349824E8	113.0	1.03006208E9	0.0	0.940750002861023	0.15850000083446503	0.18025000393390656	350.0	15652.0	454.0	0.0	0.0	15462.0	439.0	0.0	0.0	
2017-04-15-15:25:00	647.0	1.251659776E9	31.0	2.6128384E7	131.0	3.50605312E8	102.0	1.031102464E9	0.06449999660253525	0.9442499876022339	0.15324999392032623	0.17299999296665192	350.0	14410.0	348.0	0.0	0.0	14217.0	331.0	0.0	0.0	
2017-04-15-15:25:00	647.0	1.251659776E9	31.0	2.6128384E7	131.0	3.50605312E8	102.0	1.031102464E9	0.06449999660253525	0.9442499876022339	0.15324999392032623	0.17299999296665192	350.0	14410.0	348.0	0.0	0.0	14217.0	331.0	0.0	0.0	
2017-04-15-15:24:00	595.0	1.2515328E9	32.0	2.6210304E7	137.0	3.70868224E8	104.0	1.03120896E9	0.06449999660253525	0.9452499747276306	0.1469999998807907	0.1679999977350235	350.0	13132.0	253.0	0.0	0.0	12917.0	251.0	0.0	0.0	
2017-04-15-15:24:00	595.0	1.2515328E9	32.0	2.6210304E7	137.0	3.70868224E8	104.0	1.03120896E9	0.06449999660253525	0.9452499747276306	0.1469999998807907	0.1679999977350235	350.0	13132.0	253.0	0.0	0.0	12917.0	251.0	0.0	0.0	
2017-04-15-15:23:00	587.0	1.252007936E9	31.0	2.5346048E7	128.0	3.47455488E8	100.0	1.031426048E9	0.06449999660253525	0.9449999928474426	0.14949999749660492	0.1602499932050705	300.0	11994.0	152.0	0.0	0.0	11795.0	129.0	0.0	0.0	
2017-04-15-15:23:00	587.0	1.252007936E9	31.0	2.5346048E7	128.0	3.47455488E8	100.0	1.031426048E9	0.06449999660253525	0.9449999928474426	0.14949999749660492	0.1602499932050705	300.0	11994.0	152.0	0.0	0.0	11795.0	129.0	0.0	0.0	
2017-04-15-15:22:00	567.0	1.252528128E9	28.0	2.7676672E7	123.0	3.8057984E8	92.0	1.03047168E9	0.06300000101327896	0.9482499957084656	0.13875000178813934	0.1577499955892563	300.0	10870.0	119.0	0.0	0.0	10658.0	98.0	0.0	0.0	
2017-04-15-15:22:00	567.0	1.252528128E9	28.0	2.7676672E7	123.0	3.8057984E8	92.0	1.03047168E9	0.06300000101327896	0.9482499957084656	0.13875000178813934	0.1577499955892563	300.0	10870.0	119.0	0.0	0.0	10658.0	98.0	0.0	0.0	
2017-04-15-15:21:00	545.0	1.251422208E9	27.0	2.4711168E7	111.0	3.71003392E8	87.0	1.030447104E9	0.061000000685453415	0.949999988079071	0.1367499977350235	0.1459999978542328	300.0	9751.0	68.0	0.0	0.0	9503.0	70.0	0.0	0.0	
2017-04-15-15:21:00	545.0	1.251422208E9	27.0	2.4711168E7	111.0	3.71003392E8	87.0	1.030447104E9	0.061000000685453415	0.949999988079071	0.1367499977350235	0.1459999978542328	300.0	9751.0	68.0	0.0	0.0	9503.0	70.0	0.0	0.0	
2017-04-15-15:20:00	511.0	1.249705984E9	0.0	2.5399296E7	113.0	3.5817472E8	84.0	1.03049216E9	0.061250001192092896	0.9520000219345093	0.13249999284744263	0.148499995470047	250.0	8706.0	56.0	0.0	0.0	8504.0	41.0	0.0	0.0	
2017-04-15-15:20:00	511.0	1.249705984E9	0.0	2.5399296E7	113.0	3.5817472E8	84.0	1.03049216E9	0.061250001192092896	0.9520000219345093	0.13249999284744263	0.148499995470047	250.0	8706.0	56.0	0.0	0.0	8504.0	41.0	0.0	0.0	
2017-04-15-15:19:00	487.0	1.251549184E9	22.0	0.0	101.0	3.41843968E8	77.0	1.032056832E9	0.05999999865889549	0.9564999938011169	0.12300000339746475	0.14399999380111694	250.0	7749.0	27.0	0.0	0.0	7553.0	19.0	0.0	0.0	
2017-04-15-15:19:00	487.0	1.251549184E9	22.0	0.0	101.0	3.41843968E8	77.0	1.032056832E9	0.05999999865889549	0.9564999938011169	0.12300000339746475	0.14399999380111694	250.0	7749.0	27.0	0.0	0.0	7553.0	19.0	0.0	0.0	
2017-04-15-15:18:00	434.0	1.247277056E9	22.0	2.541568E7	92.0	3.39570688E8	75.0	1.032134656E9	0.05999999865889549	0.9580000042915344	0.12399999797344208	0.13324999809265137	250.0	6791.0	20.0	0.0	0.0	6590.0	14.0	0.0	0.0	
2017-04-15-15:18:00	434.0	1.247277056E9	22.0	2.541568E7	92.0	3.39570688E8	75.0	1.032134656E9	0.05999999865889549	0.9580000042915344	0.12399999797344208	0.13324999809265137	250.0	6791.0	20.0	0.0	0.0	6590.0	14.0	0.0	0.0	
2017-04-15-15:17:00	422.0	1.247862784E9	21.0	2.5419776E7	89.0	3.36105472E8	71.0	1.031274496E9	0.060750000178813934	0.9595000147819519	0.1185000017285347	0.1237500011920929	200.0	5940.0	3.0	0.0	0.0	5756.0	7.0	0.0	0.0	
2017-04-15-15:17:00	422.0	1.247862784E9	21.0	2.5419776E7	89.0	3.36105472E8	71.0	1.031274496E9	0.060750000178813934	0.9595000147819519	0.1185000017285347	0.1237500011920929	200.0	5940.0	3.0	0.0	0.0	5756.0	7.0	0.0	0.0	
2017-04-15-15:16:00	391.0	1.231945728E9	17.0	2.4666112E7	81.0	3.47910144E8	58.0	1.032167424E9	0.054249998182058334	0.9645000100135803	0.10849999636411667	0.1287499964237213	200.0	5150.0	2.0	0.0	0.0	4981.0	2.0	0.0	0.0	
2017-04-15-15:16:00	391.0	1.231945728E9	17.0	2.4666112E7	81.0	3.47910144E8	58.0	1.032167424E9	0.054249998182058334	0.9645000100135803	0.10849999636411667	0.1287499964237213	200.0	5150.0	2.0	0.0	0.0	4981.0	2.0	0.0	0.0	
2017-04-15-15:15:00	335.0	1.223143424E9	0.0	2.4735744E7	75.0	3.5874816E8	52.0	1.031315456E9	0.060499999672174454	0.9662500023841858	0.10499999672174454	0.10975000262260437	200.0	4368.0	1.0	0.0	0.0	4188.0	2.0	0.0	0.0	
2017-04-15-15:15:00	335.0	1.223143424E9	0.0	2.4735744E7	75.0	3.5874816E8	52.0	1.031315456E9	0.060499999672174454	0.9662500023841858	0.10499999672174454	0.10975000262260437	200.0	4368.0	1.0	0.0	0.0	4188.0	2.0	0.0	0.0	
2017-04-15-15:14:00	314.0	1.242976256E9	11.0	0.0	71.0	3.45591808E8	48.0	1.03233536E9	0.07699999958276749	0.9674999713897705	0.10649999976158142	0.11749999970197678	150.0	3690.0	1.0	0.0	0.0	3544.0	2.0	0.0	0.0	
2017-04-15-15:14:00	314.0	1.242976256E9	11.0	0.0	71.0	3.45591808E8	48.0	1.03233536E9	0.07699999958276749	0.9674999713897705	0.10649999976158142	0.11749999970197678	150.0	3690.0	1.0	0.0	0.0	3544.0	2.0	0.0	0.0	
2017-04-15-15:13:00	286.0	1.153241088E9	11.0	2.3990272E7	54.0	3.41614592E8	37.0	1.032556544E9	0.05225000157952309	0.9729999899864197	0.08799999952316284	0.09624999761581421	150.0	3098.0	0.0	0.0	0.0	2956.0	0.0	0.0	0.0	
2017-04-15-15:13:00	286.0	1.153241088E9	11.0	2.3990272E7	54.0	3.41614592E8	37.0	1.032556544E9	0.05225000157952309	0.9729999899864197	0.08799999952316284	0.09624999761581421	150.0	3098.0	0.0	0.0	0.0	2956.0	0.0	0.0	0.0	
2017-04-15-15:12:00	215.0	1.167917056E9	10.0	2.3986176E7	47.0	3.42622208E8	33.0	1.032634368E9	0.05324999988079071	0.9752500057220459	0.09300000220537186	0.0949999988079071	150.0	2508.0	0.0	0.0	0.0	2363.0	0.0	0.0	0.0	
2017-04-15-15:12:00	215.0	1.167917056E9	10.0	2.3986176E7	47.0	3.42622208E8	33.0	1.032634368E9	0.05324999988079071	0.9752500057220459	0.09300000220537186	0.0949999988079071	150.0	2508.0	0.0	0.0	0.0	2363.0	0.0	0.0	0.0	
2017-04-15-15:11:00	200.0	1.180491776E9	9.0	2.3973888E7	44.0	3.42532096E8	32.0	1.031778304E9	0.050999999046325684	0.9764999747276306	0.08449999988079071	0.09175000339746475	100.0	2025.0	0.0	0.0	0.0	1916.0	0.0	0.0	0.0	
2017-04-15-15:11:00	200.0	1.180491776E9	9.0	2.3973888E7	44.0	3.42532096E8	32.0	1.031778304E9	0.050999999046325684	0.9764999747276306	0.08449999988079071	0.09175000339746475	100.0	2025.0	0.0	0.0	0.0	1916.0	0.0	0.0	0.0	
