_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge,memusage_edge,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge1,responseTimePercentile_edge2
Sun Apr 23 20:29:00 CEST 2017,628,1016365056,44,28340224,211,871100416,0,0.167999997735024,0.134250000119209,0.23199999332428,0.197679191827774,600,18125,13196,1,0,18220,13260,6,null,null,19715660.4783055,null
Sun Apr 23 20:28:00 CEST 2017,622,1017061376,44,27688960,211,859844608,0,0.167500004172325,0.130999997258186,0.241500005125999,0.19751088321209,600,18125,13196,1,0,18220,13260,6,null,null,20430771.7522487,null
Sun Apr 23 20:27:00 CEST 2017,621,1016111104,44,28372992,208,846417920,0,0.168500006198883,0.140750005841255,0.237499997019768,0.197304904460907,600,18125,13196,1,0,18220,13260,6,null,null,19042583.0987967,null
Sun Apr 23 20:26:00 CEST 2017,618,1017327616,43,28655616,206,829399040,0,0.174750000238419,0.136000007390976,0.240250006318092,0.198882311582565,500,18125,13196,1,0,18220,13260,6,null,null,19062007.7947575,null
Sun Apr 23 20:25:00 CEST 2017,604,1016516608,43,29343744,207,814460928,0,0.162249997258186,0.134499996900559,0.232999995350838,0.196800455451012,500,18125,13196,1,0,18220,13260,6,null,null,17360247.2025152,null
Sun Apr 23 20:24:00 CEST 2017,624,1016651776,46,29335552,214,801456128,0,0.179000005125999,0.129749998450279,0.244000002741814,0.196638509631157,500,18125,13196,1,0,18220,13260,6,null,null,18745303.9496806,null
Sun Apr 23 20:23:00 CEST 2017,635,1017733120,44,27525120,209,786317312,0,0.164749994874001,0.137500002980232,0.240749999880791,0.198308885097504,400,18125,13196,1,0,18220,13260,6,null,null,20214477.9444349,null
Sun Apr 23 20:22:00 CEST 2017,634,1016082432,45,26787840,214,771817472,0,0.174750000238419,0.125750005245209,0.245000004768372,0.196149736642838,400,18125,13196,1,0,18220,13260,6,null,null,19414001.3372946,null
Sun Apr 23 20:21:00 CEST 2017,635,1016877056,44,28254208,216,755347456,0,0.173749998211861,0.136999994516373,0.245000004768372,0.19609346985817,400,18125,13196,1,0,18220,13260,6,null,null,20438109.0438871,null
Sun Apr 23 20:20:00 CEST 2017,648,1016377344,44,28639232,213,738525184,0,0.172749996185303,0.128000006079674,0.242249995470047,0.195880144834518,350,18125,13196,1,0,18220,13260,6,null,null,20715391.4816372,null
Sun Apr 23 20:19:00 CEST 2017,625,1017286656,43,28348416,213,720973824,0,0.165500000119209,0.127250000834465,0.236000001430511,0.195639908313751,350,18125,13196,1,0,18220,13260,6,null,null,19885236.2723066,null
Sun Apr 23 20:18:00 CEST 2017,624,1016766464,42,29433856,206,701206528,0,0.166999995708466,0.130999997258186,0.241249993443489,0.19691202044487,350,18125,13196,1,0,18220,13260,6,null,null,18825199.6372481,null
Sun Apr 23 20:17:00 CEST 2017,626,1016885248,43,27734016,207,688771072,0,0.166749998927116,0.135250002145767,0.240250006318092,0.194917261600494,300,18125,13196,1,0,18220,13260,6,null,null,18976262.5318123,null
Sun Apr 23 20:16:00 CEST 2017,634,1005830144,43,27643904,215,672239616,0,0.176499992609024,0.132750004529953,0.242500007152557,0.196440845727921,300,18125,13196,1,0,18220,13260,6,null,null,19100066.2447903,null
Sun Apr 23 20:15:00 CEST 2017,630,931332096,42,28704768,212,650588160,0,0.162000000476837,0.128499999642372,0.239250004291534,0.185235559940338,300,18125,13196,1,0,18220,13260,6,null,null,19371173.8155382,null
Sun Apr 23 20:14:00 CEST 2017,611,852529152,41,28618752,207,632045568,0,0.170000001788139,0.126750007271767,0.226999998092651,0.173693165183067,250,18125,13196,1,0,18220,13260,6,null,null,17629996.5002618,null
Sun Apr 23 20:13:00 CEST 2017,598,787980288,37,28610560,185,615010304,0,0.158000007271767,0.12950000166893,0.213750004768372,0.163961574435234,250,18125,13196,1,0,18220,13260,6,null,null,18530068.8449837,null
Sun Apr 23 20:12:00 CEST 2017,535,715268096,35,27529216,169,594657280,0,0.146500006318092,0.117250002920628,0.201250001788139,0.156247228384018,250,18125,13196,1,0,18220,13260,6,null,null,16850742.8080268,null
Sun Apr 23 20:11:00 CEST 2017,504,623013888,33,27926528,164,581480448,0,0.146249994635582,0.115249998867512,0.206750005483627,0.146146237850189,200,18125,13196,1,0,18220,13260,6,null,null,18378922.2098429,null
Sun Apr 23 20:10:00 CEST 2017,478,577228800,27,27529216,145,568983552,0,0.13850000500679,0.110500000417233,0.184249997138977,0.139598801732063,200,18125,13196,1,0,18220,13260,6,null,null,16478212.7433667,null
Sun Apr 23 20:09:00 CEST 2017,420,684294144,25,26759168,129,555966464,0,0.123000003397465,0.104500003159046,0.166999995708466,0.151390731334686,200,18125,13196,1,0,18220,13260,6,null,null,16856480.4984942,null
Sun Apr 23 20:08:00 CEST 2017,385,729505792,23,28602368,126,547618816,0,0.126000002026558,0.103749997913837,0.167750000953674,0.158106461167336,150,18125,13196,1,0,18220,13260,6,null,null,17463235.4954572,null
Sun Apr 23 20:07:00 CEST 2017,359,793022464,18,26812416,97,536641536,0,0.120250001549721,0.093999996781349,0.145750001072884,0.165000781416893,150,18125,13196,1,0,18220,13260,6,null,null,17189632.4918126,null
Sun Apr 23 20:06:00 CEST 2017,287,835874816,17,27869184,89,532103168,0,0.104000002145767,0.081749998033047,0.139249995350838,0.169724196195602,150,18125,13196,1,0,18220,13260,6,null,null,15631656.0905329,null
Sun Apr 23 20:05:00 CEST 2017,264,895000576,16,26112000,104,526389248,0,0.111000001430511,0.08474999666214,0.133000001311302,0.174330696463585,100,18125,13196,1,0,18220,13260,6,null,null,19996374.6294803,null
Sun Apr 23 20:04:00 CEST 2017,250,937558016,10,26112000,70,524136448,0,0.09375,0.084499999880791,0.105999998748302,0.179464116692543,100,18125,13196,1,0,18220,13260,6,null,null,17803404.2927406,null
Sun Apr 23 20:03:00 CEST 2017,168,974192640,8,26112000,56,520359936,0,0.086249999701977,0.074000000953674,0.097750000655651,0.183316648006439,100,18125,13196,1,0,18220,13260,6,null,null,16640842.379118,null
Sun Apr 23 20:02:00 CEST 2017,120,996499456,7,26112000,45,519335936,0,0.088249996304512,0.07150000333786,0.090999998152256,0.185213059186935,50,18125,13196,1,0,18220,13260,6,null,null,21040786.5352174,null
Sun Apr 23 20:01:00 CEST 2017,102,1006710784,4,26107904,35,519168000,0,0.071000002324581,0.066249996423721,0.080250002443791,0.188198581337929,50,18125,13196,1,0,18220,13260,6,null,null,19700770.5991071,null
Sun Apr 23 20:00:00 CEST 2017,58,1012441088,3,27123712,27,518348800,0,0.073250003159046,0.054999999701977,0.075499996542931,0.187083542346954,50,18125,13196,1,0,18220,13260,6,null,null,17692613.4586168,null
Sun Apr 23 19:59:00 CEST 2017,51,1017880576,3,26488832,22,518418432,0,0.078500002622604,0.058749999850988,0.073499999940395,0.187495008111,20,18125,13196,1,0,18220,13260,6,null,null,27340424.3227848,null
Sun Apr 23 19:58:00 CEST 2017,47,1021292544,2,26488832,16,518352896,0,0.065750002861023,0.060750000178814,0.06700000166893,0.1877151876688,20,18125,13196,1,0,18220,13260,6,null,null,24783620.2807775,null
Sun Apr 23 19:57:00 CEST 2017,30,1024544768,2,25415680,12,517238784,0,0.069750003516674,0.052000001072884,0.06700000166893,0.187751397490501,20,18125,13196,1,0,18220,13260,6,null,null,26109238.7308743,null
Sun Apr 23 19:56:00 CEST 2017,26,1027059712,1,25415680,12,517345280,0,0.066249996423721,0.05375000089407,0.060249999165535,0.188506826758385,10,18125,13196,1,0,18220,13260,6,null,null,27847176.5442478,null
Sun Apr 23 19:55:00 CEST 2017,26,1029799936,1,26488832,9,516829184,0,0.061749998480082,0.056249998509884,0.068000003695488,0.188486769795418,10,18125,13196,1,0,18220,13260,6,null,null,27312755.7683983,null
Sun Apr 23 19:54:00 CEST 2017,18,1031655424,0,25411584,7,516808704,0,0.064999997615814,0.050749998539686,0.0625,0.18888258934021,10,18125,13196,1,0,18220,13260,6,null,null,26574907.1963351,null
Sun Apr 23 19:53:00 CEST 2017,14,1031634944,0,26480640,6,516870144,0,0.061500001698732,0.052250001579523,0.059999998658896,0.188886016607285,5,18125,13196,1,0,18220,13260,6,null,null,30467292.8028846,null
