_DATE	cpuusage_middle	memusage_middle	cpuusage_server	memusage_server	cpuusage_edge1	memusage_edge1	cpuusage_edge2	memusage_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	locustusers	status_200_count1	status_500_count1	status_0_count1	status_other_count1	status_200_count2	status_500_count2	status_0_count2	status_other_count2	
2017-04-15-16:40:00	1.0	1.251971072E9	0.0	2.2515712E7	0.0	3.99654912E8	0.0	1.038598144E9	0.04475000128149986	0.04500000178813934	0.05299999937415123	0.05849999934434891	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:40:00	1.0	1.251971072E9	0.0	2.2515712E7	0.0	3.99654912E8	0.0	1.038598144E9	0.04475000128149986	0.04500000178813934	0.05299999937415123	0.05849999934434891	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:39:00	1.0	1.251971072E9	0.0	2.2831104E7	0.0	3.99806464E8	0.0	1.038688256E9	0.042500000447034836	0.04899999871850014	0.042500000447034836	0.06174999848008156	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:39:00	1.0	1.251971072E9	0.0	2.2831104E7	0.0	3.99806464E8	0.0	1.038688256E9	0.042500000447034836	0.04899999871850014	0.042500000447034836	0.06174999848008156	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:38:00	1.0	1.251971072E9	0.0	2.2515712E7	0.0	3.99896576E8	0.0	1.038778368E9	0.04749999940395355	0.04874999821186066	0.05674999952316284	0.05649999901652336	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:38:00	1.0	1.251971072E9	0.0	2.2515712E7	0.0	3.99896576E8	0.0	1.038778368E9	0.04749999940395355	0.04874999821186066	0.05674999952316284	0.05649999901652336	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:37:00	1.0	1.251971072E9	34.0	2.2831104E7	191.0	3.99986688E8	157.0	1.03886848E9	0.06575000286102295	0.3269999921321869	0.1472499966621399	0.20900000631809235	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:37:00	1.0	1.251971072E9	34.0	2.2831104E7	191.0	3.99986688E8	157.0	1.03886848E9	0.06575000286102295	0.3269999921321869	0.1472499966621399	0.20900000631809235	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:36:00	862.0	1.252298752E9	47.0	2.7889664E7	185.0	3.75984128E8	177.0	1.037234176E9	0.07275000214576721	0.3334999978542328	0.1667499989271164	0.19224999845027924	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
2017-04-15-16:36:00	862.0	1.252298752E9	47.0	2.7889664E7	185.0	3.75984128E8	177.0	1.037234176E9	0.07275000214576721	0.3334999978542328	0.1667499989271164	0.19224999845027924	0.0	30697.0	1433.0	10.0	0.0	30726.0	1485.0	12.0	0.0	
