Series;Time;Value
middletier-pk9t1;2017-07-25T19:11:00+02:00;1
middletier-pk9t1;2017-07-25T19:12:00+02:00;1
middletier-pk9t1;2017-07-25T19:13:00+02:00;1
middletier-pk9t1;2017-07-25T19:14:00+02:00;1
middletier-pk9t1;2017-07-25T19:15:00+02:00;1
middletier-pk9t1;2017-07-25T19:16:00+02:00;69
middletier-pk9t1;2017-07-25T19:17:00+02:00;1
middletier-pk9t1;2017-07-25T19:18:00+02:00;1
middletier-pk9t1;2017-07-25T19:19:00+02:00;245
middletier-pk9t1;2017-07-25T19:20:00+02:00;574
middletier-pk9t1;2017-07-25T19:21:00+02:00;633
middletier-pk9t1;2017-07-25T19:22:00+02:00;634
middletier-pk9t1;2017-07-25T19:23:00+02:00;619
middletier-pk9t1;2017-07-25T19:24:00+02:00;623
middletier-pk9t1;2017-07-25T19:25:00+02:00;633
middletier-pk9t1;2017-07-25T19:26:00+02:00;631
middletier-pk9t1;2017-07-25T19:27:00+02:00;624
middletier-pk9t1;2017-07-25T19:28:00+02:00;639
middletier-pk9t1;2017-07-25T19:29:00+02:00;657
middletier-pk9t1;2017-07-25T19:30:00+02:00;657
middletier-pk9t1;2017-07-25T19:31:00+02:00;630
middletier-pk9t1;2017-07-25T19:32:00+02:00;458
middletier-pk9t1;2017-07-25T19:33:00+02:00;349
middletier-pk9t1;2017-07-25T19:34:00+02:00;351
middletier-pk9t1;2017-07-25T19:35:00+02:00;352
middletier-pk9t1;2017-07-25T19:36:00+02:00;355
middletier-pk9t1;2017-07-25T19:37:00+02:00;340
middletier-pk9t1;2017-07-25T19:38:00+02:00;340
middletier-pk9t1;2017-07-25T19:39:00+02:00;334
middletier-pk9t1;2017-07-25T19:40:00+02:00;358
middletier-pk9t1;2017-07-25T19:41:00+02:00;341
middletier-pk9t1;2017-07-25T19:42:00+02:00;361
middletier-pk9t1;2017-07-25T19:43:00+02:00;347
middletier-pk9t1;2017-07-25T19:44:00+02:00;351
middletier-pk9t1;2017-07-25T19:45:00+02:00;355
middletier-pk9t1;2017-07-25T19:46:00+02:00;341
middletier-pk9t1;2017-07-25T19:47:00+02:00;338
middletier-pk9t1;2017-07-25T19:48:00+02:00;352
middletier-ppdbq;2017-07-25T19:11:00+02:00;1
middletier-ppdbq;2017-07-25T19:12:00+02:00;2
middletier-ppdbq;2017-07-25T19:13:00+02:00;1
middletier-ppdbq;2017-07-25T19:14:00+02:00;1
middletier-ppdbq;2017-07-25T19:15:00+02:00;2
middletier-ppdbq;2017-07-25T19:16:00+02:00;75
middletier-ppdbq;2017-07-25T19:17:00+02:00;1
middletier-ppdbq;2017-07-25T19:18:00+02:00;1
middletier-ppdbq;2017-07-25T19:19:00+02:00;309
middletier-ppdbq;2017-07-25T19:20:00+02:00;698
middletier-ppdbq;2017-07-25T19:21:00+02:00;716
middletier-ppdbq;2017-07-25T19:22:00+02:00;729
middletier-ppdbq;2017-07-25T19:23:00+02:00;727
middletier-ppdbq;2017-07-25T19:24:00+02:00;723
middletier-ppdbq;2017-07-25T19:25:00+02:00;727
middletier-ppdbq;2017-07-25T19:26:00+02:00;730
middletier-ppdbq;2017-07-25T19:27:00+02:00;729
middletier-ppdbq;2017-07-25T19:28:00+02:00;727
middletier-ppdbq;2017-07-25T19:29:00+02:00;711
middletier-ppdbq;2017-07-25T19:30:00+02:00;712
middletier-ppdbq;2017-07-25T19:31:00+02:00;709
middletier-ppdbq;2017-07-25T19:32:00+02:00;466
middletier-ppdbq;2017-07-25T19:33:00+02:00;395
middletier-ppdbq;2017-07-25T19:34:00+02:00;393
middletier-ppdbq;2017-07-25T19:35:00+02:00;387
middletier-ppdbq;2017-07-25T19:36:00+02:00;384
middletier-ppdbq;2017-07-25T19:37:00+02:00;391
middletier-ppdbq;2017-07-25T19:38:00+02:00;386
middletier-ppdbq;2017-07-25T19:39:00+02:00;390
middletier-ppdbq;2017-07-25T19:40:00+02:00;391
middletier-ppdbq;2017-07-25T19:41:00+02:00;387
middletier-ppdbq;2017-07-25T19:42:00+02:00;399
middletier-ppdbq;2017-07-25T19:43:00+02:00;389
middletier-ppdbq;2017-07-25T19:44:00+02:00;391
middletier-ppdbq;2017-07-25T19:45:00+02:00;391
middletier-ppdbq;2017-07-25T19:46:00+02:00;398
middletier-ppdbq;2017-07-25T19:47:00+02:00;394
middletier-ppdbq;2017-07-25T19:48:00+02:00;402
Limit;2017-07-25T19:11:00+02:00;1000
Limit;2017-07-25T19:12:00+02:00;1000
Limit;2017-07-25T19:13:00+02:00;1000
Limit;2017-07-25T19:14:00+02:00;1000
Limit;2017-07-25T19:15:00+02:00;1000
Limit;2017-07-25T19:16:00+02:00;1000
Limit;2017-07-25T19:17:00+02:00;1000
Limit;2017-07-25T19:18:00+02:00;1000
Limit;2017-07-25T19:19:00+02:00;1000
Limit;2017-07-25T19:20:00+02:00;1000
Limit;2017-07-25T19:21:00+02:00;1000
Limit;2017-07-25T19:22:00+02:00;1000
Limit;2017-07-25T19:23:00+02:00;1000
Limit;2017-07-25T19:24:00+02:00;1000
Limit;2017-07-25T19:25:00+02:00;1000
Limit;2017-07-25T19:26:00+02:00;1000
Limit;2017-07-25T19:27:00+02:00;1000
Limit;2017-07-25T19:28:00+02:00;1000
Limit;2017-07-25T19:29:00+02:00;1000
Limit;2017-07-25T19:30:00+02:00;1000
Limit;2017-07-25T19:31:00+02:00;1000
Limit;2017-07-25T19:32:00+02:00;1000
Limit;2017-07-25T19:33:00+02:00;1000
Limit;2017-07-25T19:34:00+02:00;1000
Limit;2017-07-25T19:35:00+02:00;1000
Limit;2017-07-25T19:36:00+02:00;1000
Limit;2017-07-25T19:37:00+02:00;1000
Limit;2017-07-25T19:38:00+02:00;1000
Limit;2017-07-25T19:39:00+02:00;1000
Limit;2017-07-25T19:40:00+02:00;1000
Limit;2017-07-25T19:41:00+02:00;1000
Limit;2017-07-25T19:42:00+02:00;1000
Limit;2017-07-25T19:43:00+02:00;1000
Limit;2017-07-25T19:44:00+02:00;1000
Limit;2017-07-25T19:45:00+02:00;1000
Limit;2017-07-25T19:46:00+02:00;1000
Limit;2017-07-25T19:47:00+02:00;1000
Limit;2017-07-25T19:48:00+02:00;1000
Limit;2017-07-25T19:11:00+02:00;1000
Limit;2017-07-25T19:12:00+02:00;1000
Limit;2017-07-25T19:13:00+02:00;1000
Limit;2017-07-25T19:14:00+02:00;1000
Limit;2017-07-25T19:15:00+02:00;1000
Limit;2017-07-25T19:16:00+02:00;1000
Limit;2017-07-25T19:17:00+02:00;1000
Limit;2017-07-25T19:18:00+02:00;1000
Limit;2017-07-25T19:19:00+02:00;1000
Limit;2017-07-25T19:20:00+02:00;1000
Limit;2017-07-25T19:21:00+02:00;1000
Limit;2017-07-25T19:22:00+02:00;1000
Limit;2017-07-25T19:23:00+02:00;1000
Limit;2017-07-25T19:24:00+02:00;1000
Limit;2017-07-25T19:25:00+02:00;1000
Limit;2017-07-25T19:26:00+02:00;1000
Limit;2017-07-25T19:27:00+02:00;1000
Limit;2017-07-25T19:28:00+02:00;1000
Limit;2017-07-25T19:29:00+02:00;1000
Limit;2017-07-25T19:30:00+02:00;1000
Limit;2017-07-25T19:31:00+02:00;1000
Limit;2017-07-25T19:32:00+02:00;1000
Limit;2017-07-25T19:33:00+02:00;1000
Limit;2017-07-25T19:34:00+02:00;1000
Limit;2017-07-25T19:35:00+02:00;1000
Limit;2017-07-25T19:36:00+02:00;1000
Limit;2017-07-25T19:37:00+02:00;1000
Limit;2017-07-25T19:38:00+02:00;1000
Limit;2017-07-25T19:39:00+02:00;1000
Limit;2017-07-25T19:40:00+02:00;1000
Limit;2017-07-25T19:41:00+02:00;1000
Limit;2017-07-25T19:42:00+02:00;1000
Limit;2017-07-25T19:43:00+02:00;1000
Limit;2017-07-25T19:44:00+02:00;1000
Limit;2017-07-25T19:45:00+02:00;1000
Limit;2017-07-25T19:46:00+02:00;1000
Limit;2017-07-25T19:47:00+02:00;1000
Limit;2017-07-25T19:48:00+02:00;1000
cpu/node_utilization.distinct;2017-07-25T19:11:00+02:00;817.7499771118164
cpu/node_utilization.distinct;2017-07-25T19:12:00+02:00;830.5000066757202
cpu/node_utilization.distinct;2017-07-25T19:13:00+02:00;811.7499947547913
cpu/node_utilization.distinct;2017-07-25T19:14:00+02:00;833.9999914169312
cpu/node_utilization.distinct;2017-07-25T19:15:00+02:00;809.0000152587891
cpu/node_utilization.distinct;2017-07-25T19:16:00+02:00;852.5000214576721
cpu/node_utilization.distinct;2017-07-25T19:17:00+02:00;825.2500295639038
cpu/node_utilization.distinct;2017-07-25T19:18:00+02:00;820.7499980926514
cpu/node_utilization.distinct;2017-07-25T19:19:00+02:00;865.7500147819519
cpu/node_utilization.distinct;2017-07-25T19:20:00+02:00;876.9999742507935
cpu/node_utilization.distinct;2017-07-25T19:21:00+02:00;872.2500205039978
cpu/node_utilization.distinct;2017-07-25T19:22:00+02:00;873.2500076293945
cpu/node_utilization.distinct;2017-07-25T19:23:00+02:00;876.7499923706055
cpu/node_utilization.distinct;2017-07-25T19:24:00+02:00;874.750018119812
cpu/node_utilization.distinct;2017-07-25T19:25:00+02:00;875.249981880188
cpu/node_utilization.distinct;2017-07-25T19:26:00+02:00;873.7499713897705
cpu/node_utilization.distinct;2017-07-25T19:27:00+02:00;874.2499947547913
cpu/node_utilization.distinct;2017-07-25T19:28:00+02:00;873.2500076293945
cpu/node_utilization.distinct;2017-07-25T19:29:00+02:00;873.0000257492065
cpu/node_utilization.distinct;2017-07-25T19:30:00+02:00;875.249981880188
cpu/node_utilization.distinct;2017-07-25T19:31:00+02:00;875.7500052452087
cpu/node_utilization.distinct;2017-07-25T19:32:00+02:00;910.0000262260437
cpu/node_utilization.distinct;2017-07-25T19:33:00+02:00;920.7500219345093
