Time;middletier-jwnhp;Limit;cpu/node_reservation.distinct;cpu/node_utilization.distinct;cpu/usage_rate.count;cfp.distinct {hostname: middletier-jwnhp};cfp.distinct {hostname: middletier-ppdbq};fpm.distinct {hostname: 10.0.11.64};fpm.distinct {hostname: middletier-jwnhp};fpm.distinct {hostname: middletier-ppdbq};test_results.fail_count_elapsed;test_results.fail_count_elapsed
2017-07-27T09:45:00+02:00;87;1000;550.000011920929;986.5000247955322;null;0;0;0;0;0;0;5
2017-07-27T09:46:00+02:00;91;1000;550.000011920929;986.2499833106995;null;0;0;0;7.2;0;0;158
2017-07-27T09:47:00+02:00;75;1000;1000;984.000027179718;null;0;0;0;639;0;0;159
2017-07-27T09:48:00+02:00;70;1000;1000;985.4999780654907;null;undefined;0;0;undefined;0;0;154
2017-07-27T09:49:00+02:00;81;1000;1000;985.0000143051147;5;undefined;0;632.1999999999999;undefined;637.4;449;198
2017-07-27T09:50:00+02:00;224;1000;1000;972.7500081062317;5;undefined;undefined;662.6;undefined;640.4;1903;1875
2017-07-27T09:51:00+02:00;399;1000;1000;957.0000171661377;5;undefined;undefined;643.8000000000001;undefined;642.8000000000001;2394;1465
2017-07-27T09:52:00+02:00;410;1000;1000;953.7500143051147;5;undefined;undefined;643.4;undefined;633;2270;1635
2017-07-27T09:53:00+02:00;401;1000;1000;953.7500143051147;5;undefined;undefined;655.4;undefined;645.5999999999999;2183;1724
2017-07-27T09:54:00+02:00;392;1000;1000;947.7499723434448;5;undefined;undefined;0;undefined;undefined;2199;1707
2017-07-27T09:55:00+02:00;418;1000;1000;949.999988079071;5;undefined;undefined;6.6;undefined;undefined;2051;1840
2017-07-27T09:56:00+02:00;405;1000;1000;947.7499723434448;5;undefined;undefined;629.4;undefined;undefined;2460;1447
2017-07-27T09:57:00+02:00;402;1000;1000;950.2500295639038;5;undefined;undefined;undefined;undefined;undefined;2486;1400
2017-07-27T09:58:00+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;2500;1392
2017-07-27T09:46:05+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:05+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:06+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
2017-07-27T09:46:06+02:00;undefined;undefined;undefined;undefined;5;undefined;undefined;undefined;undefined;undefined;undefined;undefined
