_DATE host cpuusage memusage 
2017-03-11-18:43:00 rssserver-l9b0p 34.0 2.656256E7 
2017-03-11-18:43:00 rssserver-l9b0p 34.0 2.656256E7 
2017-03-11-18:42:00 rssserver-l9b0p 39.0 2.4363008E7 
2017-03-11-18:42:00 rssserver-l9b0p 39.0 2.4363008E7 
2017-03-11-18:41:00 rssserver-l9b0p 39.0 2.586624E7 
2017-03-11-18:41:00 rssserver-l9b0p 39.0 2.586624E7 
2017-03-11-18:40:00 rssserver-l9b0p 35.0 2.5833472E7 
2017-03-11-18:40:00 rssserver-l9b0p 35.0 2.5833472E7 
2017-03-11-18:39:00 rssserver-l9b0p 36.0 2.4530944E7 
2017-03-11-18:39:00 rssserver-l9b0p 36.0 2.4530944E7 
2017-03-11-18:38:00 rssserver-l9b0p 35.0 2.459648E7 
2017-03-11-18:38:00 rssserver-l9b0p 35.0 2.459648E7 
2017-03-11-18:37:00 rssserver-l9b0p 32.0 2.4440832E7 
2017-03-11-18:37:00 rssserver-l9b0p 32.0 2.4440832E7 
2017-03-11-18:36:00 rssserver-l9b0p 32.0 2.4539136E7 
2017-03-11-18:36:00 rssserver-l9b0p 32.0 2.4539136E7 
2017-03-11-18:35:00 rssserver-l9b0p 30.0 2.4399872E7 
2017-03-11-18:35:00 rssserver-l9b0p 30.0 2.4399872E7 
2017-03-11-18:34:00 rssserver-l9b0p 27.0 2.3707648E7 
2017-03-11-18:34:00 rssserver-l9b0p 27.0 2.3707648E7 
2017-03-11-18:33:00 rssserver-l9b0p 27.0 2.4403968E7 
2017-03-11-18:33:00 rssserver-l9b0p 27.0 2.4403968E7 
2017-03-11-18:32:00 rssserver-l9b0p 24.0 2.3076864E7 
2017-03-11-18:32:00 rssserver-l9b0p 24.0 2.3076864E7 
2017-03-11-18:31:00 rssserver-l9b0p 22.0 2.308096E7 
2017-03-11-18:31:00 rssserver-l9b0p 22.0 2.308096E7 
2017-03-11-18:30:00 rssserver-l9b0p 21.0 2.3851008E7 
2017-03-11-18:30:00 rssserver-l9b0p 21.0 2.3851008E7 
2017-03-11-18:29:00 rssserver-l9b0p 19.0 2.3085056E7 
2017-03-11-18:29:00 rssserver-l9b0p 19.0 2.3085056E7 
2017-03-11-18:28:00 rssserver-l9b0p 16.0 2.3097344E7 
2017-03-11-18:28:00 rssserver-l9b0p 16.0 2.3097344E7 
2017-03-11-18:27:00 rssserver-l9b0p 15.0 2.310144E7 
2017-03-11-18:27:00 rssserver-l9b0p 15.0 2.310144E7 
2017-03-11-18:26:00 rssserver-l9b0p 13.0 2.3109632E7 
2017-03-11-18:26:00 rssserver-l9b0p 13.0 2.3109632E7 
2017-03-11-18:25:00 rssserver-l9b0p 10.0 2.310144E7 
2017-03-11-18:25:00 rssserver-l9b0p 10.0 2.310144E7 
2017-03-11-18:24:00 rssserver-l9b0p 9.0 2.2499328E7 
2017-03-11-18:24:00 rssserver-l9b0p 9.0 2.2499328E7 
2017-03-11-18:23:00 rssserver-l9b0p 8.0 2.2482944E7 
2017-03-11-18:23:00 rssserver-l9b0p 8.0 2.2482944E7 
2017-03-11-18:22:00 rssserver-l9b0p 6.0 2.18112E7 
2017-03-11-18:22:00 rssserver-l9b0p 6.0 2.18112E7 
2017-03-11-18:21:00 rssserver-l9b0p 5.0 2.18112E7 
2017-03-11-18:21:00 rssserver-l9b0p 5.0 2.18112E7 
2017-03-11-18:20:00 rssserver-l9b0p 4.0 2.18112E7 
2017-03-11-18:20:00 rssserver-l9b0p 4.0 2.18112E7 
2017-03-11-18:19:00 rssserver-l9b0p 2.0 2.1827584E7 
2017-03-11-18:19:00 rssserver-l9b0p 2.0 2.1827584E7 
2017-03-11-18:18:00 rssserver-l9b0p 2.0 2.1827584E7 
2017-03-11-18:18:00 rssserver-l9b0p 2.0 2.1827584E7 
2017-03-11-18:17:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:17:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:16:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:16:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:15:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:15:00 rssserver-l9b0p 1.0 2.1827584E7 
2017-03-11-18:14:00 rssserver-l9b0p 0.0 2.1827584E7 
2017-03-11-18:14:00 rssserver-l9b0p 0.0 2.1827584E7 
2017-03-11-18:13:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:13:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:12:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:12:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:11:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:11:00 rssserver-l9b0p 0.0 2.2515712E7 
2017-03-11-18:10:00 rssserver-l9b0p 0.0 2.2511616E7 
2017-03-11-18:10:00 rssserver-l9b0p 0.0 2.2511616E7 
2017-03-11-18:09:00 rssserver-l9b0p 0.0 2.2528E7 
2017-03-11-18:09:00 rssserver-l9b0p 0.0 2.2528E7 
2017-03-11-18:08:00 rssserver-l9b0p 0.0 2.3228416E7 
2017-03-11-18:08:00 rssserver-l9b0p 0.0 2.3228416E7 
