_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-12-11:30:00	edge-8vsjk	45.0	1.014308864E9	0.9927499890327454	500.0	
2017-03-12-11:30:00	edge-8vsjk	45.0	1.014308864E9	0.9927499890327454	500.0	
2017-03-12-11:29:00	edge-8vsjk	47.0	1.010405376E9	0.9925000071525574	500.0	
2017-03-12-11:29:00	edge-8vsjk	47.0	1.010405376E9	0.9925000071525574	500.0	
2017-03-12-11:28:00	edge-8vsjk	40.0	1.009483776E9	0.9922500252723694	500.0	
2017-03-12-11:28:00	edge-8vsjk	40.0	1.009483776E9	0.9922500252723694	500.0	
2017-03-12-11:27:00	edge-8vsjk	50.0	1.007222784E9	0.9925000071525574	433.0	
2017-03-12-11:27:00	edge-8vsjk	50.0	1.007222784E9	0.9925000071525574	433.0	
2017-03-12-11:26:00	edge-8vsjk	41.0	1.006473216E9	0.9925000071525574	433.0	
2017-03-12-11:26:00	edge-8vsjk	41.0	1.006473216E9	0.9925000071525574	433.0	
2017-03-12-11:25:00	edge-8vsjk	47.0	1.00421632E9	0.9925000071525574	433.0	
2017-03-12-11:25:00	edge-8vsjk	47.0	1.00421632E9	0.9925000071525574	433.0	
2017-03-12-11:24:00	edge-8vsjk	43.0	1.004310528E9	0.9925000071525574	366.0	
2017-03-12-11:24:00	edge-8vsjk	43.0	1.004310528E9	0.9925000071525574	366.0	
2017-03-12-11:23:00	edge-8vsjk	37.0	1.004023808E9	0.9922500252723694	359.0	
2017-03-12-11:23:00	edge-8vsjk	37.0	1.004023808E9	0.9922500252723694	359.0	
2017-03-12-11:22:00	edge-8vsjk	44.0	1.00409344E9	0.9922500252723694	359.0	
2017-03-12-11:22:00	edge-8vsjk	44.0	1.00409344E9	0.9922500252723694	359.0	
2017-03-12-11:21:00	edge-8vsjk	46.0	9.99821312E8	0.9927499890327454	450.0	
2017-03-12-11:21:00	edge-8vsjk	46.0	9.99821312E8	0.9927499890327454	450.0	
2017-03-12-11:20:00	edge-8vsjk	49.0	9.95651584E8	0.9925000071525574	450.0	
2017-03-12-11:20:00	edge-8vsjk	49.0	9.95651584E8	0.9925000071525574	450.0	
2017-03-12-11:19:00	edge-8vsjk	39.0	9.8185216E8	0.9922500252723694	450.0	
2017-03-12-11:19:00	edge-8vsjk	39.0	9.8185216E8	0.9922500252723694	450.0	
2017-03-12-11:18:00	edge-8vsjk	34.0	9.85563136E8	0.9917500019073486	200.0	
2017-03-12-11:18:00	edge-8vsjk	34.0	9.85563136E8	0.9917500019073486	200.0	
2017-03-12-11:17:00	edge-8vsjk	45.0	9.70887168E8	0.9925000071525574	200.0	
2017-03-12-11:17:00	edge-8vsjk	45.0	9.70887168E8	0.9925000071525574	200.0	
2017-03-12-11:16:00	edge-8vsjk	37.0	9.61662976E8	0.9919999837875366	200.0	
2017-03-12-11:16:00	edge-8vsjk	37.0	9.61662976E8	0.9919999837875366	200.0	
2017-03-12-11:15:00	edge-8vsjk	42.0	9.50829056E8	0.9915000200271606	225.0	
2017-03-12-11:15:00	edge-8vsjk	42.0	9.50829056E8	0.9915000200271606	225.0	
2017-03-12-11:14:00	edge-8vsjk	50.0	9.398272E8	0.9919999837875366	225.0	
2017-03-12-11:14:00	edge-8vsjk	50.0	9.398272E8	0.9919999837875366	225.0	
2017-03-12-11:13:00	edge-8vsjk	40.0	9.12482304E8	0.0	225.0	
2017-03-12-11:13:00	edge-8vsjk	40.0	9.12482304E8	0.0	225.0	
2017-03-12-11:12:00	edge-8vsjk	13.0	8.87341056E8	0.9927499890327454	200.0	
2017-03-12-11:12:00	edge-8vsjk	13.0	8.87341056E8	0.9927499890327454	200.0	
2017-03-12-11:09:00	edge-8vsjk	38.0	8.59631616E8	0.9927499890327454	150.0	
2017-03-12-11:09:00	edge-8vsjk	38.0	8.59631616E8	0.9927499890327454	150.0	
2017-03-12-11:08:00	edge-8vsjk	39.0	8.46082048E8	0.9925000071525574	150.0	
2017-03-12-11:08:00	edge-8vsjk	39.0	8.46082048E8	0.9925000071525574	150.0	
2017-03-12-11:07:00	edge-8vsjk	39.0	7.7328384E8	0.9929999709129333	150.0	
2017-03-12-11:07:00	edge-8vsjk	39.0	7.7328384E8	0.9929999709129333	150.0	
