_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-12-11:30:00	rssserver-63g53	7.0	3.1981568E7	0.9927499890327454	500.0	
2017-03-12-11:30:00	rssserver-63g53	7.0	3.1981568E7	0.9927499890327454	500.0	
2017-03-12-11:29:00	rssserver-63g53	6.0	3.2026624E7	0.9925000071525574	500.0	
2017-03-12-11:29:00	rssserver-63g53	6.0	3.2026624E7	0.9925000071525574	500.0	
2017-03-12-11:28:00	rssserver-63g53	6.0	3.1965184E7	0.9922500252723694	500.0	
2017-03-12-11:28:00	rssserver-63g53	6.0	3.1965184E7	0.9922500252723694	500.0	
2017-03-12-11:27:00	rssserver-63g53	7.0	3.188736E7	0.9925000071525574	433.0	
2017-03-12-11:27:00	rssserver-63g53	7.0	3.188736E7	0.9925000071525574	433.0	
2017-03-12-11:26:00	rssserver-63g53	6.0	3.1920128E7	0.9925000071525574	433.0	
2017-03-12-11:26:00	rssserver-63g53	6.0	3.1920128E7	0.9925000071525574	433.0	
2017-03-12-11:25:00	rssserver-63g53	7.0	3.1236096E7	0.9925000071525574	433.0	
2017-03-12-11:25:00	rssserver-63g53	7.0	3.1236096E7	0.9925000071525574	433.0	
2017-03-12-11:24:00	rssserver-63g53	7.0	3.0486528E7	0.9925000071525574	366.0	
2017-03-12-11:24:00	rssserver-63g53	7.0	3.0486528E7	0.9925000071525574	366.0	
2017-03-12-11:23:00	rssserver-63g53	6.0	3.1875072E7	0.9922500252723694	359.0	
2017-03-12-11:23:00	rssserver-63g53	6.0	3.1875072E7	0.9922500252723694	359.0	
2017-03-12-11:22:00	rssserver-63g53	7.0	3.1911936E7	0.9922500252723694	359.0	
2017-03-12-11:22:00	rssserver-63g53	7.0	3.1911936E7	0.9922500252723694	359.0	
2017-03-12-11:21:00	rssserver-63g53	6.0	3.1862784E7	0.9927499890327454	450.0	
2017-03-12-11:21:00	rssserver-63g53	6.0	3.1862784E7	0.9927499890327454	450.0	
2017-03-12-11:20:00	rssserver-63g53	6.0	3.1232E7	0.9925000071525574	450.0	
2017-03-12-11:20:00	rssserver-63g53	6.0	3.1232E7	0.9925000071525574	450.0	
2017-03-12-11:19:00	rssserver-63g53	6.0	3.1219712E7	0.9922500252723694	450.0	
2017-03-12-11:19:00	rssserver-63g53	6.0	3.1219712E7	0.9922500252723694	450.0	
2017-03-12-11:18:00	rssserver-63g53	6.0	3.2534528E7	0.9917500019073486	200.0	
2017-03-12-11:18:00	rssserver-63g53	6.0	3.2534528E7	0.9917500019073486	200.0	
2017-03-12-11:17:00	rssserver-63g53	7.0	3.3017856E7	0.9925000071525574	200.0	
2017-03-12-11:17:00	rssserver-63g53	7.0	3.3017856E7	0.9925000071525574	200.0	
2017-03-12-11:16:00	rssserver-63g53	6.0	3.086336E7	0.9919999837875366	200.0	
2017-03-12-11:16:00	rssserver-63g53	6.0	3.086336E7	0.9919999837875366	200.0	
2017-03-12-11:15:00	rssserver-63g53	7.0	3.088384E7	0.9915000200271606	225.0	
2017-03-12-11:15:00	rssserver-63g53	7.0	3.088384E7	0.9915000200271606	225.0	
2017-03-12-11:14:00	rssserver-63g53	8.0	3.1531008E7	0.9919999837875366	225.0	
2017-03-12-11:14:00	rssserver-63g53	8.0	3.1531008E7	0.9919999837875366	225.0	
2017-03-12-11:13:00	rssserver-63g53	6.0	2.4928256E7	0.0	225.0	
2017-03-12-11:13:00	rssserver-63g53	6.0	2.4928256E7	0.0	225.0	
