_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-13-00:50:00	middletier-2vpks	1.0	1.05631744E9	0.08900000154972076	0.0	
2017-03-13-00:50:00	middletier-2vpks	1.0	1.05631744E9	0.08900000154972076	0.0	
2017-03-13-00:49:00	middletier-2vpks	731.0	1.056677888E9	0.08649999648332596	0.0	
2017-03-13-00:49:00	middletier-2vpks	731.0	1.056677888E9	0.08649999648332596	0.0	
2017-03-13-00:48:00	middletier-2vpks	702.0	1.056641024E9	0.0925000011920929	300.0	
2017-03-13-00:48:00	middletier-2vpks	702.0	1.056641024E9	0.0925000011920929	300.0	
2017-03-13-00:47:00	middletier-2vpks	852.0	1.056845824E9	0.09624999761581421	300.0	
2017-03-13-00:47:00	middletier-2vpks	852.0	1.056845824E9	0.09624999761581421	300.0	
2017-03-13-00:46:00	middletier-2vpks	784.0	1.056612352E9	0.10100000351667404	350.0	
2017-03-13-00:46:00	middletier-2vpks	784.0	1.056612352E9	0.10100000351667404	350.0	
2017-03-13-00:45:00	middletier-2vpks	834.0	1.05746432E9	0.09574999660253525	350.0	
2017-03-13-00:45:00	middletier-2vpks	834.0	1.05746432E9	0.09574999660253525	350.0	
2017-03-13-00:44:00	middletier-2vpks	728.0	1.05709568E9	0.10350000113248825	400.0	
2017-03-13-00:44:00	middletier-2vpks	728.0	1.05709568E9	0.10350000113248825	400.0	
2017-03-13-00:43:00	middletier-2vpks	524.0	1.056862208E9	0.08275000005960464	400.0	
2017-03-13-00:43:00	middletier-2vpks	524.0	1.056862208E9	0.08275000005960464	400.0	
2017-03-13-00:42:00	middletier-2vpks	424.0	1.055424512E9	0.05700000002980232	250.0	
2017-03-13-00:42:00	middletier-2vpks	424.0	1.055424512E9	0.05700000002980232	250.0	
2017-03-13-00:41:00	middletier-2vpks	246.0	1.055309824E9	0.0625	250.0	
2017-03-13-00:41:00	middletier-2vpks	246.0	1.055309824E9	0.0625	250.0	
2017-03-13-00:40:00	middletier-2vpks	315.0	1.055367168E9	0.09049999713897705	100.0	
2017-03-13-00:40:00	middletier-2vpks	315.0	1.055367168E9	0.09049999713897705	100.0	
2017-03-13-00:39:00	middletier-2vpks	752.0	1.056653312E9	0.09350000321865082	100.0	
2017-03-13-00:39:00	middletier-2vpks	752.0	1.056653312E9	0.09350000321865082	100.0	
2017-03-13-00:38:00	middletier-2vpks	683.0	1.05699328E9	0.0729999989271164	350.0	
2017-03-13-00:38:00	middletier-2vpks	683.0	1.05699328E9	0.0729999989271164	350.0	
2017-03-13-00:37:00	middletier-2vpks	499.0	1.05531392E9	0.07850000262260437	350.0	
2017-03-13-00:37:00	middletier-2vpks	499.0	1.05531392E9	0.07850000262260437	350.0	
2017-03-13-00:36:00	middletier-2vpks	518.0	1.05517056E9	0.09300000220537186	200.0	
2017-03-13-00:36:00	middletier-2vpks	518.0	1.05517056E9	0.09300000220537186	200.0	
2017-03-13-00:35:00	middletier-2vpks	758.0	1.056227328E9	0.08675000071525574	200.0	
2017-03-13-00:35:00	middletier-2vpks	758.0	1.056227328E9	0.08675000071525574	200.0	
2017-03-13-00:34:00	middletier-2vpks	764.0	1.056632832E9	0.10050000250339508	300.0	
2017-03-13-00:34:00	middletier-2vpks	764.0	1.056632832E9	0.10050000250339508	300.0	
2017-03-13-00:33:00	middletier-2vpks	898.0	1.055301632E9	0.12224999815225601	300.0	
2017-03-13-00:33:00	middletier-2vpks	898.0	1.055301632E9	0.12224999815225601	300.0	
2017-03-13-00:32:00	middletier-2vpks	906.0	1.056509952E9	0.09449999779462814	400.0	
2017-03-13-00:32:00	middletier-2vpks	906.0	1.056509952E9	0.09449999779462814	400.0	
2017-03-13-00:31:00	middletier-2vpks	823.0	1.055064064E9	0.09449999779462814	400.0	
2017-03-13-00:31:00	middletier-2vpks	823.0	1.055064064E9	0.09449999779462814	400.0	
2017-03-13-00:30:00	middletier-2vpks	887.0	1.05603072E9	0.09700000286102295	350.0	
2017-03-13-00:30:00	middletier-2vpks	887.0	1.05603072E9	0.09700000286102295	350.0	
2017-03-13-00:29:00	middletier-2vpks	931.0	1.056669696E9	0.10074999928474426	350.0	
2017-03-13-00:29:00	middletier-2vpks	931.0	1.056669696E9	0.10074999928474426	350.0	
2017-03-13-00:28:00	middletier-2vpks	921.0	1.055670272E9	0.10525000095367432	400.0	
2017-03-13-00:28:00	middletier-2vpks	921.0	1.055670272E9	0.10525000095367432	400.0	
2017-03-13-00:27:00	middletier-2vpks	976.0	1.055596544E9	0.09974999725818634	400.0	
2017-03-13-00:27:00	middletier-2vpks	976.0	1.055596544E9	0.09974999725818634	400.0	
2017-03-13-00:26:00	middletier-2vpks	747.0	1.054859264E9	0.07699999958276749	500.0	
2017-03-13-00:26:00	middletier-2vpks	747.0	1.054859264E9	0.07699999958276749	500.0	
2017-03-13-00:25:00	middletier-2vpks	401.0	1.054666752E9	0.0742499977350235	500.0	
2017-03-13-00:25:00	middletier-2vpks	401.0	1.054666752E9	0.0742499977350235	500.0	
2017-03-13-00:24:00	middletier-2vpks	279.0	1.055678464E9	0.039500001817941666	200.0	
2017-03-13-00:24:00	middletier-2vpks	279.0	1.055678464E9	0.039500001817941666	200.0	
2017-03-13-00:23:00	middletier-2vpks	26.0	1.054851072E9	0.07325000315904617	200.0	
2017-03-13-00:23:00	middletier-2vpks	26.0	1.054851072E9	0.07325000315904617	200.0	
2017-03-13-00:22:00	middletier-2vpks	9.0	1.055670272E9	0.04500000178813934	3.0	
2017-03-13-00:22:00	middletier-2vpks	9.0	1.055670272E9	0.04500000178813934	3.0	
2017-03-13-00:21:00	middletier-2vpks	10.0	1.055670272E9	0.0442500002682209	3.0	
2017-03-13-00:21:00	middletier-2vpks	10.0	1.055670272E9	0.0442500002682209	3.0	
2017-03-13-00:20:00	middletier-2vpks	11.0	1.055670272E9	0.050999999046325684	3.0	
2017-03-13-00:20:00	middletier-2vpks	11.0	1.055670272E9	0.050999999046325684	3.0	
