_DATE	host	cpuusage	memusage	nodecpu	locustusers	fails1	requests1	fails	requests	
2017-04-09-17:45:00	edge-sjsht	0.0	5.50883328E8	0.05950000137090683	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:45:00	edge-sjsht	0.0	5.50883328E8	0.05950000137090683	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:45:00	edge-8vsjk	0.0	5.50883328E8	0.05950000137090683	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:45:00	edge-8vsjk	0.0	5.50883328E8	0.05950000137090683	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:44:00	edge-8vsjk	60.0	1.033867264E9	0.10750000178813934	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:44:00	edge-8vsjk	60.0	1.033867264E9	0.10750000178813934	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:44:00	edge-sjsht	50.0	1.033867264E9	0.10750000178813934	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:44:00	edge-sjsht	50.0	1.033867264E9	0.10750000178813934	0.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:43:00	edge-sjsht	127.0	5.67447552E8	0.09125000238418579	300.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:43:00	edge-sjsht	127.0	5.67447552E8	0.09125000238418579	300.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:43:00	edge-8vsjk	125.0	5.67447552E8	0.09125000238418579	300.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:43:00	edge-8vsjk	125.0	5.67447552E8	0.09125000238418579	300.0	3626.0	65061.0	3732.0	65076.0	
2017-04-09-17:42:00	edge-8vsjk	131.0	1.033777152E9	0.09000000357627869	300.0	3624.0	63880.0	3729.0	63862.0	
2017-04-09-17:42:00	edge-8vsjk	131.0	1.033777152E9	0.09000000357627869	300.0	3624.0	63880.0	3729.0	63862.0	
2017-04-09-17:42:00	edge-sjsht	134.0	1.033777152E9	0.09000000357627869	300.0	3624.0	63880.0	3729.0	63862.0	
2017-04-09-17:42:00	edge-sjsht	134.0	1.033777152E9	0.09000000357627869	300.0	3624.0	63880.0	3729.0	63862.0	
2017-04-09-17:41:00	edge-sjsht	137.0	5.98556672E8	0.0925000011920929	350.0	3611.0	62523.0	3715.0	62508.0	
2017-04-09-17:41:00	edge-sjsht	137.0	5.98556672E8	0.0925000011920929	350.0	3611.0	62523.0	3715.0	62508.0	
2017-04-09-17:41:00	edge-8vsjk	141.0	5.98556672E8	0.0925000011920929	350.0	3611.0	62523.0	3715.0	62508.0	
2017-04-09-17:41:00	edge-8vsjk	141.0	5.98556672E8	0.0925000011920929	350.0	3611.0	62523.0	3715.0	62508.0	
2017-04-09-17:40:00	edge-8vsjk	141.0	1.033416704E9	0.09125000238418579	350.0	3600.0	61130.0	3708.0	61123.0	
2017-04-09-17:40:00	edge-8vsjk	141.0	1.033416704E9	0.09125000238418579	350.0	3600.0	61130.0	3708.0	61123.0	
2017-04-09-17:40:00	edge-sjsht	139.0	1.033416704E9	0.09125000238418579	350.0	3600.0	61130.0	3708.0	61123.0	
2017-04-09-17:40:00	edge-sjsht	139.0	1.033416704E9	0.09125000238418579	350.0	3600.0	61130.0	3708.0	61123.0	
2017-04-09-17:39:00	edge-sjsht	148.0	5.7085952E8	0.08799999952316284	400.0	3569.0	59599.0	3676.0	59570.0	
2017-04-09-17:39:00	edge-sjsht	148.0	5.7085952E8	0.08799999952316284	400.0	3569.0	59599.0	3676.0	59570.0	
2017-04-09-17:39:00	edge-8vsjk	144.0	5.7085952E8	0.08799999952316284	400.0	3569.0	59599.0	3676.0	59570.0	
2017-04-09-17:39:00	edge-8vsjk	144.0	5.7085952E8	0.08799999952316284	400.0	3569.0	59599.0	3676.0	59570.0	
2017-04-09-17:38:00	edge-8vsjk	116.0	1.033478144E9	0.0754999965429306	400.0	3553.0	58020.0	3651.0	57968.0	
2017-04-09-17:38:00	edge-8vsjk	116.0	1.033478144E9	0.0754999965429306	400.0	3553.0	58020.0	3651.0	57968.0	
