cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle	cpuusage_middle		
987.0	990.0	994.0	980.0	989.0	993	995.0	995	912.0	992		
994.0	995.0	990.0	990.0	995.0	995	994.0	992	954.0	981		
990.0	992.0	992.0	991.0	990.0	986	995.0	993	991.0	987		
985.0	992.0	984.0	991.0	988.0	986	992.0	993	990.0	985		
986.0	990.0	984.0	975.0	996.0	983	990.0	995	990.0	989		
978.0	991.0	978.0	963.0	985.0	991	995.0	992	987.0	990		
990.0	982.0	976.0	965.0	982.0	983	988.0	992	988.0	991		
974.0	973.0	969.0	965.0	980.0	976	971.0	994	991.0	983		
959.0	959.0	947.0	929.0	973.0	978	960.0	997	968.0	985		
936.0	953.0	958.0	958.0	972.0	975	988.0	994	966.0	985		
944.0	943.0	905.0	931.0	966.0	972	994.0	992	980.0	981		
882.0	902.0	827.0	942.0	935.0	957	992.0	991	973.0	969		
844.0	888.0	820.0	946.0	897.0	939	973.0	982	967.0	973		
820.0	846.0	805.0	947.0	900.0	902	984.0	975	963.0	968		
761.0	789.0	802.0	922.0	906.0	834	986.0	963	920.0	945		
754.0	753.0	790.0	927.0	906.0	831	975.0	962	916.0	946		
741.0	708.0	762.0	913.0	880.0	827	965.0	920	891.0	899		
724.0	639.0	768.0	857.0	823.0	818	955.0	841	820.0	867		
730.0	634.0	762.0	830.0	783.0	825	962.0	805	773.0	831		
707.0	312.0	757.0	814.0	755.0	833	953.0	757	749.0	765		
671.0	608.0	734.0	782.0	694.0	833	914.0	693	677.0	716		
657.0	619.0	724.0	760.0	642.0	817	866.0	681	657.0	710		
652.0	634.0	719.0	738.0	655.0	796	863.0	673	652.0	732		
735.0	673.0	719.0	690.0	616.0	764	856.0	642	627.0	744		
774.0	650.0	739.0	660.0	590.0	746	838.0	611	623.0	728		
737.0	571.0	708.0	656.0	576.0	730	849.0	573	601.0	666		
570.0	494.0	671.0	618.0	567.0	688	797.0	478	539.0	595		
703.0	492.0	583.0	597.0	587.0	678	757.0	458	511.0	554		
651.0	457.0	656.0	567.0	559.0	623	729.0	431	502.0	523		
603.0	388.0	637.0	517.0	502.0	516	694.0	403	464.0	468		
563.0	415.0	631.0	502.0	460.0	536	617.0	387	475.0	457		
547.0	410.0	594.0	461.0	440.0	535	607.0	378	436.0	401		
481.0	433.0	547.0	355.0	399.0	538	578.0	343	372.0	371		
465.0	417.0	531.0	335.0	348.0	541	574.0	318	363.0	370		
431.0	378.0	494.0	301.0	326.0	512	543.0	290	374.0	310		
361.0	322.0	431.0	225.0	249.0	449	468.0	243	368.0	254		
334.0	307.0	409.0	196.0	199.0	404	404.0	255	355.0	251		
289.0	268.0	378.0	155.0	177.0	354	380.0	215	353.0	241		
212.0	199.0	310.0	75.0	125.0	271	310.0	182	320.0	231		
193.0	189.0	258.0	66.0	107.0	255	255.0	176	299.0	222		
180.0	165.0	225.0	64.0	96.0	194	228.0	171	284.0	182		
124.0	103.0	163.0	44.0	79.0	93	162.0	152	193.0	131		
101.0	96.0	118.0	40.0	65.0	76	103.0	136	145.0	121		
78.0	62.0	98.0	28.0	53.0	60	81.0	90	122.0	59		
14.0	1.0	25.0	1.0	22.0	6	39.0	8	41.0	1		
2.0	1.0	1.0	1.0	3.0	1	1.0	3	1.0	1		
2.0	1.0	1.0	1.0	3.0	2	1.0			1.0	1		
2.0	1.0	1.0	1.0	2.0	2	2.0			1.0	1		
				1.0			1.0			2.0		
