percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle,percentile_fetch_middle
0,0,0,1.014562,0,0,0,0,0,0,0.909374,0,0.992739,0,0,1.120829,0,0,0,0,0,58.962562,0,0,0,0,0,0,0,0,0,0,0,0,0.905981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,74.0865,0,0,0,0,0,0,62.119132,0,37.964876,0,0,10.03787,0,0,0,0,0,84.3495,0,0,0,0,0,0,0,0,72.520421,0,0,0,48.471641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,78.242642,0,0,0,0,0,0,94.296327,0,58.120862,0,0,96.657899,0,0,0,0,0,88.948547,0,0,0,0,0,0,0,0,97.733088,0,0,0,93.547734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.390934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29.829119,0,79.461739,0,52.79776,27.191226,0,0,0,31.46716,0,42.059379,0,31.606119,66.33174,29.561866,28.95288,0,0,0,34.914516,0,13.464911,0,38.290226,0,0,9.95995,0,73.204697,0,11.582966,0,29.442496,0,0,47.206665,28.116852,0,27.203222,0,0,6.87341,0,13.631001,0,53.52313,88.898142,0,7.12334,29.419716,0,58.395237,16.493437,0,28.713378,0,0,6.187848,0,92.120284,0,61.19667,9.240743,0,0,29.664535,6.790208,0,34.417363,0,26.9221,0,50.49693,0,30.436275,0,41.698173,6.3483
65.890175,85.297227,28.565636,94.437129,45.590518,81.408031,46.604261,0,0,28.821626,64.62128,28.935133,60.682435,52.386586,57.404135,29.466371,57.411557,76.386474,0,0,45.579509,56.685244,47.289851,61.948636,0,75.892894,47.899702,30.032894,69.580488,0,46.432515,64.30856,68.874446,57.859901,34.765562,75.423199,0,71.738198,33.967649,63.714306,63.095608,72.268896,0,61.369,32.200162,46.041599,44.8504,74.752045,89.082823,39.843279,77.971562,36.057269,58.711038,86.67869,35.103505,28.666429,53.941182,63.664013,0,43.426348,29.298526,60.229077,57.638488,84.385449,58.892453,0,0,52.181535,73.93957,73.998442,71.840897,30.679371,57.057062,0,64.52321,32.031844,68.000692,35.208781,77.673822,63.653516
77.909139,85.481107,32.693217,100.292638,75.085504,90.307836,84.757207,0,0,47.295513,81.202113,60.24817,69.38145,85.589843,40.926598,46.215242,46.039579,76.56784,0,0,59.431794,56.880431,78.993268,61.906541,0,88.601033,69.62614,60.473272,81.232034,0,64.683863,80.946392,68.058649,71.780594,44.486798,90.682212,0,80.504382,63.067344,78.638015,84.605064,66.299558,0,70.9808,55.732136,72.820383,70.735053,81.877933,95.603466,77.833111,79.36854,48.341418,69.348337,73.324138,52.943407,34.408839,62.203665,78.986232,0,58.416484,55.560584,68.182341,70.876478,88.925641,74.061341,0,0,66.477709,77.428703,85.714291,82.073831,46.335817,70.714132,0,61.433194,66.723312,79.264351,52.652103,84.360193,75.345679
78.530832,71.950683,39.96547,37.626196,73.777513,84.81865,94.273809,29.139282,6.649933,55.282515,78.51888,61.537661,59.269099,80.991102,47.71965,38.342296,32.088905,82.172874,0,72.457698,78.903389,52.260995,74.440187,62.783468,0,55.350067,75.171298,66.940503,75.403302,0,76.072959,87.540413,61.392253,79.347153,35.131054,96.820999,14.911166,74.373417,58.524329,88.497941,56.601562,40.234135,45.598735,58.015685,53.258711,74.337321,67.05749,58.041314,86.723718,73.597147,74.078606,33.491977,70.4341,80.043076,46.146781,54.319666,60.313937,82.230963,62.046449,57.910202,65.133305,76.110094,63.094045,36.552956,66.601606,0,0,54.461059,77.849945,90.651234,72.5362,51.886895,51.59381,0,33.39281,65.490812,54.544377,53.857209,40.376515,69.079237
57.6261,46.332109,37.130239,62.969521,29.278933,70.901513,73.438216,58.107928,68.867107,30.977972,80.036665,36.567834,32.171482,30.673974,32.833271,28.698157,30.884878,37.259999,0,74.388741,32.678596,30.995571,33.627333,28.589484,87.902909,35.495398,34.368384,51.411884,45.336432,61.184216,45.095431,62.726715,54.853545,61.208234,29.468708,89.311052,75.039451,71.621231,30.733522,82.103693,27.144351,17.941909,78.735458,30.132971,30.683277,40.503578,35.294857,38.46346,72.61512,35.345297,76.779843,29.765364,29.359221,73.933744,27.701402,30.619523,29.176477,30.451256,68.277846,38.125667,35.642047,44.027541,29.768166,31.605926,67.822889,0,0,36.966417,52.610774,60.252791,37.001197,28.551631,29.621198,55.697235,29.324425,39.641517,44.210628,27.092095,29.046595,30.843316
52.990838,46.202367,32.650258,79.002431,35.960504,79.18241,87.711677,63.705239,83.483027,30.440463,73.460422,39.306295,36.68146,33.117655,31.760666,34.064705,30.819991,37.170065,0,89.534855,33.476065,30.616383,37.261144,32.4192,95.161758,31.118855,35.558426,42.230932,44.028784,73.22335,33.676383,46.646308,53.848,47.053424,37.957588,90.509239,87.848019,77.048887,31.906802,91.586861,29.697546,0,74.719374,29.808997,28.540486,52.012205,30.350724,32.963849,67.891193,30.183189,74.91053,28.916523,34.750053,66.804713,29.040332,29.064976,30.87069,34.741229,84.16672,36.311724,33.149299,45.978909,28.003802,33.007273,72.105907,0,0,43.044788,64.154004,59.024289,37.063395,31.225491,34.269281,83.053878,30.356439,35.259879,48.239995,28.068377,30.963237,31.343383
49.208398,37.872577,41.333935,73.14518,31.193784,56.428822,82.833186,30.401374,84.539673,28.187697,79.942244,42.038558,34.739877,31.190125,28.585173,30.796787,33.577463,38.502562,0,71.45462,32.424013,29.488595,37.21751,30.877823,78.339214,30.835256,34.082957,57.253929,33.864928,84.04497,33.832839,73.671254,56.648821,54.133903,30.233249,89.790383,40.2502,31.611651,33.65803,93.878265,31.054308,0,43.350637,30.051687,29.124233,34.554743,32.01888,32.866976,65.727747,32.603749,54.022405,30.342795,31.394065,68.102119,29.948817,35.159056,30.784589,34.915629,44.157031,41.319844,32.084742,39.609155,31.128278,29.48906,70.764748,27.720569,0,28.529986,40.233974,48.193639,42.054771,30.074513,29.498003,91.362751,28.508095,31.445594,34.547582,29.034622,31.129462,31.414339
