,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,52,0,69,0,0,19,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,212,0,37,0,201,58,0,0,0,338,0,434,0,535,115,597,240,0,0,0,549,0,445,0,226,360,0,219,0,0,120,0,416,0,402,0,0,414,341,491,0,309,0,0,457,0,377,0,267,52,0,212,618,0,226,571,0,473,0,0,507,0,63,454,403,96,482,0,0,470,270,0,225,0,542,0,504,0,299,0,270,403
311,420,681,54,383,390,58,0,0,568,614,472,800,179,1049,766,1164,460,0,0,399,1015,338,874,0,438,709,458,421,0,450,231,343,810,293,973,54,0,414,672,960,152,593,0,0,894,514,730,435,507,52,450,408,1199,438,435,1111,616,907,202,0,985,562,384,881,778,187,942,0,0,915,523,77,441,609,1049,0,987,477,593,558,531,790
609,667,1319,96,753,597,114,0,0,1118,900,931,1216,353,1589,1389,1755,741,0,0,780,1533,621,1322,0,709,1089,890,668,0,832,413,653,1210,558,1545,102,0,810,1002,1462,298,930,0,0,1355,983,1106,842,820,101,887,623,1820,846,661,1699,1199,1370,390,0,1486,1101,698,1348,1185,350,1406,0,0,1378,793,151,714,1183,1587,0,1498,923,904,1103,859,1209
941,1230,1971,353,1165,963,194,530,299,1721,1224,1412,1886,599,2442,2074,2655,1390,0,199,1192,2264,969,2136,0,1420,1764,1343,1306,0,1257,1045,998,1702,867,2299,158,183,1245,1329,2251,437,1720,0,207,2267,1527,1743,1273,1553,182,1347,947,2913,1286,1041,2699,1841,2231,651,303,2170,1661,1060,2105,2150,1058,1842,0,0,1969,1279,284,1339,1814,2362,204,2468,1393,1419,1682,1650,1982
1488,1802,2644,695,1923,1345,423,1039,579,2718,1550,2066,2542,1370,3292,3020,3564,2056,0,389,1997,3001,1641,2964,36,2144,2450,1916,1948,329,1902,1045,1506,2205,1448,3159,264,359,1860,1657,3061,560,2525,0,402,3170,2508,2386,2028,2293,497,2125,1271,3996,2065,1435,3720,2853,3091,1435,592,2862,2406,1631,2869,3118,1791,2270,0,0,2563,1767,816,1972,2798,3135,204,3417,2040,1933,2601,2454,2778
2035,2439,3326,1053,2709,1768,657,1624,921,3741,1883,2730,3270,2154,4204,3945,4471,2774,0,649,2819,3832,2302,3839,69,2941,2450,2496,2629,642,2557,1676,2031,2696,2036,4043,369,580,2490,2064,3859,677,3367,0,676,4171,3533,3062,2781,3089,809,2890,1653,5078,2838,1838,4737,3890,3954,2244,947,3584,3163,2206,3692,4103,2548,2730,0,0,3241,2339,1337,2625,3819,4016,395,4425,2712,2501,3556,3296,3580
