_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress	
Wed Jul 26 04:27:00 UTC 2017	996.0	1.4048256E9	1.7965416E7	73.0	2.6083328E7	271569.40625	116.0	8.25675776E8	40062.4765625	166.0	163.0	1.15134464E9	1.098326016E9	3626647.5	3606102.25	0.10474999994039536	0.16224999725818634	0.3479999899864197	0.36649999022483826	0.7515419125556946	600.0	null	null	null	null	4.0391589E8	3.9884751E8	9.6722779E7	1.03905311E8	1.03624175E8	9.8439828E7	1.26999002E8	6.345596E7	6.345596E7	7305685.0	9976704.0	null	
Wed Jul 26 04:26:00 UTC 2017	994.0	1.406644224E9	1.7965416E7	72.0	2.6517504E7	271569.40625	117.0	8.25516032E8	40204.5859375	166.0	165.0	1.150111744E9	1.098326016E9	3626647.5	3606102.25	0.1264999955892563	0.14749999344348907	0.3479999899864197	0.35975000262260437	0.7514660954475403	600.0	null	null	null	null	3.90086063E8	3.98053811E8	9.9135297E7	9.1157829E7	9.385636E7	9.9245544E7	1.35585791E8	6.3734072E7	6.3734072E7	8640053.0	9127686.0	null	
Wed Jul 26 04:25:00 UTC 2017	992.0	1.404923904E9	1.7965416E7	75.0	2.6697728E7	271569.40625	122.0	8.24819712E8	41580.26171875	169.0	168.0	1.150754816E9	1.099313152E9	3507676.25	3470080.75	0.11424999684095383	0.15925000607967377	0.3512499928474426	0.3555000126361847	0.7508936524391174	600.0	null	null	null	null	3.85697564E8	3.71382473E8	9.0276797E7	1.11409342E8	8.4876278E7	9.1775346E7	1.21192221E8	6.2684339E7	6.2684339E7	7207778.0	7120123.0	null	
Wed Jul 26 04:24:00 UTC 2017	993.0	1.404915712E9	1.0038001E7	71.0	2.5010176E7	271569.40625	113.0	8.24393728E8	21407.13671875	169.0	169.0	1.151582208E9	1.099309056E9	3507676.25	3470080.75	0.11400000005960464	0.1522500067949295	0.34599998593330383	0.36375001072883606	0.7603752613067627	584.0	null	null	null	null	3.7182124E8	3.79516252E8	9.9339094E7	1.01016148E8	1.01384019E8	8.4928439E7	1.20601713E8	6.2308826E7	6.2308826E7	9316664.0	9047699.0	null	
Wed Jul 26 04:23:00 UTC 2017	998.0	1.405833216E9	1.0038001E7	42.0	2.4170496E7	271551.15625	65.0	8.2423808E8	21407.13671875	85.0	96.0	1.150574592E9	1.09948928E9	3507676.25	3470080.75	0.10225000232458115	0.11949999630451202	0.3347499966621399	0.2280000001192093	0.7601349949836731	584.0	null	null	null	null	3.46839341E8	3.74007902E8	8.703993E7	8.6655206E7	9.1255888E7	8.8952428E7	1.18344412E8	6.1985287E7	6.1985287E7	6683863.0	7958982.0	null	
Wed Jul 26 04:22:00 UTC 2017	565.0	1.405825024E9	1.7471604E7	69.0	2.8028928E7	271551.15625	110.0	8.38094848E8	39213.47265625	158.0	164.0	1.150488576E9	1.100050432E9	3507676.25	3470080.75	0.1185000017285347	0.14925000071525574	0.3790000081062317	0.3434999883174896	0.7601174116134644	584.0	null	null	null	null	4.13009396E8	4.00517888E8	1.47638639E8	1.093155E8	1.03450489E8	9.0283937E7	1.18938144E8	6.0685348E7	6.0685348E7	1.9001104E7	1.5614835E7	null	
Wed Jul 26 04:21:00 UTC 2017	929.0	1.406050304E9	1.7841616E7	69.0	2.5567232E7	271551.15625	118.0	8.4297728E8	39213.47265625	158.0	165.0	1.150251008E9	1.100050432E9	3456849.0	null	0.12174999713897705	0.14624999463558197	0.3347499966621399	0.3502500057220459	0.7599275708198547	501.0	null	null	null	null	3.68685341E8	3.4602018E8	1.06854687E8	9.6280446E7	1.06109027E8	9.3721938E7	1.159879E8	6.0871857E7	6.0871857E7	9059755.0	8683060.0	null	
Wed Jul 26 04:20:00 UTC 2017	983.0	1.404895232E9	1.7841616E7	69.0	2.59072E7	271551.15625	116.0	8.42338304E8	39213.47265625	156.0	169.0	1.149124608E9	1.100050432E9	3456849.0	null	0.10724999755620956	0.14949999749660492	0.32475000619888306	0.36024999618530273	0.7603684067726135	501.0	null	null	null	null	3.28764325E8	3.3480893E8	1.19024333E8	8.8485641E7	1.03627002E8	9.1275622E7	1.17087033E8	6.1158047E7	6.1158047E7	6825700.0	6263496.0	null	
Wed Jul 26 04:19:00 UTC 2017	977.0	1.404760064E9	1.7755892E7	69.0	2.566144E7	271551.15625	114.0	8.41760768E8	37414.578125	155.0	161.0	1.146638336E9	1.095991296E9	3456849.0	null	0.13850000500679016	0.14399999380111694	0.3264999985694885	0.3492499887943268	0.760209858417511	501.0	null	null	null	null	3.17973405E8	3.27404581E8	8.8211453E7	7.6640174E7	8.2176683E7	8.0479889E7	1.14848482E8	6.0214847E7	6.0214847E7	6605239.0	6571578.0	null	
Wed Jul 26 04:18:00 UTC 2017	971.0	1.40507136E9	1.722943E7	67.0	2.4457216E7	251592.609375	121.0	8.41777152E8	37414.578125	152.0	160.0	1.147428864E9	1.096978432E9	3108299.0	3245365.5	0.12150000035762787	0.13850000500679016	0.3257499933242798	0.34150001406669617	0.7600665092468262	440.0	null	null	null	null	3.14031599E8	3.1824545E8	8.5957669E7	7.4672731E7	8.2717607E7	7.8834701E7	1.15691684E8	5.9153654E7	5.9153654E7	7093781.0	6261614.0	null	
