_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra1	memusage_cassandra2	network_cassandra1	cpuusage_edge2	cpuusage_edge3	memusage_edge2	memusage_edge3	network_edge1	network_edge4	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_viewfeedresponsetime_edge3	percentile_viewfeedresponsetime_edge4	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_addfeedresponsetime_edge3	percentile_addfeedresponsetime_edge4	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_deletefeedresponsetime_edge3	percentile_deletefeedresponsetime_edge4	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle1	percentile_sub_middle2	percentile_unsub_middle1	percentile_unsub_middle2	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Thu Jul 27 08:52:00 UTC 2017	403.0	1.08531712E9	8167109.5	31.0	3.151872E7	169051.296875	2.0	5.20695808E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1597619.375	1566569.875	0.12349999696016312	0.14624999463558197	0.22200000286102295	0.9482499957084656	0.797248125076294	600.0	null	null	null	null	9.47663606E8	null	null	9.20553357E8	3.71216537E8	null	null	2.80836E8	3.09703479E8	null	null	3.15359995E8	null	2.5212151E8	7.3079588E7	7.3079588E7	null	3.6569457E7	null	3.7784469E7	273.0	277.0	275.0	275.0	275.0	267.0	278.0	273.0	276.0	274.0	275.0	
Thu Jul 27 08:51:00 UTC 2017	409.0	1.084698624E9	8522984.0	30.0	2.9999104E7	169051.296875	2.0	5.18557696E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1597619.375	1566569.875	0.13650000095367432	0.14524999260902405	0.21799999475479126	0.9502500295639038	0.7994454503059387	600.0	null	null	null	null	1.022280705E9	null	null	1.001376849E9	3.38240754E8	null	null	2.8769817E8	3.64280674E8	null	null	3.14664326E8	null	2.75817549E8	7.6080051E7	7.6080051E7	null	3.622339E7	null	3.0660785E7	276.0	271.0	275.0	275.0	272.0	270.0	275.0	272.0	272.0	276.0	275.0	
Thu Jul 27 08:50:00 UTC 2017	394.0	1.085730816E9	8522984.0	30.0	3.1592448E7	169051.296875	2.0	5.1525632E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1654589.25	1635437.0	0.12049999833106995	0.14775000512599945	0.2224999964237213	0.9472500085830688	0.7970020174980164	600.0	null	null	null	null	8.8625075E8	null	null	1.084829168E9	3.82933936E8	null	null	3.0355858E8	3.04333841E8	null	null	2.95702693E8	null	2.97369762E8	7.8094826E7	7.8094826E7	null	4.3292657E7	null	4.1596259E7	271.0	274.0	276.0	271.0	273.0	274.0	272.0	273.0	273.0	272.0	273.0	
Thu Jul 27 08:49:00 UTC 2017	406.0	1.084469248E9	8522984.0	30.0	2.9806592E7	169051.296875	2.0	5.12753664E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1654589.25	1635437.0	0.13899999856948853	0.13199999928474426	0.21899999678134918	0.9472500085830688	0.7979952692985535	500.0	null	null	null	null	8.66661084E8	null	null	1.07509935E9	3.00014925E8	null	null	2.37160066E8	3.10077831E8	null	null	3.2396203E8	null	2.39534384E8	6.8990904E7	6.8990904E7	null	3.3277372E7	null	2.8372804E7	273.0	272.0	275.0	271.0	276.0	274.0	276.0	271.0	273.0	271.0	273.0	
Thu Jul 27 08:48:00 UTC 2017	402.0	1.08644352E9	8522984.0	31.0	2.9802496E7	158964.359375	2.0	5.10971904E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1778465.25	1754903.875	0.13474999368190765	0.1287499964237213	0.19750000536441803	0.9492499828338623	0.7964574694633484	500.0	null	null	null	null	9.43783105E8	null	null	9.33450845E8	3.64891459E8	null	null	3.02346347E8	3.48373074E8	null	null	3.43864956E8	null	2.72399403E8	7.467165E7	7.467165E7	null	3.4261576E7	null	3.9070251E7	275.0	271.0	275.0	276.0	273.0	271.0	278.0	275.0	273.0	275.0	275.0	
Thu Jul 27 08:47:00 UTC 2017	409.0	1.084964864E9	8228415.0	30.0	3.0961664E7	158964.359375	2.0	5.09284352E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1748383.25	1553519.125	0.12675000727176666	0.13300000131130219	0.21074999868869781	0.9487500190734863	0.7983387112617493	500.0	null	null	null	null	9.91638244E8	null	null	1.10088409E9	3.18006067E8	null	null	3.5967039E8	2.77786219E8	null	null	3.82017969E8	null	2.81819838E8	7.4469859E7	7.4469859E7	null	3.4460845E7	null	3.8296059E7	272.0	275.0	273.0	273.0	272.0	271.0	276.0	274.0	273.0	272.0	275.0	
Thu Jul 27 08:46:00 UTC 2017	403.0	1.08496896E9	8343616.0	31.0	3.096576E7	144789.8125	2.0	5.07138048E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1748383.25	1553519.125	0.13625000417232513	0.1277499943971634	0.2004999965429306	0.952750027179718	0.7959975600242615	400.0	null	null	null	null	1.066437745E9	null	null	9.32467086E8	3.84139023E8	null	null	3.1552874E8	2.92055923E8	null	null	3.25121857E8	null	2.88062544E8	7.2013116E7	7.2013116E7	null	3.3842499E7	null	3.6539073E7	280.0	278.0	276.0	275.0	279.0	277.0	280.0	278.0	274.0	277.0	279.0	
Thu Jul 27 08:45:00 UTC 2017	369.0	1.082376192E9	8343616.0	34.0	3.0056448E7	144789.8125	2.0	5.03840768E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1748383.25	1553519.125	0.1080000028014183	0.1352500021457672	0.2094999998807907	0.9490000009536743	0.7976997494697571	400.0	null	null	null	null	1.223064946E9	null	null	1.034162484E9	3.88483545E8	null	null	3.28378812E8	3.73689654E8	null	null	3.88419404E8	null	3.08408729E8	8.3418671E7	8.3418671E7	null	4.302693E7	null	4.8556311E7	273.0	271.0	273.0	274.0	273.0	285.0	273.0	272.0	275.0	276.0	270.0	
Thu Jul 27 08:44:00 UTC 2017	413.0	1.082433536E9	8071586.0	32.0	3.0531584E7	167602.9375	2.0	5.04946688E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1757507.0	1673978.5	0.11874999850988388	0.12224999815225601	0.19900000095367432	0.9490000009536743	0.795232355594635	400.0	null	null	null	null	1.171636279E9	null	null	1.053153709E9	4.06789056E8	null	null	3.63085872E8	3.93968349E8	null	null	3.93419637E8	null	2.88331049E8	7.9489298E7	7.9489298E7	null	3.9178043E7	null	4.3995179E7	271.0	273.0	274.0	271.0	274.0	275.0	273.0	273.0	271.0	271.0	275.0	
Thu Jul 27 08:43:00 UTC 2017	399.0	1.082753024E9	8647590.0	32.0	3.0543872E7	177319.25	2.0	5.01211136E8	0.0	5.0	4.0	1.12852992E9	1.1021312E9	1757507.0	1673978.5	0.11900000274181366	0.12974999845027924	0.20475000143051147	0.9487500190734863	0.7973543405532837	350.0	null	null	null	null	9.75705967E8	null	null	1.08243283E9	2.786104E8	null	null	3.91881804E8	3.32675218E8	null	null	3.38359606E8	null	2.78933797E8	7.0719837E7	7.0719837E7	null	3.650091E7	null	3.7725554E7	275.0	274.0	275.0	273.0	276.0	284.0	275.0	272.0	275.0	275.0	271.0	
