('2017-07-27 08:10:55', 1501143055, 'Users=', 3, 'Duration=', 3, 'min')
('2017-07-27 08:13:55', 1501143235, 'Users=', 5, 'Duration=', 3, 'min')
('2017-07-27 08:16:55', 1501143415, 'Users=', 10, 'Duration=', 3, 'min')
('2017-07-27 08:19:55', 1501143595, 'Users=', 20, 'Duration=', 3, 'min')
('2017-07-27 08:22:56', 1501143776, 'Users=', 50, 'Duration=', 3, 'min')
('2017-07-27 08:25:56', 1501143956, 'Users=', 100, 'Duration=', 3, 'min')
('2017-07-27 08:28:56', 1501144136, 'Users=', 150, 'Duration=', 3, 'min')
('2017-07-27 08:31:56', 1501144316, 'Users=', 200, 'Duration=', 3, 'min')
('2017-07-27 08:34:56', 1501144496, 'Users=', 250, 'Duration=', 3, 'min')
('2017-07-27 08:37:56', 1501144676, 'Users=', 300, 'Duration=', 3, 'min')
('2017-07-27 08:40:56', 1501144856, 'Users=', 350, 'Duration=', 3, 'min')
('2017-07-27 08:43:56', 1501145036, 'Users=', 400, 'Duration=', 3, 'min')
('2017-07-27 08:46:56', 1501145216, 'Users=', 500, 'Duration=', 3, 'min')
('2017-07-27 08:49:56', 1501145396, 'Users=', 600, 'Duration=', 3, 'min')
