_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,network_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Mon May 01 12:50:00 UTC 2017,995,1311252480,19862548,86,31633408,222743.078125,133,823877632,43017.3515625,188,186,1121042432,1137545216,4076207.75,,0.094750002026558,0.126499995589256,0.355250000953674,0.484499990940094,0.921810567378998,600,50362,50307,3529,3537,4,18,0,0,229696358,219744225,116175120,130583065,116820605,125927943,150744202,59691125,59691125,9535330,7144789
Mon May 01 12:49:00 UTC 2017,992,1311019008,19925896,86,30212096,222743.078125,136,823382016,43904.40234375,184,188,1121034240,1137532928,4013758.5,,0.100500002503395,0.128000006079674,0.19200000166893,0.489250004291534,0.921722531318665,600,48613,48567,3307,3315,3,17,0,0,249237377,234873663,116692519,124153244,123794058,142885281,157338486,59789026,59789026,7853235,6484483
Mon May 01 12:48:00 UTC 2017,993,1310904320,19925896,87,31637504,222743.078125,145,822673408,43904.40234375,184,187,1119440896,1137192960,4013758.5,,0.096000000834465,0.131750002503395,0.193749994039536,0.489749997854233,0.92154049873352,600,46934,46856,3018,3047,2,16,0,0,242203551,264027464,138415191,133044337,111167814,139126673,158462019,60647036,60647036,10677652,6613124
Mon May 01 12:47:00 UTC 2017,993,1310965760,19650120,87,32944128,223430.46875,144,822763520,43904.40234375,183,189,1120481280,1137795072,3947097.75,,0.097249999642372,0.127000004053116,0.192249998450279,0.476249992847443,0.921563982963562,585,45268,45138,2710,2780,2,14,0,0,243124097,232656802,113889645,117800284,141959698,123200584,156628121,59755826,59755826,7984743,7450858
Mon May 01 12:46:00 UTC 2017,995,1310900224,19650120,87,31453184,221939.859375,140,822337536,43572.79296875,181,189,1120473088,1137123328,3915091,,0.104500003159046,0.12950000166893,0.207000002264976,0.485249996185303,0.921271860599518,585,43562,43419,2462,2524,1,13,0,0,233355229,230571719,119422598,124430450,119541030,123281198,154132324,59468903,59468903,7997139,6529788
Mon May 01 12:45:00 UTC 2017,992,1311121408,19650120,86,30629888,217934.203125,143,821608448,43572.79296875,185,186,1120071680,1137442816,3980276,,0.111000001430511,0.126499995589256,0.184499993920326,0.484750002622604,0.921144664287567,585,41825,41688,2230,2307,1,11,0,0,226581263,243314600,122508612,115341865,129288002,127620806,159689456,59220534,59220534,7085902,8097959
Mon May 01 12:44:00 UTC 2017,992,1311510528,19798224,86,31428608,219239.796875,145,821174272,44908.12109375,185,189,1120198656,1137430528,4001694.75,,0.099749997258186,0.128499999642372,0.194000005722046,0.489499986171722,0.921109437942505,567,40093,39997,1981,2024,1,9,0,0,246200162,233799833,140535102,119904120,130767947,115641079,155846931,59579963,59579963,7934530,7278114
Mon May 01 12:43:00 UTC 2017,994,1311092736,19740888,87,30818304,216466.828125,136,821112832,44908.12109375,188,188,1121017856,1137418240,4001694.75,,0.096249997615814,0.127000004053116,0.188999995589256,0.493000000715256,0.920797765254974,567,38385,38299,1726,1747,1,7,0,0,226598535,233266431,132270228,129086422,123696737,115582204,159068342,59618264,59618264,6291947,6923606
Mon May 01 12:42:00 UTC 2017,997,1310986240,19740888,86,30789632,217405.1875,140,820404224,44908.12109375,188,183,1121009664,1137385472,4038053.25,,0.101000003516674,0.126000002026558,0.207499995827675,0.476500004529953,0.921261608600616,567,36652,36597,1487,1477,1,5,0,0,232676619,256003974,138682948,127317976,116834276,138364659,161505035,60583538,60583538,8024048,7242625
Mon May 01 12:41:00 UTC 2017,994,1311125504,19740888,86,31510528,218185.59375,144,820469760,44908.12109375,195,188,1119399936,1136988160,4038053.25,,0.089500002563,0.12950000166893,0.195749998092651,0.49125000834465,0.92038631439209,542,34944,34940,1217,1170,1,3,0,0,227618900,227811939,113032156,111152509,130127122,108644015,144438092,58670062,58670062,6785215,7161799
Mon May 01 12:40:00 UTC 2017,992,1311166464,19556222,86,30670848,218185.59375,142,819929088,44162.37109375,186,187,1120804864,1137176576,4038053.25,,0.099500000476837,0.130999997258186,0.188250005245209,0.48199999332428,0.92020970582962,542,33200,33193,1002,947,0,2,0,0,212237450,210211986,121686071,101777816,101632616,93306523,141054547,58180525,58180525,7814381,7812654
Mon May 01 12:39:00 UTC 2017,991,1311301632,19556222,84,30707712,215374.890625,145,819523584,37452.96484375,187,187,1120346112,1137033216,4050789.75,,0.104500003159046,0.127749994397163,0.210250005125999,0.476000010967255,0.919996857643127,542,31427,31405,797,763,0,0,0,0,211737760,219428317,124576634,119648911,106372936,104568919,140618554,57879680,57879680,7004838,7120251
Mon May 01 12:38:00 UTC 2017,982,1311170560,19475012,84,30707712,215374.890625,149,818659328,37452.96484375,185,186,1121017856,1136902144,3929268.5,,0.090250000357628,0.130750000476837,0.190249994397163,0.471749991178513,0.919949889183044,498,29663,29664,616,548,0,0,0,0,204497478,206303458,108879344,90940236,92601920,94040758,126423056,56293239,56293239,6980446,6989300
Mon May 01 12:37:00 UTC 2017,975,1311186944,19475012,82,29315072,208848.65625,147,818847744,37452.96484375,180,178,1120018432,1136361472,3929268.5,,0.097000002861023,0.124250002205372,0.189250007271767,0.469500005245209,0.919375956058502,498,27889,27889,437,370,0,0,0,0,194737174,192371474,91540239,75557959,86239305,87473370,120386314,54647312,54647312,6407136,6072938
Mon May 01 12:36:00 UTC 2017,963,1311248384,19475012,82,30842880,198516.328125,145,818130944,37452.96484375,178,182,1118461952,1134829568,3848614.5,,0.10724999755621,0.130250006914139,0.184249997138977,0.463499993085861,0.919232606887817,498,26069,26038,300,259,0,0,0,0,184119616,192344024,79047507,83057811,63297635,81243657,115590257,51833556,51833556,4634684,5161378
Mon May 01 12:35:00 UTC 2017,962,1311129600,18703518,77,29827072,198516.328125,148,817967104,37452.96484375,177,175,1118457856,1134649344,3724843.5,,0.106749996542931,0.134749993681908,0.209499999880791,0.447250008583069,0.929479897022247,459,24341,24325,198,159,0,0,0,0,187471370,176574323,80059244,58494913,78807103,79047344,115118378,52788970,52788970,4814129,5743703
Mon May 01 12:34:00 UTC 2017,920,1311223808,16395988,70,29192192,146539.734375,142,817172480,37452.96484375,151,161,1117794304,1134313472,3395523,,0.106749996542931,0.121500000357628,0.170249998569489,0.427249997854233,0.928748428821564,459,22598,22572,126,109,0,0,0,0,158551074,145174897,50373530,59397345,48706636,48861291,102748824,44659897,44659897,4549375,4047574
Mon May 01 12:33:00 UTC 2017,841,1311232000,16395988,65,28356608,146539.734375,141,816795648,36940.7265625,143,151,1117270016,1133531136,3182519.25,,0.097999997437,0.126750007271767,0.172000005841255,0.393500000238419,0.928382456302643,459,20855,20808,71,72,0,0,0,0,112619891,110282691,33370955,37275762,32221515,38345029,90462866,25191953,25191953,3600514,2877126
Mon May 01 12:32:00 UTC 2017,805,1311162368,13939041,61,26882048,146539.734375,143,816623616,37013.49609375,136,147,1117347840,1134616576,2605974,,0.096500001847744,0.125499993562698,0.170249998569489,0.384750008583069,0.928203403949738,378,19372,19303,36,37,0,0,0,0,93743982,94583464,27239603,24429763,20428819,30542474,76026527,16395775,16395775,2588788,2457382
Mon May 01 12:31:00 UTC 2017,757,1311031296,13939041,55,26886144,146539.734375,131,816320512,31973.63671875,119,136,1118040064,1133662208,2605974,,0.087250001728535,0.115249998867512,0.15625,0.358249992132187,0.927550733089447,378,17879,17832,24,24,0,0,0,0,78412942,75073234,15770094,15625380,20197730,17926935,62191041,12129583,12129583,2280067,2749237
Mon May 01 12:30:00 UTC 2017,693,1311027200,13179535,55,27521024,146539.734375,124,816226304,31973.63671875,117,130,1118040064,1133744128,2065040.5,,0.09375,0.105499997735024,0.15174999833107,0.344999998807907,0.927318811416626,378,16380,16343,23,24,0,0,0,0,70975490,65254455,15028380,11002246,14410468,12400696,53443194,11493240,11493240,2401935,2282898
