_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 07:58:00 UTC 2017	996.0	1.481498624E9	1.8285612E7	75.0	2.506752E7	263244.46875	125.0	8.9247744E8	42323.30078125	190.0	174.0	1.11632384E9	1.120485376E9	3682732.75	0.10374999791383743	0.23849999904632568	0.2395000010728836	0.3567500114440918	0.8273015022277832	600.0	50337.0	50373.0	2734.0	2724.0	11.0	5.0	0.0	0.0	3.29951588E8	3.53731662E8	9.3698986E7	9.1645791E7	8.6230061E7	8.3859054E7	1.18920802E8	6.2355265E7	6.2355265E7	7692454.0	9342573.0	
Sat May 13 07:57:00 UTC 2017	998.0	1.479684096E9	1.843026E7	74.0	2.4276992E7	263244.46875	122.0	8.91908096E8	42323.30078125	195.0	170.0	1.116782592E9	1.120223232E9	3813343.0	0.10225000232458115	0.22824999690055847	0.24824999272823334	0.35249999165534973	0.8282120227813721	600.0	48707.0	48715.0	2411.0	2398.0	5.0	3.0	0.0	0.0	3.22800338E8	3.28712084E8	7.8342043E7	8.5305737E7	8.7224395E7	8.1957586E7	1.14685371E8	6.1406911E7	6.1406911E7	7265243.0	7512113.0	
Sat May 13 07:56:00 UTC 2017	994.0	1.476268032E9	1.8620154E7	75.0	2.4240128E7	259180.03125	121.0	8.91662336E8	42323.30078125	198.0	167.0	1.117405184E9	1.118339072E9	3813343.0	0.10125000029802322	0.2329999953508377	0.23274999856948853	0.3540000021457672	0.826621413230896	600.0	47101.0	47046.0	2059.0	2078.0	4.0	2.0	0.0	0.0	3.68675804E8	3.68759842E8	8.4219804E7	8.986807E7	7.9627129E7	8.3482412E7	1.16389349E8	6.1987267E7	6.1987267E7	8490949.0	7561143.0	
Sat May 13 07:55:00 UTC 2017	992.0	1.482661888E9	1.8620154E7	75.0	2.4932352E7	259180.03125	124.0	8.91346944E8	42323.30078125	199.0	166.0	1.117069312E9	1.119207424E9	3934800.5	0.1287499964237213	0.22550000250339508	0.2515000104904175	0.35374999046325684	0.8270114064216614	525.0	45460.0	45492.0	1777.0	1737.0	4.0	1.0	0.0	0.0	3.54536611E8	3.35128857E8	7.9108582E7	8.6150442E7	8.6953529E7	8.8607841E7	1.16464495E8	6.2049055E7	6.2049055E7	7146811.0	8294537.0	
Sat May 13 07:54:00 UTC 2017	995.0	1.482313728E9	1.7601382E7	73.0	2.4846336E7	264883.0	126.0	8.91072512E8	42323.30078125	204.0	166.0	1.117540352E9	1.11894528E9	3932185.25	0.09425000101327896	0.23125000298023224	0.23225000500679016	0.3552500009536743	0.8269839882850647	525.0	43832.0	43905.0	1492.0	1406.0	4.0	0.0	0.0	0.0	3.39696727E8	3.24518872E8	7.8489756E7	7.9158271E7	7.4206007E7	7.1108276E7	1.13421445E8	6.140351E7	6.140351E7	7277863.0	7425200.0	
Sat May 13 07:53:00 UTC 2017	991.0	1.47769344E9	1.7601382E7	75.0	2.3609344E7	264883.0	127.0	8.90687488E8	42323.30078125	200.0	162.0	1.116319744E9	1.117478912E9	3932185.25	0.10575000196695328	0.22824999690055847	0.2447499930858612	0.3474999964237213	0.8266253471374512	525.0	42204.0	42263.0	1215.0	1157.0	3.0	0.0	0.0	0.0	3.23467773E8	3.2344563E8	9.1505324E7	7.0987164E7	6.9506918E7	8.3138167E7	1.13722005E8	5.9550025E7	5.9550025E7	8178838.0	7415092.0	
Sat May 13 07:52:00 UTC 2017	983.0	1.482223616E9	1.7601382E7	74.0	2.500608E7	264883.0	129.0	8.90064896E8	42323.30078125	199.0	163.0	1.117057024E9	1.11730688E9	3932185.25	0.10074999928474426	0.23149999976158142	0.23399999737739563	0.34599998593330383	0.8264061808586121	502.0	40585.0	40655.0	968.0	905.0	2.0	0.0	0.0	0.0	3.11711399E8	3.04771898E8	7.7406282E7	7.8286954E7	7.2362454E7	8.0219525E7	1.10727705E8	5.9250779E7	5.9250779E7	7229071.0	7551571.0	
Sat May 13 07:51:00 UTC 2017	982.0	1.478459392E9	1.7601382E7	74.0	2.42688E7	264883.0	126.0	8.89860096E8	41298.890625	200.0	154.0	1.11572992E9	1.117126656E9	3932185.25	0.10700000077486038	0.2252500057220459	0.25949999690055847	0.3527500033378601	0.8259550333023071	502.0	38932.0	39066.0	737.0	654.0	1.0	0.0	0.0	0.0	2.96485067E8	2.88770524E8	5.9059282E7	7.0156398E7	6.3350785E7	6.1323114E7	1.07104839E8	5.688213E7	5.688213E7	5713742.0	6647573.0	
Sat May 13 07:50:00 UTC 2017	979.0	1.4800896E9	1.7601382E7	71.0	2.4137728E7	251626.15625	129.0	8.8956928E8	41445.0	195.0	150.0	1.114550272E9	1.11603712E9	3716185.25	0.1067499965429306	0.22550000250339508	0.2329999953508377	0.34325000643730164	0.8256277441978455	502.0	37259.0	37370.0	532.0	496.0	0.0	0.0	0.0	0.0	2.82686633E8	2.99823041E8	7.3251794E7	7.0054847E7	7.4134185E7	6.7854553E7	1.08345493E8	5.8879363E7	5.8879363E7	7070612.0	6282816.0	
Sat May 13 07:49:00 UTC 2017	962.0	1.474494464E9	1.7601382E7	70.0	2.4281088E7	251626.15625	128.0	8.89208832E8	41445.0	193.0	147.0	1.114632192E9	1.116114944E9	3716185.25	0.09749999642372131	0.21875	0.23025000095367432	0.35249999165534973	0.8253316879272461	443.0	35665.0	35776.0	372.0	354.0	0.0	0.0	0.0	0.0	2.5302316E8	2.37374116E8	5.7914888E7	6.7604538E7	6.8721824E7	5.9002386E7	1.027121E8	5.3340368E7	5.3340368E7	4982742.0	5365400.0	
Sat May 13 07:48:00 UTC 2017	945.0	1.479135232E9	1.7601382E7	67.0	2.3564288E7	251626.15625	130.0	8.88684544E8	40194.9296875	194.0	141.0	1.114574848E9	1.116004352E9	3716185.25	0.10199999809265137	0.21275000274181366	0.2240000069141388	0.32350000739097595	0.8245288133621216	443.0	34062.0	34140.0	250.0	246.0	0.0	0.0	0.0	0.0	2.56774477E8	2.24921803E8	6.1775087E7	6.2736172E7	5.8963906E7	5.7307598E7	1.03798144E8	5.3941273E7	5.3941273E7	4979653.0	4839643.0	
Sat May 13 07:47:00 UTC 2017	913.0	1.478078464E9	1.5711692E7	68.0	2.516992E7	254831.03125	130.0	8.8815616E8	38758.59375	184.0	138.0	1.113247744E9	1.115938816E9	3716185.25	0.1120000034570694	0.2160000056028366	0.22599999606609344	0.34275001287460327	0.8247627019882202	443.0	32399.0	32474.0	169.0	168.0	0.0	0.0	0.0	0.0	1.7383903E8	1.71009124E8	5.4996682E7	4.4683377E7	4.8588721E7	5.0727801E7	9.1045622E7	3.3211739E7	3.3211739E7	4558084.0	4496571.0	
Sat May 13 07:46:00 UTC 2017	907.0	1.463443456E9	1.5711692E7	64.0	2.3527424E7	243931.890625	132.0	8.87844864E8	38758.59375	182.0	136.0	1.112322048E9	1.116004352E9	3716185.25	0.09799999743700027	0.21574999392032623	0.22425000369548798	0.31850001215934753	0.8241149187088013	400.0	30820.0	30928.0	135.0	119.0	0.0	0.0	0.0	0.0	1.69606543E8	1.76442645E8	5.1647721E7	5.0844001E7	4.7465565E7	4.7540739E7	9.2029611E7	3.6759905E7	3.6759905E7	4856348.0	4753224.0	
Sat May 13 07:45:00 UTC 2017	878.0	1.47656704E9	1.5711692E7	60.0	2.1979136E7	217084.90625	126.0	8.87672832E8	30089.849609375	170.0	128.0	1.11245312E9	1.115959296E9	3405242.5	0.1237500011920929	0.20100000500679016	0.2070000022649765	0.30149999260902405	0.823744535446167	400.0	29282.0	29378.0	102.0	91.0	0.0	0.0	0.0	0.0	1.60619828E8	1.39438905E8	4.5179239E7	4.509926E7	5.130517E7	4.804354E7	8.9704461E7	2.0911881E7	2.0911881E7	4065642.0	3540779.0	
