_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle1	percentile_fetch_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_fetchfeeds_middle1	percentile_fetchfeeds_middle2	percentile_sub_middle	percentile_unsub_middle	
Fri May 12 17:55:00 UTC 2017	995.0	1.16533248E9	1.8226866E7	76.0	2.4399872E7	262491.40625	122.0	1.167978496E9	41465.9296875	195.0	173.0	1.081090048E9	1.092390912E9	3762932.5	0.14225000143051147	0.23350000381469727	0.2407499998807907	0.3544999957084656	0.7937991619110107	600.0	48538.0	48418.0	4155.0	4058.0	8.0	17.0	0.0	0.0	3.56419452E8	3.67304922E8	8.6450558E7	8.5382557E7	8.2497156E7	8.9563388E7	null	1.14494229E8	null	6.1071676E7	null	6.1071676E7	7939376.0	8927233.0	
Fri May 12 17:54:00 UTC 2017	993.0	1.16396032E9	1.8226866E7	74.0	2.5145344E7	253921.234375	121.0	1.167192064E9	41465.9296875	195.0	171.0	1.08107776E9	1.093423104E9	3738188.0	0.09674999862909317	0.23325000703334808	0.23749999701976776	0.3490000069141388	0.7926273941993713	600.0	46908.0	46775.0	3810.0	3719.0	3.0	11.0	0.0	0.0	3.48619031E8	3.68759803E8	8.5120885E7	8.969893E7	8.5862694E7	8.6146301E7	null	1.16157518E8	null	6.1733052E7	null	6.1733052E7	7840700.0	9148158.0	
Fri May 12 17:53:00 UTC 2017	997.0	1.163640832E9	1.8250054E7	74.0	2.5137152E7	268306.84375	121.0	1.166995456E9	41514.66015625	192.0	170.0	1.08107776E9	1.093296128E9	3749599.25	0.10925000160932541	0.23475000262260437	0.2485000044107437	0.35074999928474426	0.7924106121063232	600.0	45308.0	45144.0	3438.0	3346.0	3.0	9.0	0.0	0.0	3.71249584E8	3.70234237E8	9.1778478E7	7.5854118E7	8.2331485E7	7.9133844E7	null	1.15398775E8	null	6.1380915E7	null	6.1380915E7	7730823.0	6692243.0	
Fri May 12 17:52:00 UTC 2017	989.0	1.16359168E9	1.8374592E7	77.0	2.6013696E7	268306.84375	123.0	1.166737408E9	41514.66015625	192.0	172.0	1.08087296E9	1.0927104E9	3697690.75	0.0989999994635582	0.2329999953508377	0.23675000667572021	0.3634999990463257	0.7920265197753906	575.0	43699.0	43527.0	3091.0	3012.0	2.0	8.0	0.0	0.0	3.72150542E8	3.32532575E8	8.2243021E7	8.2763058E7	9.2704591E7	8.0797399E7	null	1.14498153E8	null	6.170452E7	null	6.170452E7	8198254.0	8745947.0	
Fri May 12 17:51:00 UTC 2017	996.0	1.1651072E9	1.8374592E7	75.0	2.5944064E7	255326.171875	124.0	1.166405632E9	42300.75390625	190.0	168.0	1.081724928E9	1.09238272E9	3697690.75	0.09650000184774399	0.22699999809265137	0.2382500022649765	0.34275001287460327	0.7918102741241455	575.0	42054.0	41879.0	2760.0	2670.0	2.0	6.0	0.0	0.0	3.58593411E8	3.66730535E8	8.0151258E7	8.7408287E7	8.7395005E7	9.7432923E7	null	1.21185499E8	null	6.2401991E7	null	6.2401991E7	9800940.0	7712676.0	
Fri May 12 17:50:00 UTC 2017	991.0	1.164341248E9	1.8249802E7	74.0	2.5223168E7	256831.4375	121.0	1.166159872E9	42231.47265625	190.0	174.0	1.081716736E9	1.093021696E9	3553739.0	0.1014999970793724	0.23849999904632568	0.2370000034570694	0.35874998569488525	0.791727602481842	575.0	40429.0	40239.0	2422.0	2339.0	1.0	5.0	0.0	0.0	3.35877261E8	3.265289E8	8.7237506E7	9.2372414E7	8.7113615E7	8.298878E7	null	1.16096265E8	null	6.2075807E7	null	6.2075807E7	6953174.0	8482940.0	
Fri May 12 17:49:00 UTC 2017	997.0	1.165000704E9	1.842038E7	74.0	2.4338432E7	256831.4375	121.0	1.165807616E9	42780.51953125	189.0	170.0	1.080840192E9	1.09238272E9	3553739.0	0.09925000369548798	0.22499999403953552	0.25699999928474426	0.3504999876022339	0.791348934173584	554.0	38773.0	38598.0	2122.0	1994.0	1.0	3.0	0.0	0.0	3.37993596E8	3.19847183E8	9.1063586E7	9.0649031E7	7.9873982E7	8.2747365E7	null	1.16195176E8	null	6.1324432E7	null	6.1324432E7	7865810.0	7932871.0	
Fri May 12 17:48:00 UTC 2017	993.0	1.164058624E9	1.842038E7	74.0	2.430976E7	247699.75	125.0	1.165164544E9	42780.51953125	194.0	171.0	1.080840192E9	1.093410816E9	3707191.25	0.10875000059604645	0.23675000667572021	0.24124999344348907	0.35749998688697815	0.8049863576889038	554.0	37155.0	36943.0	1783.0	1669.0	0.0	2.0	0.0	0.0	3.69796127E8	3.29743929E8	8.3932208E7	9.4308667E7	8.2640733E7	8.9352193E7	null	1.16032388E8	null	6.1993731E7	null	6.1993731E7	7646516.0	7519368.0	
Fri May 12 17:47:00 UTC 2017	990.0	1.16371456E9	1.8260136E7	75.0	2.6062848E7	247699.75	123.0	1.164783616E9	42780.51953125	189.0	169.0	1.080635392E9	1.093238784E9	3707191.25	0.09449999779462814	0.22499999403953552	0.2434999942779541	0.34975001215934753	0.8048381209373474	554.0	35497.0	35274.0	1468.0	1368.0	0.0	0.0	0.0	0.0	3.13856262E8	3.34387987E8	7.7708155E7	8.1100884E7	7.4297346E7	8.208503E7	null	1.10836127E8	null	5.9635496E7	null	5.9635496E7	7089993.0	7964252.0	
Fri May 12 17:46:00 UTC 2017	987.0	1.163685888E9	1.831572E7	74.0	2.4440832E7	247699.75	125.0	1.16463616E9	43279.578125	188.0	174.0	1.080635392E9	1.093234688E9	3646967.25	0.10649999976158142	0.23225000500679016	0.23600000143051147	0.3577499985694885	0.8044241666793823	492.0	33810.0	33615.0	1210.0	1110.0	0.0	0.0	0.0	0.0	3.13469296E8	3.11845878E8	8.311861E7	6.6089025E7	7.4903297E7	6.8482194E7	null	1.11484776E8	null	6.0377187E7	null	6.0377187E7	7544229.0	8216121.0	
