('profile: ', [(0, 3), (0, 3), (39, 3), (80, 3), (152, 3), (209, 3), (287, 3), (347, 3), (363, 3), (404, 3), (419, 3), (452, 3), (537, 3), (542, 3), (573, 3), (600, 3)])
('2017-05-14 22:00:43', 1494799243, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 22:03:44', 1494799424, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 22:06:44', 1494799604, 'Users=', 39, 'Duration=', 3, 'min')
('2017-05-14 22:09:44', 1494799784, 'Users=', 80, 'Duration=', 3, 'min')
('2017-05-14 22:12:44', 1494799964, 'Users=', 152, 'Duration=', 3, 'min')
('2017-05-14 22:15:44', 1494800144, 'Users=', 209, 'Duration=', 3, 'min')
('2017-05-14 22:18:44', 1494800324, 'Users=', 287, 'Duration=', 3, 'min')
('2017-05-14 22:21:44', 1494800504, 'Users=', 347, 'Duration=', 3, 'min')
('2017-05-14 22:24:44', 1494800684, 'Users=', 363, 'Duration=', 3, 'min')
('2017-05-14 22:27:44', 1494800864, 'Users=', 404, 'Duration=', 3, 'min')
('2017-05-14 22:30:44', 1494801044, 'Users=', 419, 'Duration=', 3, 'min')
('2017-05-14 22:33:45', 1494801225, 'Users=', 452, 'Duration=', 3, 'min')
('2017-05-14 22:36:45', 1494801405, 'Users=', 537, 'Duration=', 3, 'min')
('2017-05-14 22:39:45', 1494801585, 'Users=', 542, 'Duration=', 3, 'min')
('2017-05-14 22:42:45', 1494801765, 'Users=', 573, 'Duration=', 3, 'min')
('2017-05-14 22:45:45', 1494801945, 'Users=', 600, 'Duration=', 3, 'min')
