_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Mon May 15 22:46:00 UTC 2017	994.0	1.075265536E9	1.8362024E7	75.0	2.5063424E7	250270.53125	137.0	8.26179584E8	42267.90625	188.0	168.0	1.27223808E9	1.297580032E9	3699691.0	3706934.75	0.10649999976158142	0.22949999570846558	0.24549999833106995	0.351500004529953	0.7864591479301453	600.0	50056.0	49733.0	3814.0	3810.0	3.0	7.0	0.0	0.0	3.30531207E8	3.33990308E8	8.9760796E7	8.1527729E7	9.3057506E7	8.078791E7	1.17318021E8	6.1076226E7	6.1076226E7	7207782.0	8323487.0	
Mon May 15 22:45:00 UTC 2017	994.0	1.106653184E9	1.8424344E7	75.0	2.5038848E7	252997.453125	138.0	8.25929728E8	42267.90625	194.0	172.0	1.272311808E9	1.29855488E9	3565434.25	3754886.5	0.11949999630451202	0.23675000667572021	0.24275000393390656	0.34825000166893005	0.7907152771949768	600.0	48450.0	48102.0	3444.0	3485.0	2.0	6.0	0.0	0.0	3.22815493E8	3.75752974E8	9.2037508E7	8.7108716E7	8.8922809E7	7.977755E7	1.15613452E8	6.1823663E7	6.1823663E7	9625729.0	7613733.0	
Mon May 15 22:44:00 UTC 2017	984.0	1.110585344E9	1.833032E7	75.0	2.6718208E7	252997.453125	135.0	8.2550784E8	42267.90625	193.0	171.0	1.272180736E9	1.298137088E9	3565434.25	3754886.5	0.10300000011920929	0.23774999380111694	0.2542499899864197	0.35499998927116394	0.7906419038772583	600.0	46799.0	46500.0	3123.0	3114.0	1.0	5.0	0.0	0.0	3.16108771E8	3.07801745E8	8.2117003E7	7.5128132E7	8.2003181E7	7.4698518E7	1.1235634E8	6.1145801E7	6.1145801E7	8287313.0	6505884.0	
Mon May 15 22:43:00 UTC 2017	997.0	1.101877248E9	1.833032E7	74.0	2.5858048E7	252997.453125	130.0	8.25335808E8	42267.90625	196.0	174.0	1.271918592E9	1.29816576E9	3565434.25	3754886.5	0.1080000028014183	0.23749999701976776	0.2382500022649765	0.35725000500679016	0.7902905941009521	561.0	45176.0	44857.0	2791.0	2792.0	1.0	3.0	0.0	0.0	3.51917909E8	3.43003536E8	8.8209536E7	8.4185854E7	8.9874438E7	9.3016294E7	1.18330081E8	6.2484596E7	6.2484596E7	7834888.0	8122986.0	
Mon May 15 22:42:00 UTC 2017	995.0	1.10854144E9	1.833032E7	75.0	2.5956352E7	252997.453125	121.0	8.23345152E8	41897.8203125	184.0	172.0	1.270677504E9	1.298038784E9	3565434.25	3754886.5	0.09399999678134918	0.2292499989271164	0.2397499978542328	0.35350000858306885	0.7923308610916138	561.0	43566.0	43252.0	2418.0	2443.0	0.0	2.0	0.0	0.0	3.72393173E8	3.24543678E8	9.3155377E7	9.2109952E7	8.2654537E7	9.1468981E7	1.15316398E8	6.2099981E7	6.2099981E7	7830895.0	8781136.0	
Mon May 15 22:41:00 UTC 2017	988.0	1.112158208E9	1.7875108E7	75.0	2.4940544E7	252997.453125	120.0	8.22956032E8	41897.8203125	183.0	175.0	1.270706176E9	1.29769472E9	3588307.0	3709079.5	0.1042499989271164	0.23475000262260437	0.30924999713897705	0.35850000381469727	0.7903948426246643	561.0	41917.0	41619.0	2082.0	2114.0	0.0	0.0	0.0	0.0	3.52435494E8	3.48955109E8	8.3304988E7	8.4338594E7	9.5428972E7	9.3500313E7	1.1769412E8	6.0264611E7	6.0264611E7	6656835.0	9744665.0	
Mon May 15 22:40:00 UTC 2017	986.0	1.102647296E9	1.8177816E7	76.0	2.65216E7	252997.453125	121.0	8.22726656E8	41897.8203125	188.0	171.0	1.270636544E9	1.297686528E9	3588307.0	3709079.5	0.09749999642372131	0.23000000417232513	0.35324999690055847	0.3474999964237213	0.7894378304481506	489.0	40311.0	40018.0	1752.0	1828.0	0.0	0.0	0.0	0.0	3.40319171E8	3.55503776E8	9.3242308E7	8.4759261E7	8.3358338E7	8.3471356E7	1.16368656E8	6.1525582E7	6.1525582E7	9374732.0	8305668.0	
Mon May 15 22:39:00 UTC 2017	984.0	1.091547136E9	1.8293722E7	74.0	2.576384E7	252997.453125	120.0	8.22439936E8	41897.8203125	190.0	177.0	1.270284288E9	1.297248256E9	3630835.5	3648329.5	0.10100000351667404	0.23025000095367432	0.23325000703334808	0.3619999885559082	0.7901722192764282	489.0	38715.0	38445.0	1441.0	1513.0	0.0	0.0	0.0	0.0	3.25035183E8	3.36735371E8	9.1598089E7	8.4051503E7	8.2591861E7	8.4509498E7	1.157001E8	6.1598446E7	6.1598446E7	8884811.0	7665423.0	
Mon May 15 22:38:00 UTC 2017	994.0	1.101963264E9	1.8205978E7	74.0	2.6578944E7	252997.453125	121.0	8.219648E8	40903.11328125	189.0	171.0	1.27074304E9	1.297686528E9	3630835.5	3648329.5	0.10575000196695328	0.2304999977350235	0.23749999701976776	0.35324999690055847	0.7903493046760559	489.0	37126.0	36847.0	1129.0	1207.0	0.0	0.0	0.0	0.0	3.1997076E8	3.4893681E8	7.3129391E7	8.5755577E7	6.9139277E7	7.4068356E7	1.1309109E8	6.1692824E7	6.1692824E7	7380361.0	7710378.0	
Mon May 15 22:37:00 UTC 2017	994.0	1.110806528E9	1.7883898E7	72.0	2.6566656E7	239960.453125	121.0	8.21559296E8	41257.75390625	189.0	169.0	1.27121408E9	1.298108416E9	3630835.5	3648329.5	0.09399999678134918	0.2317499965429306	0.23524999618530273	0.3452500104904175	0.7887821793556213	487.0	35461.0	35245.0	892.0	914.0	0.0	0.0	0.0	0.0	3.2769615E8	3.6661185E8	8.5363974E7	8.2215876E7	8.2418048E7	9.612793E7	1.17622759E8	6.1959031E7	6.1959031E7	8051798.0	7866261.0	
