_DATE,cpuusage_middle,memusage_middle,cpuusage_server,memusage_server,cpuusage_edge1,memusage_edge1,cpuusage_edge2,memusage_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,locustusers,status_200_count1,status_500_count1,status_0_count1,status_other_count1,status_200_count2,status_500_count2,status_0_count2,status_other_count2,responseTimePercentile_middle,responseTimePercentile_edge1,responseTimePercentile_edge2
2017-04-20-19:22:00,1,463163392,0,0,0,477962240,0,1052672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-20-19:22:00,1,463163392,0,0,0,477962240,0,1052672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-20-19:23:00,3,463200256,0,0,0,477863936,0,1052672,0,0.056249998509884,0.073250003159046,0.99099999666214,3,0,0,0,0,0,0,0,0,0,0,0
2017-04-20-19:23:00,3,463200256,0,0,0,477863936,0,1052672,0,0.056249998509884,0.073250003159046,0.99099999666214,3,0,0,0,0,0,0,0,0,0,0,0
2017-04-20-19:24:00,7,464687104,0,1069056,0,0,0,359428096,0,0.05799999833107,0.059250000864267,0.99099999666214,3,0,0,0,0,25,0,0,0,0,0,0
2017-04-20-19:24:00,7,464687104,0,1069056,0,0,0,359428096,0,0.05799999833107,0.059250000864267,0.99099999666214,3,0,0,0,0,25,0,0,0,0,0,0
2017-04-20-19:25:00,8,464015360,0,24457216,0,1044480,0,359428096,0,0.05375000089407,0.050999999046326,0.991249978542328,3,0,0,0,0,49,0,0,0,0,0,0
2017-04-20-19:25:00,8,464015360,0,24457216,0,1044480,0,359428096,0,0.05375000089407,0.050999999046326,0.991249978542328,3,0,0,0,0,49,0,0,0,0,0,0
2017-04-20-19:26:00,13,464384000,0,24457216,0,1044480,0,358989824,0,0.054000001400709,0.043499998748303,0.991249978542328,5,0,0,0,0,71,0,0,0,0,0,0
2017-04-20-19:26:00,13,464384000,0,24457216,0,1044480,0,358989824,0,0.054000001400709,0.043499998748303,0.991249978542328,5,0,0,0,0,71,0,0,0,0,0,0
2017-04-20-19:27:00,16,465780736,0,0,0,477384704,0,0,0,0.056749999523163,0.05375000089407,0.990750014781952,5,19,0,0,0,96,0,0,0,0,0,0
