_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count	status_500_count	status_0_count	status_other_count	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 16:24:00 UTC 2017	1.0	1.129283584E9	2652.7685546875	0.0	2.5915392E7	0.0	3.0	1.280622592E9	47.14182662963867	0.0	0.0	1.110720512E9	4.86281216E8	29.498350143432617	31.974781036376953	0.07050000131130219	0.0560000017285347	0.051249999552965164	0.05274999886751175	0.870999276638031	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:23:00 UTC 2017	1.0	1.128280064E9	2652.7685546875	0.0	2.5915392E7	0.0	3.0	1.280622592E9	47.14182662963867	0.0	0.0	1.110810624E9	4.86375424E8	29.498350143432617	31.974781036376953	0.06975000351667404	0.06174999848008156	0.09075000137090683	0.06324999779462814	0.8729133009910583	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:22:00 UTC 2017	1.0	1.129283584E9	2652.7685546875	0.0	2.5915392E7	0.0	3.0	1.280622592E9	47.14182662963867	0.0	1.0	1.110900736E9	4.86465536E8	29.498350143432617	31.974781036376953	0.07699999958276749	0.05950000137090683	0.09549999982118607	0.0637499988079071	0.8709582090377808	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:21:00 UTC 2017	1.0	1.128280064E9	2652.7685546875	0.0	2.7070464E7	0.0	4.0	1.280622592E9	47.14182662963867	0.0	0.0	1.110986752E9	4.86555648E8	29.498350143432617	31.974781036376953	0.09974999725818634	0.06199999898672104	0.20649999380111694	0.054499998688697815	0.8709249496459961	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:20:00 UTC 2017	1.0	1.128280064E9	2676.581298828125	0.0	2.5915392E7	0.0	3.0	1.280499712E9	47.14182662963867	0.0	1.0	1.111076864E9	4.8664576E8	29.322776794433594	28.166309356689453	0.06724999845027924	0.054499998688697815	0.050999999046325684	0.05950000137090683	0.8709259033203125	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:19:00 UTC 2017	1.0	1.128280064E9	3211.397705078125	0.0	2.7070464E7	0.0	3.0	1.2804096E9	58.492652893066406	0.0	0.0	1.111166976E9	4.86735872E8	29.791748046875	28.773826599121094	0.06424999982118607	0.05999999865889549	0.04349999874830246	0.06300000101327896	0.8709268569946289	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:18:00 UTC 2017	1.0	1.128280064E9	3194.16845703125	0.0	2.5915392E7	0.0	3.0	1.2804096E9	41.00379180908203	0.0	0.0	1.111252992E9	4.86821888E8	29.791748046875	28.773826599121094	0.0702499970793724	0.0625	0.04899999871850014	0.06199999898672104	0.8709518313407898	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:17:00 UTC 2017	1.0	1.129283584E9	3194.16845703125	0.0	2.5915392E7	0.0	3.0	1.2804096E9	45.343711853027344	1.0	1.0	1.111343104E9	4.86912E8	29.791748046875	28.773826599121094	0.06575000286102295	0.054999999701976776	0.0494999997317791	0.05350000038743019	0.870937168598175	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:16:00 UTC 2017	1.0	1.129283584E9	2460.80615234375	0.0	2.5915392E7	0.0	4.0	1.2804096E9	49.58347702026367	0.0	1.0	1.111433216E9	4.87006208E8	29.791748046875	28.773826599121094	0.061500001698732376	0.06300000101327896	0.050999999046325684	0.06849999725818634	0.8708745241165161	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat Apr 29 16:15:00 UTC 2017	1.0	1.128280064E9	2460.80615234375	0.0	2.5915392E7	0.0	3.0	1.280319488E9	37.34196472167969	0.0	1.0	1.111519232E9	4.8709632E8	29.791748046875	28.773826599121094	0.06650000065565109	0.054999999701976776	0.04399999976158142	0.05375000089406967	0.8708926439285278	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
