_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat Apr 29 22:16:00 UTC 2017	1108.0	1.132064768E9	2.1149638E7	86.0	3.0490624E7	223781.828125	172.0	1.100378112E9	44568.69921875	197.0	192.0	1.119309824E9	1.136160768E9	4438957.0	0.10774999856948853	0.14675000309944153	0.2094999998807907	0.5122500061988831	0.9309364557266235	600.0	30328.0	30354.0	52.0	45.0	2.0	3.0	0.0	0.0	6.7297021E7	6.566727E7	8192268.0	8350816.0	7760533.0	6968223.0	5.2933306E7	1.3667552E7	1.3667552E7	2990791.0	3098367.0	
Sat Apr 29 22:15:00 UTC 2017	1102.0	1.131769856E9	2.1149638E7	82.0	2.996224E7	223781.828125	167.0	1.099952128E9	44568.69921875	194.0	179.0	1.118060544E9	1.133531136E9	4438957.0	0.13500000536441803	0.14124999940395355	0.19300000369548798	0.4884999990463257	0.9285312294960022	600.0	28291.0	28366.0	46.0	37.0	1.0	2.0	0.0	0.0	6.2115569E7	5.8328382E7	7435596.0	6470330.0	7976417.0	7453708.0	4.8158219E7	1.2561014E7	1.2561014E7	2659016.0	2774116.0	
Sat Apr 29 22:14:00 UTC 2017	1053.0	1.130831872E9	1.7339126E7	78.0	2.9917184E7	218898.484375	160.0	1.099423744E9	37986.54296875	190.0	169.0	1.118580736E9	1.13457152E9	4402911.0	0.09324999898672104	0.1367499977350235	0.27549999952316284	0.46974998712539673	0.930098831653595	600.0	26367.0	26440.0	35.0	33.0	0.0	2.0	0.0	0.0	6.0938047E7	5.7466731E7	7566852.0	5983314.0	6912864.0	6532757.0	4.804046E7	1.2129821E7	1.2129821E7	2330114.0	2546185.0	
Sat Apr 29 22:13:00 UTC 2017	999.0	1.131761664E9	1.7339126E7	74.0	2.87744E7	204021.578125	160.0	1.098919936E9	37986.54296875	190.0	156.0	1.11878144E9	1.133785088E9	4282305.5	0.10249999910593033	0.12849999964237213	0.1992499977350235	0.45350000262260437	0.9306140542030334	500.0	24482.0	24578.0	32.0	32.0	0.0	1.0	0.0	0.0	5.727445E7	5.5817999E7	6183230.0	6368298.0	6803484.0	6219086.0	4.5953219E7	1.1500673E7	1.1500673E7	2689020.0	2519176.0	
Sat Apr 29 22:12:00 UTC 2017	966.0	1.130676224E9	1.7339126E7	68.0	2.8639232E7	168740.796875	149.0	1.09860864E9	37986.54296875	174.0	132.0	1.116356608E9	1.133621248E9	3816358.5	0.10700000077486038	0.1315000057220459	0.17350000143051147	0.42649999260902405	0.9299260973930359	500.0	22595.0	22741.0	10.0	11.0	0.0	0.0	0.0	0.0	5.6824351E7	5.8243344E7	7141471.0	6841064.0	7446420.0	6852837.0	4.6017613E7	1.1653554E7	1.1653554E7	2647731.0	2476251.0	
Sat Apr 29 22:11:00 UTC 2017	873.0	1.131753472E9	1.7339126E7	66.0	3.0461952E7	168740.796875	149.0	1.098289152E9	37986.54296875	166.0	137.0	1.117417472E9	1.133707264E9	3816358.5	0.09775000065565109	0.12524999678134918	0.17949999868869781	0.4077500104904175	0.9296898245811462	500.0	20898.0	21029.0	5.0	4.0	0.0	0.0	0.0	0.0	4.8219465E7	4.9251184E7	5144059.0	5189453.0	5893848.0	5522658.0	3.9376341E7	9892398.0	9892398.0	2163942.0	2381283.0	
Sat Apr 29 22:10:00 UTC 2017	852.0	1.132412928E9	1.6695215E7	65.0	2.8532736E7	168740.796875	148.0	1.097797632E9	34325.375	168.0	131.0	1.115725824E9	1.134833664E9	3816358.5	0.08649999648332596	0.12049999833106995	0.18574999272823334	0.4112499952316284	0.933107852935791	400.0	19316.0	19449.0	5.0	4.0	0.0	0.0	0.0	0.0	4.8108645E7	4.6820735E7	6115638.0	5711257.0	5765443.0	4745941.0	3.8455662E7	9462598.0	9462598.0	2120197.0	1964401.0	
Sat Apr 29 22:09:00 UTC 2017	833.0	1.132109824E9	1.5935534E7	61.0	3.03104E7	168740.796875	135.0	1.097396224E9	34325.375	155.0	119.0	1.115205632E9	1.134686208E9	3099081.0	0.09799999743700027	0.12125000357627869	0.1535000056028366	0.38600000739097595	0.9327873587608337	400.0	17741.0	17877.0	5.0	4.0	0.0	0.0	0.0	0.0	4.9956172E7	4.7890992E7	4877278.0	5438184.0	5152106.0	5854908.0	3.9321819E7	9615904.0	9615904.0	2157318.0	2238526.0	
Sat Apr 29 22:08:00 UTC 2017	780.0	1.132228608E9	1.5750131E7	61.0	2.8561408E7	168740.796875	136.0	1.097314304E9	34325.375	155.0	122.0	1.116901376E9	1.134686208E9	3099081.0	0.09300000220537186	0.125	0.16349999606609344	0.38725000619888306	0.9306511878967285	400.0	16277.0	16378.0	3.0	3.0	0.0	0.0	0.0	0.0	4.7117536E7	4.2552756E7	4507251.0	4753518.0	5422216.0	4738499.0	3.5656276E7	8460615.0	8460615.0	2109907.0	2046504.0	
Sat Apr 29 22:07:00 UTC 2017	785.0	1.13225728E9	1.2004859E7	57.0	2.85696E7	144184.125	130.0	1.096904704E9	33816.2109375	149.0	116.0	1.115959296E9	1.133727744E9	3099081.0	0.10050000250339508	0.11299999803304672	0.15850000083446503	0.3642500042915344	0.9304736256599426	350.0	14891.0	14982.0	3.0	3.0	0.0	0.0	0.0	0.0	4.8006996E7	4.9282211E7	4743822.0	5645237.0	5187588.0	5261993.0	3.9804432E7	9629646.0	9629646.0	1882653.0	2147077.0	
