Minutes,cpu,cpuNode,locust,st200,st500,pView,pView
41,0.989,0.479,600,59435,1499,212.767,211.891
40,0.991,0.475,600,55843,1125,203.475,202.649
39,0.986,0.469,600,52217,837,194.294,191.301
38,0.967,0.458,500,48615,544,201.121,199
37,0.949,0.42,500,44928,328,169.266,169.185
36,0.864,0.424,500,41583,234,115.902,109.128
35,0.865,0.399,400,38446,216,111.275,108.527
34,0.81,0.377,400,35280,206,93.823,92.129
33,0.747,0.38,400,32372,201,79.451,79.268
32,0.752,0.356,350,29599,201,83.675,80.584
31,0.723,0.347,350,26839,199,68.195,67.276
30,0.667,0.328,350,24303,169,70.199,64.747
29,0.647,0.329,300,21935,161,47.364,47.04
28,0.619,0.279,300,19566,161,48.478,46.412
27,0.513,0.277,300,17431,155,47.213,43.622
26,0.52,0.264,250,15593,11,39.984,38.497
25,0.48,0.247,250,13608,11,38.469,34.23
24,0.419,0.245,250,11876,3,40.011,39.171
23,0.43,0.226,200,10265,3,39.808,34.598
…,…,…,…,…,…,…,…
