_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sun Apr 30 16:38:00 UTC 2017	991.0	1.085628416E9	1.9716962E7	83.0	3.1232E7	224161.203125	149.0	8.24262656E8	45462.12109375	179.0	181.0	1.120948224E9	1.134096384E9	3425282.5	3825841.25	0.09475000202655792	0.1262499988079071	0.18774999678134918	0.4724999964237213	0.9209851622581482	600.0	31564.0	31880.0	830.0	803.0	12.0	3.0	0.0	0.0	2.09475284E8	2.12752302E8	1.11786734E8	1.07314192E8	1.07268014E8	1.06848526E8	1.32863499E8	5.7387999E7	5.7387999E7	6595608.0	6410455.0	
Sun Apr 30 16:37:00 UTC 2017	983.0	1.083813888E9	1.9716962E7	81.0	3.131392E7	216469.125	145.0	8.237056E8	45462.12109375	177.0	183.0	1.120423936E9	1.133780992E9	3425282.5	3825841.25	0.10175000131130219	0.13375000655651093	0.20274999737739563	0.47099998593330383	0.9204088449478149	600.0	29809.0	30066.0	621.0	605.0	3.0	2.0	0.0	0.0	2.00247158E8	1.98440059E8	1.0038168E8	9.4811279E7	9.1403022E7	8.1434511E7	1.23329633E8	5.5694207E7	5.5694207E7	6525778.0	6105526.0	
Sun Apr 30 16:36:00 UTC 2017	981.0	1.083695104E9	2.015795E7	82.0	3.2681984E7	220071.296875	146.0	8.2313216E8	45694.9453125	172.0	185.0	1.120165888E9	1.1347968E9	3425282.5	3825841.25	0.10074999928474426	0.1262499988079071	0.1862500011920929	0.4742499887943268	0.920214056968689	600.0	28020.0	28185.0	471.0	471.0	2.0	1.0	0.0	0.0	1.94268121E8	1.99446302E8	9.1743604E7	9.2044098E7	9.0837046E7	8.1680479E7	1.20917906E8	5.4734383E7	5.4734383E7	5758962.0	5638104.0	
Sun Apr 30 16:35:00 UTC 2017	973.0	1.083895808E9	1.722073E7	81.0	3.110912E7	197633.3125	150.0	8.22513664E8	42145.94921875	172.0	184.0	1.1200512E9	1.134792704E9	3425282.5	3825841.25	0.11774999648332596	0.12974999845027924	0.18774999678134918	0.4625000059604645	0.9200403690338135	500.0	26239.0	26348.0	318.0	317.0	2.0	0.0	0.0	0.0	1.87262445E8	1.9109667E8	7.9306037E7	7.3456822E7	8.5929697E7	8.7541082E7	1.19193636E8	5.4160193E7	5.4160193E7	4855431.0	4983490.0	
Sun Apr 30 16:34:00 UTC 2017	959.0	1.083097088E9	1.722073E7	73.0	3.2182272E7	197633.3125	151.0	8.22607872E8	42145.94921875	159.0	171.0	1.120047104E9	1.134784512E9	3425282.5	3825841.25	0.09549999982118607	0.12925000488758087	0.18074999749660492	0.4377500116825104	0.9196490049362183	500.0	24434.0	24507.0	224.0	217.0	1.0	0.0	0.0	0.0	1.72953302E8	1.83493702E8	7.8294302E7	7.095336E7	6.8680649E7	7.2707976E7	1.1088067E8	4.9899795E7	4.9899795E7	5577462.0	4631214.0	
Sun Apr 30 16:33:00 UTC 2017	893.0	1.083641856E9	1.722073E7	68.0	2.9220864E7	177956.90625	151.0	8.22136832E8	39264.26171875	148.0	164.0	1.117356032E9	1.131216896E9	3048145.5	3170644.25	0.09574999660253525	0.12524999678134918	0.19425000250339508	0.421999990940094	0.9316743016242981	500.0	22624.0	22672.0	106.0	92.0	0.0	0.0	0.0	0.0	1.7616582E8	1.67038653E8	5.3066837E7	5.8197974E7	7.1046756E7	5.1867314E7	1.08321602E8	4.5237323E7	4.5237323E7	4785322.0	4295979.0	
Sun Apr 30 16:32:00 UTC 2017	854.0	1.08374016E9	1.6489262E7	67.0	2.8778496E7	177956.90625	148.0	8.21948416E8	39456.42578125	143.0	154.0	1.118355456E9	1.131282432E9	3048145.5	3170644.25	0.09849999845027924	0.12250000238418579	0.16775000095367432	0.3970000147819519	0.9298174977302551	400.0	20939.0	20998.0	46.0	28.0	0.0	0.0	0.0	0.0	1.06474187E8	1.022024E8	3.4268977E7	3.2469232E7	3.1132548E7	3.4061914E7	8.3511343E7	1.9859748E7	1.9859748E7	3065368.0	2968421.0	
Sun Apr 30 16:31:00 UTC 2017	811.0	1.083670528E9	1.5861533E7	63.0	2.8782592E7	143336.078125	139.0	8.21571584E8	36865.72265625	138.0	146.0	1.11835136E9	1.131360256E9	3048145.5	3170644.25	0.0820000022649765	0.1197500005364418	0.16625000536441803	0.3889999985694885	0.9293512105941772	400.0	19343.0	19408.0	42.0	25.0	0.0	0.0	0.0	0.0	1.01636602E8	9.7033069E7	2.9268959E7	3.4811217E7	3.0245353E7	3.2519501E7	8.1532563E7	2.1047592E7	2.1047592E7	2920457.0	3111162.0	
Sun Apr 30 16:30:00 UTC 2017	791.0	1.082466304E9	1.5861533E7	61.0	3.016704E7	143336.078125	142.0	8.21035008E8	34966.29296875	136.0	138.0	1.117712384E9	1.131053056E9	3022029.5	2640608.25	0.09950000047683716	0.12399999797344208	0.1615000069141388	0.3790000081062317	0.9289451241493225	400.0	17761.0	17833.0	39.0	25.0	0.0	0.0	0.0	0.0	8.2858055E7	8.179974E7	2.352084E7	1.9445759E7	2.0401209E7	2.0064981E7	6.4286351E7	1.4244687E7	1.4244687E7	2656779.0	2385233.0	
Sun Apr 30 16:29:00 UTC 2017	767.0	1.082437632E9	1.4882665E7	58.0	2.8676096E7	143336.078125	134.0	8.20711424E8	32872.359375	134.0	137.0	1.117794304E9	1.13168384E9	3022029.5	2640608.25	0.08974999934434891	0.11349999904632568	0.16374999284744263	0.3785000145435333	0.9288541078567505	350.0	16294.0	16358.0	32.0	18.0	0.0	0.0	0.0	0.0	7.7334729E7	7.5343734E7	1.6316057E7	1.6494241E7	1.5157817E7	1.8542578E7	6.1248001E7	1.2396715E7	1.2396715E7	2764573.0	2333393.0	
