_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,network_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 18:48:00 UTC 2017,989,1140543488,20154044,83,30511104,220260.15625,138,850477056,45111.27734375,183,183,1126977536,1135411200,4016149.75,,0.101750001311302,0.128999993205071,0.195749998092651,0.476249992847443,0.921503782272339,600,29763,29852,749,825,0,4,0,0,217368711,217690383,112810370,97237995,111038289,123891404,142216326,58077188,58077188,7006921,5944211
Sun Apr 30 18:47:00 UTC 2017,993,1140527104,20154044,84,31645696,220260.15625,145,850550784,45111.27734375,180,183,1127968768,1134419968,4016149.75,,0.092000000178814,0.125499993562698,0.188500002026558,0.474999994039535,0.920729756355285,600,28016,28087,522,606,0,2,0,0,218898497,213662441,104040931,111168312,117825165,124253749,148166101,58402584,58402584,6779081,7414744
Sun Apr 30 18:46:00 UTC 2017,986,1141256192,19686820,82,31887360,217182.21875,148,850374656,39133.375,182,180,1127706624,1135312896,4016149.75,,0.105750001966953,0.130250006914139,0.190750002861023,0.46849998831749,0.920829117298126,600,26230,26325,336,374,0,2,0,0,205856731,208200682,84575253,107509818,100334195,96490092,129009655,56063407,56063407,6420630,5802701
Sun Apr 30 18:45:00 UTC 2017,972,1141235712,17760294,80,32546816,212487,149,849387520,39133.375,178,177,1127706624,1135226880,3976705.25,,0.089500002563,0.133000001311302,0.211500003933907,0.456999987363815,0.920764982700348,500,24410,24544,193,212,0,1,0,0,202068566,198031797,79854550,99942282,106695013,94446877,123246893,54662959,54662959,5473753,5284498
Sun Apr 30 18:44:00 UTC 2017,956,1140207616,17760294,71,31916032,190361.984375,145,849285120,39133.375,162,150,1123807232,1135075328,3814146.75,,0.119750000536442,0.122749999165535,0.172250002622604,0.425999999046326,0.919650912284851,500,22545,22708,82,89,0,0,0,0,173699255,175502332,68117739,58840524,62455952,79269339,108803745,50277380,50277380,4526278,5200391
Sun Apr 30 18:43:00 UTC 2017,870,1140858880,17760294,72,31727616,159798.078125,141,848596992,39133.375,163,151,1124749312,1132847104,3814146.75,,0.091499999165535,0.121749997138977,0.168500006198883,0.416500002145767,0.91967248916626,500,20851,20994,44,48,0,0,0,0,116076677,116403022,40816061,42526663,39585778,36347841,92939252,27000902,27000902,3115815,3285958
Sun Apr 30 18:42:00 UTC 2017,878,1140346880,17118168,67,29704192,159798.078125,147,848220160,35090.61328125,159,146,1124855808,1131855872,3674701.75,,0.104000002145767,0.128499999642372,0.174999997019768,0.409500002861023,0.919341742992401,400,19276,19420,33,34,0,0,0,0,123770804,141120419,44469934,43770589,41416453,38825619,98271344,35822322,35822322,3174248,3446848
Sun Apr 30 18:41:00 UTC 2017,843,1140281344,15473437,60,29532160,159798.078125,139,848334848,35090.61328125,142,133,1124855808,1132462080,3312599.25,,0.092749997973442,0.117250002920628,0.162499994039536,0.383500009775162,0.92107081413269,400,17701,17861,21,24,0,0,0,0,103988464,106592920,34638306,27588027,31606988,30031255,85551149,22827911,22827911,3077184,2610581
Sun Apr 30 18:40:00 UTC 2017,759,1139531776,15776428,62,27541504,159798.078125,134,847613952,35090.61328125,144,134,1124003840,1132007424,3312599.25,,0.088249996304512,0.127000004053116,0.161750003695488,0.377499997615814,0.918681681156158,400,16226,16379,17,20,0,0,0,0,79386444,73291523,16784427,15058520,13432889,15409183,61954961,12869943,12869943,2285886,2425001
Sun Apr 30 18:39:00 UTC 2017,786,1139597312,14835421,57,28745728,159798.078125,139,847282176,30450.369140625,133,129,1124089856,1132544000,2959019.75,,0.095499999821186,0.112999998033047,0.157000005245209,0.368000000715256,0.918646931648254,350,14846,14991,16,17,0,0,0,0,83118388,85567330,25491458,18415867,17518056,18515824,67990424,14347656,14347656,2430244,2313401
