_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 20:15:00 UTC 2017,989,1223798784,19128238,84,32079872,220157.46875,145,867127296,39152.859375,180,182,1127530496,1137942528,4082253.75,,0.105999998748302,0.13400000333786,0.194749996066093,0.478249996900559,0.927833497524262,600,29774,30109,748,799,1,1,0,0,211579242,218632232,122027792,103085765,94506728,111177232,144511357,56762112,56762112,6089633,6746853
Sun Apr 30 20:14:00 UTC 2017,979,1222721536,19128238,84,31797248,221118.4375,141,866807808,39152.859375,180,182,1127530496,1137106944,3335014.5,,0.112750001251698,0.125,0.193000003695488,0.481499999761581,0.927618741989136,600,27978,28306,585,602,0,0,0,0,212486052,206490792,96914029,96689342,119388209,113983335,131168634,56278787,56278787,6115508,6658193
Sun Apr 30 20:13:00 UTC 2017,985,1223606272,19128238,81,33337344,220313,149,866455552,39152.859375,179,183,1127354368,1138044928,3335014.5,,0.101250000298023,0.131750002503395,0.190750002861023,0.470499992370606,0.927438676357269,600,26224,26536,373,401,0,0,0,0,218484191,216971942,99610013,98074943,101353218,113161790,143084069,57782972,57782972,6352443,6021245
Sun Apr 30 20:12:00 UTC 2017,973,1222799360,19128238,77,30392320,207590.796875,154,866078720,39152.859375,174,176,1127346176,1138020352,3335014.5,,0.099500000476837,0.130500003695488,0.188500002026558,0.449250012636185,0.927091777324676,500,24450,24770,187,226,0,0,0,0,198768595,201790860,94793094,83326076,93189001,90143342,123628852,55536302,55536302,5393248,5365122
Sun Apr 30 20:11:00 UTC 2017,921,1222955008,17502234,70,30433280,181897.640625,148,865628160,39152.859375,157,151,1126604800,1134489600,3335014.5,,0.094750002026558,0.121749997138977,0.167500004172325,0.41525000333786,0.926811933517456,500,22579,22903,84,114,0,0,0,0,161894812,163496743,55721448,66802027,70501066,52744625,105276762,46261319,46261319,4005316,4106975
Sun Apr 30 20:10:00 UTC 2017,849,1223864320,17502234,68,28483584,181897.640625,144,865189888,39152.859375,153,153,1124339712,1133494272,3335014.5,,0.099749997258186,0.130750000476837,0.189999997615814,0.40625,0.926039814949035,500,20872,21164,47,53,0,0,0,0,99826123,102959030,31709650,30486798,41615452,30830992,84183497,21598549,21598549,3005509,2994206
Sun Apr 30 20:09:00 UTC 2017,845,1224040448,15629783,67,30203904,181897.640625,144,864894976,35073.8828125,148,156,1124421632,1133518848,3335014.5,,0.090999998152256,0.119999997317791,0.168999999761581,0.411500006914139,0.925911664962769,400,19287,19592,33,38,0,0,0,0,96868949,98074802,24678229,22206043,29289254,31334419,81049318,19033032,19033032,2815889,2908487
Sun Apr 30 20:08:00 UTC 2017,832,1222742016,15629783,61,30195712,168169.25,138,864452608,35073.8828125,140,137,1124511744,1134587904,3239488,,0.097000002861023,0.116499997675419,0.158999994397163,0.380499988794327,0.925696849822998,400,17707,17990,27,35,0,0,0,0,103448208,101833275,32451479,27935360,30912354,31500619,83240754,19360023,19360023,3118585,2764150
Sun Apr 30 20:07:00 UTC 2017,771,1222737920,14812909,59,28827648,139364.046875,134,864305152,34607.671875,134,135,1124593664,1134501888,3088829.25,,0.094750002026558,0.121500000357628,0.160249993205071,0.377499997615814,0.925747752189636,400,16257,16520,15,17,0,0,0,0,86107484,87123667,21595039,26015723,27818083,21479081,70637160,13988871,13988871,2551538,2481977
Sun Apr 30 20:06:00 UTC 2017,752,1217757184,13384923,55,27697152,139364.046875,135,863899648,34290.6875,128,131,1124790272,1134583808,2747230,,0.094999998807907,0.112499997019768,0.163749992847443,0.351249992847443,0.924789249897003,350,14872,15136,15,16,0,0,0,0,88167571,95590429,22506493,21335193,24340317,26191124,70939204,14598863,14598863,2725214,2595283
