sep=;
Time;95th;50th;25th
2017-04-30T13:30:00.000Z;null;null;null
2017-04-30T13:31:00.000Z;null;null;null
2017-04-30T13:32:00.000Z;null;null;null
2017-04-30T13:33:00.000Z;null;null;null
2017-04-30T13:34:00.000Z;null;null;null
2017-04-30T13:35:00.000Z;null;null;null
2017-04-30T13:36:00.000Z;null;null;null
2017-04-30T13:37:00.000Z;null;null;null
2017-04-30T13:38:00.000Z;null;null;null
2017-04-30T13:39:00.000Z;null;null;null
2017-04-30T13:40:00.000Z;null;null;null
2017-04-30T13:41:00.000Z;null;null;null
2017-04-30T13:42:00.000Z;null;null;null
2017-04-30T13:43:00.000Z;null;null;null
2017-04-30T13:44:00.000Z;null;null;null
2017-04-30T13:45:00.000Z;null;null;null
2017-04-30T13:46:00.000Z;null;null;null
2017-04-30T13:47:00.000Z;null;null;null
2017-04-30T13:48:00.000Z;null;null;null
2017-04-30T13:49:00.000Z;null;null;null
2017-04-30T13:50:00.000Z;null;null;null
2017-04-30T13:51:00.000Z;null;null;null
2017-04-30T13:52:00.000Z;null;null;null
2017-04-30T13:53:00.000Z;null;null;null
2017-04-30T13:54:00.000Z;null;null;null
2017-04-30T13:55:00.000Z;null;null;null
2017-04-30T13:56:00.000Z;null;null;null
2017-04-30T13:57:00.000Z;null;null;null
2017-04-30T13:58:00.000Z;null;null;null
2017-04-30T13:59:00.000Z;null;null;null
2017-04-30T14:00:00.000Z;null;null;null
2017-04-30T14:01:00.000Z;null;null;null
2017-04-30T14:02:00.000Z;null;null;null
2017-04-30T14:03:00.000Z;null;null;null
2017-04-30T14:04:00.000Z;null;null;null
2017-04-30T14:05:00.000Z;null;null;null
2017-04-30T14:06:00.000Z;null;null;null
2017-04-30T14:07:00.000Z;null;null;null
2017-04-30T14:08:00.000Z;null;null;null
2017-04-30T14:09:00.000Z;null;null;null
2017-04-30T14:10:00.000Z;null;null;null
2017-04-30T14:11:00.000Z;null;null;null
2017-04-30T14:12:00.000Z;null;null;null
2017-04-30T14:13:00.000Z;null;null;null
2017-04-30T14:14:00.000Z;null;null;null
2017-04-30T14:15:00.000Z;null;null;null
2017-04-30T14:16:00.000Z;null;null;null
