_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Tue May 02 14:25:00 UTC 2017	406.0	1.59094784E9	8603409.0	33.0	3.0728192E7	133530.75	96.0	9.47011584E8	23137.251953125	114.0	99.0	5.88754944E8	5.90073856E8	1613677.0	1612587.25	0.10899999737739563	0.19574999809265137	0.17949999868869781	0.953499972820282	0.711829662322998	600.0	25735.0	26096.0	19693.0	20279.0	11.0	3.0	0.0	0.0	1.187597857E9	1.219128544E9	4.50249101E8	3.89094836E8	3.60907666E8	2.89982139E8	3.26263542E8	7.7501358E7	7.7501358E7	4.8392551E7	4.274563E7	
Tue May 02 14:24:00 UTC 2017	402.0	1.591635968E9	8603409.0	33.0	3.080192E7	135079.8125	100.0	9.46634752E8	23137.251953125	111.0	102.0	5.85240576E8	5.8601472E8	1613677.0	1612587.25	0.07699999958276749	0.19200000166893005	0.18299999833106995	0.9545000195503235	0.711409330368042	600.0	24915.0	25316.0	18600.0	19053.0	10.0	2.0	0.0	0.0	1.137580659E9	1.042325843E9	3.2403699E8	3.90784587E8	2.81914691E8	3.8768335E8	2.76823983E8	7.4794399E7	7.4794399E7	3.9387866E7	3.9594173E7	
Tue May 02 14:23:00 UTC 2017	384.0	1.590501376E9	8603409.0	34.0	3.065856E7	136593.9375	101.0	9.4646272E8	22748.875	110.0	106.0	5.80657152E8	5.81967872E8	1748159.25	null	0.07900000363588333	0.19325000047683716	0.17299999296665192	0.9539999961853027	0.7131276726722717	600.0	24035.0	24373.0	17573.0	17948.0	8.0	2.0	0.0	0.0	8.56887809E8	8.06227081E8	3.05919182E8	4.23974558E8	2.6457284E8	2.63700523E8	2.5446534E8	7.0071409E7	7.0071409E7	3.6053918E7	3.8735658E7	
Tue May 02 14:22:00 UTC 2017	402.0	1.591885824E9	8603409.0	34.0	3.100672E7	136593.9375	96.0	9.4595072E8	22748.875	105.0	117.0	5.77785856E8	5.7812992E8	1481823.875	1676413.75	0.08124999701976776	0.1940000057220459	0.1757500022649765	0.9524999856948853	0.7109978795051575	553.0	23201.0	23480.0	16482.0	16827.0	6.0	2.0	0.0	0.0	8.84722818E8	9.5823365E8	3.49061589E8	4.02690246E8	2.86956159E8	3.07128728E8	2.59743491E8	7.652028E7	7.652028E7	5.2376168E7	4.0453605E7	
Tue May 02 14:21:00 UTC 2017	401.0	1.590358016E9	8603409.0	32.0	3.0208E7	136593.9375	93.0	9.4611456E8	22748.875	113.0	129.0	5.73083648E8	5.7382912E8	1806263.75	1711145.125	0.0860000029206276	0.1965000033378601	0.18000000715255737	0.953499972820282	0.7107390761375427	553.0	22401.0	22621.0	15368.0	15694.0	4.0	2.0	0.0	0.0	7.64783703E8	1.227340936E9	4.16959427E8	3.16103644E8	3.09434013E8	2.1847925E8	2.66708922E8	7.116174E7	7.116174E7	3.547506E7	3.6397996E7	
Tue May 02 14:20:00 UTC 2017	391.0	1.591631872E9	8603409.0	33.0	3.1719424E7	136593.9375	88.0	9.45799168E8	20554.427734375	113.0	124.0	5.69659392E8	5.67230464E8	1806263.75	1711145.125	0.07649999856948853	0.20125000178813934	0.18050000071525574	0.9557499885559082	0.7106186747550964	553.0	21567.0	21783.0	14275.0	14517.0	4.0	0.0	0.0	0.0	8.13590586E8	9.45369367E8	2.55786275E8	3.77412798E8	2.74647326E8	2.81273954E8	2.69164942E8	7.3937861E7	7.3937861E7	3.3169122E7	3.7260964E7	
Tue May 02 14:19:00 UTC 2017	391.0	1.59096832E9	8603409.0	35.0	3.0683136E7	136593.9375	86.0	9.45590272E8	19896.640625	121.0	133.0	5.6629248E8	5.62569216E8	1806263.75	1711145.125	0.08449999988079071	0.20100000500679016	0.1720000058412552	0.9559999704360962	0.7104068398475647	525.0	20830.0	21003.0	13111.0	13291.0	2.0	0.0	0.0	0.0	1.049202431E9	1.185666518E9	4.27013326E8	3.95803455E8	3.24427749E8	3.62933282E8	3.08346357E8	7.6751793E7	7.6751793E7	4.9008952E7	4.3432986E7	
Tue May 02 14:18:00 UTC 2017	416.0	1.59174656E9	8809869.0	35.0	3.1727616E7	136593.9375	78.0	9.45442816E8	18949.662109375	119.0	123.0	5.57801472E8	5.55327488E8	1721487.375	1793688.5	0.07774999737739563	0.20125000178813934	0.16050000488758087	0.9552500247955322	0.710332453250885	525.0	20131.0	20240.0	11908.0	12055.0	0.0	0.0	0.0	0.0	1.000025795E9	1.254711341E9	4.13680583E8	3.49403283E8	3.96129078E8	2.76770591E8	3.01153204E8	6.9705279E7	6.9705279E7	3.1649614E7	3.9728548E7	
Tue May 02 14:17:00 UTC 2017	428.0	1.590980608E9	8197821.0	33.0	3.1903744E7	137939.03125	87.0	9.44955392E8	18949.662109375	123.0	121.0	5.52546304E8	5.49548032E8	1736647.125	1641841.375	0.0832500010728836	0.19349999725818634	0.16425000131130219	0.9547500014305115	0.7101235389709473	525.0	19488.0	19605.0	10821.0	10913.0	0.0	0.0	0.0	0.0	1.199773956E9	1.323802642E9	3.56632926E8	3.43462733E8	3.38414387E8	2.94876463E8	3.38816248E8	7.6105642E7	7.6105642E7	3.7639132E7	4.2931594E7	
Tue May 02 14:16:00 UTC 2017	392.0	1.590452224E9	8252531.0	33.0	3.1875072E7	137907.640625	84.0	9.44848896E8	19280.43359375	118.0	122.0	5.48544512E8	5.43653888E8	1736647.125	1641841.375	0.07975000143051147	0.19449999928474426	0.16574999690055847	0.9537500143051147	0.7116867899894714	446.0	18815.0	18949.0	9784.0	9860.0	0.0	0.0	0.0	0.0	1.192724225E9	1.132623929E9	3.69301743E8	3.37008457E8	3.39204907E8	3.82583284E8	3.41065518E8	8.2786145E7	8.2786145E7	4.5447601E7	4.2995645E7	
