('2017-06-02 17:57:03', 1496426223, 'Users=', 3, 'Duration=', 3, 'min')
('2017-06-02 18:00:07', 1496426407, 'Users=', 5, 'Duration=', 3, 'min')
('2017-06-02 18:03:07', 1496426587, 'Users=', 10, 'Duration=', 3, 'min')
('2017-06-02 18:06:07', 1496426767, 'Users=', 20, 'Duration=', 3, 'min')
('2017-06-02 18:09:07', 1496426947, 'Users=', 50, 'Duration=', 3, 'min')
('2017-06-02 18:12:07', 1496427127, 'Users=', 100, 'Duration=', 3, 'min')
('2017-06-02 18:15:07', 1496427307, 'Users=', 150, 'Duration=', 3, 'min')
('2017-06-02 18:18:08', 1496427488, 'Users=', 200, 'Duration=', 3, 'min')
('2017-06-02 18:21:08', 1496427668, 'Users=', 250, 'Duration=', 3, 'min')
('2017-06-02 18:24:08', 1496427848, 'Users=', 300, 'Duration=', 3, 'min')
('2017-06-02 18:27:08', 1496428028, 'Users=', 350, 'Duration=', 3, 'min')
('2017-06-02 18:30:08', 1496428208, 'Users=', 400, 'Duration=', 3, 'min')
('2017-06-02 18:33:08', 1496428388, 'Users=', 500, 'Duration=', 3, 'min')
('2017-06-02 18:36:08', 1496428568, 'Users=', 600, 'Duration=', 3, 'min')
