_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count4	status_500_count1	status_500_count4	status_0_count1	status_0_count4	status_other_count1	status_other_count4	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Fri Jun 02 15:35:00 UTC 2017	1.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Fri Jun 02 15:36:00 UTC 2017	1.0	6.88017408E8	null	0.0	2.4997888E7	1.019279956817627	8.0	4.60263424E8	65.67266845703125	1.0	1.0	5.26118912E8	5.3112832E8	0.0	0.0	0.0742499977350235	0.04650000110268593	0.2082500010728836	0.9900000095367432	0.5954430103302002	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	null	null	434.0	0.0	421.0	364.0	0.0	0.0	435.0	388.0	396.0	
Fri Jun 02 15:37:00 UTC 2017	1.0	6.87005696E8	null	0.0	2.4997888E7	0.5320969820022583	4.0	4.60304384E8	40.127925872802734	1.0	1.0	5.25017088E8	5.31042304E8	0.0	0.0	0.07349999994039536	0.051249999552965164	0.051249999552965164	0.9909999966621399	0.5861194729804993	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	330.0	329.0	341.0	324.0	333.0	328.0	342.0	336.0	329.0	333.0	335.0	
Fri Jun 02 15:38:00 UTC 2017	5.0	6.87005696E8	2618.495849609375	0.0	2.4997888E7	31.59749984741211	3.0	4.60312576E8	72.24616241455078	0.0	0.0	5.25938688E8	5.30956288E8	0.0	0.0	0.07500000298023224	0.05050000175833702	0.07850000262260437	0.9912499785423279	0.5877140164375305	3.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	337.0	335.0	335.0	334.0	337.0	339.0	336.0	335.0	333.0	328.0	331.0	
Fri Jun 02 15:39:00 UTC 2017	15.0	6.88181248E8	2618.495849609375	0.0	2.5014272E7	286.33148193359375	4.0	4.60312576E8	72.24616241455078	2.0	2.0	5.24435456E8	5.30538496E8	0.0	0.0	0.07400000095367432	0.045249998569488525	0.054999999701976776	0.984000027179718	0.5862574577331543	3.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	328.0	330.0	328.0	330.0	330.0	329.0	338.0	331.0	330.0	333.0	327.0	
Fri Jun 02 15:40:00 UTC 2017	17.0	7.31959296E8	2618.495849609375	0.0	2.502656E7	1196.917236328125	5.0	4.621312E8	410.2494812011719	7.0	2.0	5.33901312E8	5.3045248E8	17194.564453125	15763.9775390625	0.06949999928474426	0.051750000566244125	0.04500000178813934	0.9867500066757202	0.5928650498390198	3.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	325.0	327.0	332.0	332.0	335.0	329.0	324.0	328.0	335.0	343.0	329.0	
Fri Jun 02 15:41:00 UTC 2017	15.0	7.33605888E8	2618.495849609375	0.0	2.5042944E7	1196.917236328125	20.0	4.66948096E8	410.2494812011719	8.0	3.0	5.80333568E8	5.31480576E8	30979.703125	15763.9775390625	0.09974999725818634	0.05375000089406967	0.04874999821186066	0.9909999966621399	0.5916374921798706	5.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	335.0	333.0	328.0	328.0	328.0	333.0	346.0	331.0	331.0	330.0	332.0	
Fri Jun 02 15:42:00 UTC 2017	18.0	7.70924544E8	2618.495849609375	0.0	2.5059328E7	1196.917236328125	12.0	4.69393408E8	410.2494812011719	4.0	5.0	5.80292608E8	5.61270784E8	32709.42578125	null	0.06849999725818634	0.0560000017285347	0.05575000122189522	0.9904999732971191	0.5963354706764221	5.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	334.0	333.0	332.0	330.0	337.0	342.0	339.0	329.0	328.0	327.0	
Fri Jun 02 15:43:00 UTC 2017	19.0	7.88017152E8	157827.015625	0.0	2.5088E7	1196.917236328125	6.0	4.69405696E8	647.8359985351562	6.0	5.0	5.82189056E8	5.61139712E8	32709.42578125	null	0.07724999636411667	0.04650000110268593	0.05000000074505806	0.9907500147819519	0.5993919372558594	5.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	331.0	326.0	333.0	335.0	336.0	337.0	333.0	332.0	335.0	325.0	
Fri Jun 02 15:44:00 UTC 2017	17.0	8.1829888E8	157827.015625	0.0	2.5088E7	1196.917236328125	7.0	4.69413888E8	647.8359985351562	4.0	7.0	5.81926912E8	5.61106944E8	32709.42578125	null	0.06650000065565109	0.051500000059604645	0.0507499985396862	0.9904999732971191	0.6018363237380981	5.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	334.0	330.0	328.0	332.0	330.0	332.0	335.0	334.0	330.0	325.0	330.0	
