('profile: ', [(0, 3), (6, 3), (13, 3), (85, 3), (147, 3), (169, 3), (251, 3), (319, 3), (278, 3), (301, 3), (359, 3), (377, 3), (416, 3), (480, 3), (529, 3), (600, 3)])
('2017-05-14 13:44:40', 1494769480, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-14 13:47:40', 1494769660, 'Users=', 6, 'Duration=', 3, 'min')
('2017-05-14 13:50:40', 1494769840, 'Users=', 13, 'Duration=', 3, 'min')
('2017-05-14 13:53:40', 1494770020, 'Users=', 85, 'Duration=', 3, 'min')
('2017-05-14 13:56:40', 1494770200, 'Users=', 147, 'Duration=', 3, 'min')
('2017-05-14 13:59:41', 1494770381, 'Users=', 169, 'Duration=', 3, 'min')
('2017-05-14 14:02:41', 1494770561, 'Users=', 251, 'Duration=', 3, 'min')
('2017-05-14 14:05:41', 1494770741, 'Users=', 319, 'Duration=', 3, 'min')
('2017-05-14 14:08:41', 1494770921, 'Users=', 278, 'Duration=', 3, 'min')
('2017-05-14 14:11:41', 1494771101, 'Users=', 301, 'Duration=', 3, 'min')
('2017-05-14 14:14:41', 1494771281, 'Users=', 359, 'Duration=', 3, 'min')
('2017-05-14 14:17:41', 1494771461, 'Users=', 377, 'Duration=', 3, 'min')
('2017-05-14 14:20:41', 1494771641, 'Users=', 416, 'Duration=', 3, 'min')
('2017-05-14 14:23:41', 1494771821, 'Users=', 480, 'Duration=', 3, 'min')
('2017-05-14 14:26:41', 1494772001, 'Users=', 529, 'Duration=', 3, 'min')
('2017-05-14 14:29:42', 1494772182, 'Users=', 600, 'Duration=', 3, 'min')
