_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Mon May 15 00:28:00 UTC 2017	994.0	1.230004224E9	1.8359052E7	75.0	2.5694208E7	255169.921875	120.0	7.79870208E8	41031.4140625	200.0	176.0	1.230729216E9	1.230221312E9	3762381.75	3771316.5	0.09724999964237213	0.24324999749660492	0.2605000138282776	0.3567500114440918	0.8074101805686951	600.0	46743.0	46809.0	3783.0	3774.0	4.0	9.0	0.0	0.0	3.65007073E8	3.50362751E8	8.3724013E7	9.1849212E7	8.7338013E7	9.1411745E7	1.18859711E8	6.205165E7	6.205165E7	8051784.0	8097758.0	
Mon May 15 00:27:00 UTC 2017	995.0	1.241522176E9	1.8119426E7	74.0	2.5677824E7	246781.484375	120.0	7.79403264E8	41771.43359375	196.0	177.0	1.23019264E9	1.230053376E9	3362471.75	3588566.0	0.09724999964237213	0.23025000095367432	0.23849999904632568	0.3607499897480011	0.8074777126312256	600.0	45146.0	45212.0	3382.0	3398.0	3.0	8.0	0.0	0.0	3.69845832E8	3.63877427E8	8.9965455E7	9.8450082E7	7.7157273E7	7.7574239E7	1.19462018E8	6.2193239E7	6.2193239E7	6899935.0	7133166.0	
Mon May 15 00:26:00 UTC 2017	994.0	1.254371328E9	1.8119426E7	73.0	2.7275264E7	246781.484375	120.0	7.7924352E8	41771.43359375	191.0	171.0	1.230979072E9	1.2296192E9	3362471.75	3588566.0	0.10000000149011612	0.2317499965429306	0.2317499965429306	0.35225000977516174	0.8072105646133423	600.0	43493.0	43568.0	3052.0	3074.0	2.0	7.0	0.0	0.0	3.72380504E8	3.70081611E8	8.7039577E7	8.5518531E7	8.1746064E7	8.253851E7	1.15140616E8	6.148728E7	6.148728E7	6810308.0	7262625.0	
Mon May 15 00:25:00 UTC 2017	996.0	1.230594048E9	1.8119426E7	72.0	2.5849856E7	246781.484375	118.0	7.78838016E8	40604.14453125	195.0	170.0	1.230573568E9	1.2301312E9	3362471.75	3588566.0	0.12049999833106995	0.2407499998807907	0.23375000059604645	0.35249999165534973	0.8044320344924927	519.0	41855.0	41943.0	2703.0	2737.0	2.0	5.0	0.0	0.0	3.55446355E8	3.7557781E8	9.1812414E7	8.7272686E7	9.5891092E7	9.8216115E7	1.1887166E8	6.2523798E7	6.2523798E7	8379841.0	8310026.0	
Mon May 15 00:24:00 UTC 2017	996.0	1.237532672E9	1.8181996E7	74.0	2.5710592E7	246781.484375	122.0	7.78162176E8	41077.53515625	191.0	172.0	1.230225408E9	1.229959168E9	3362471.75	3588566.0	0.10774999856948853	0.2292499989271164	0.24424999952316284	0.34850001335144043	0.8068073987960815	519.0	40268.0	40383.0	2306.0	2347.0	2.0	3.0	0.0	0.0	3.83030261E8	3.85616555E8	8.6853066E7	8.6801429E7	1.02061859E8	1.02343101E8	1.21523738E8	6.3714457E7	6.3714457E7	8720197.0	7375556.0	
Mon May 15 00:23:00 UTC 2017	986.0	1.259266048E9	1.8181996E7	73.0	2.5628672E7	246781.484375	118.0	7.7795328E8	41614.78515625	195.0	176.0	1.230864384E9	1.229877248E9	3362471.75	3588566.0	0.09274999797344208	0.23675000667572021	0.2342499941587448	0.35624998807907104	0.8075995445251465	519.0	38696.0	38772.0	1916.0	1980.0	2.0	1.0	0.0	0.0	3.24521189E8	3.33231581E8	9.7949324E7	8.4099766E7	8.3355195E7	8.6527813E7	1.17656236E8	6.2569327E7	6.2569327E7	8693200.0	8604116.0	
Mon May 15 00:22:00 UTC 2017	997.0	1.260130304E9	1.8181996E7	74.0	2.5575424E7	246781.484375	122.0	7.77457664E8	40090.08984375	196.0	175.0	1.230651392E9	1.22974208E9	3362471.75	3588566.0	0.10074999928474426	0.24124999344348907	0.24199999868869781	0.359499990940094	0.8092283606529236	510.0	37039.0	37176.0	1590.0	1637.0	1.0	1.0	0.0	0.0	3.68117744E8	3.633371E8	8.0521651E7	9.1058856E7	8.6646463E7	9.087515E7	1.16772922E8	6.2318972E7	6.2318972E7	8494764.0	7240028.0	
Mon May 15 00:21:00 UTC 2017	995.0	1.235980288E9	1.7681514E7	71.0	2.5587712E7	246781.484375	121.0	7.7713408E8	40090.08984375	178.0	173.0	1.230594048E9	1.229115392E9	3362471.75	3588566.0	0.09875000268220901	0.22624999284744263	0.23250000178813934	0.34049999713897705	0.8042328953742981	510.0	35450.0	35582.0	1211.0	1260.0	0.0	1.0	0.0	0.0	3.41661557E8	3.75614187E8	8.7625366E7	1.03499313E8	9.5156184E7	9.2710397E7	1.19364786E8	6.2311592E7	6.2311592E7	8647824.0	8680638.0	
Mon May 15 00:20:00 UTC 2017	943.0	1.256480768E9	1.7681514E7	73.0	2.4879104E7	246781.484375	126.0	7.76962048E8	42280.640625	190.0	168.0	1.227620352E9	1.228173312E9	3746418.75	3588566.0	0.10925000160932541	0.22425000369548798	0.2542499899864197	0.35249999165534973	0.8036301136016846	510.0	33785.0	33966.0	902.0	913.0	0.0	0.0	0.0	0.0	3.12483246E8	3.5298389E8	8.6628052E7	1.06999256E8	8.7229927E7	1.05335667E8	1.17670971E8	6.1103698E7	6.1103698E7	8302552.0	7075946.0	
Mon May 15 00:19:00 UTC 2017	979.0	1.216049152E9	1.7681514E7	72.0	2.4797184E7	246781.484375	129.0	7.763968E8	36421.8828125	185.0	164.0	1.228414976E9	1.228668928E9	3603393.75	null	0.09475000202655792	0.2277500033378601	0.23925000429153442	0.34424999356269836	0.8017331957817078	478.0	32236.0	32410.0	568.0	573.0	0.0	0.0	0.0	0.0	2.96748058E8	3.05892659E8	7.1908849E7	6.7600363E7	7.4627385E7	8.292485E7	1.09510049E8	5.8768538E7	5.8768538E7	5929299.0	7130343.0	
