_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 11:19:00 UTC 2017	2.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 11:20:00 UTC 2017	2.0	1.529114624E9	23307.603515625	0.0	2.0094976E7	null	5.0	8.21813248E8	231.46469116210938	0.0	0.0	1.141686272E9	1.151148032E9	28.466243743896484	0.07524999976158142	0.061500001698732376	0.057500001043081284	0.07199999690055847	0.8251252174377441	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 11:21:00 UTC 2017	1.0	1.529114624E9	18860.93359375	0.0	1.9161088E7	null	3.0	8.21723136E8	411.37744140625	0.0	0.0	1.141686272E9	1.151148032E9	27.926713943481445	0.07824999839067459	0.06549999862909317	0.04975000023841858	0.06724999845027924	0.8251506686210632	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sat May 13 11:22:00 UTC 2017	7.0	1.528102912E9	18860.93359375	0.0	1.9161088E7	0.0	4.0	8.21723136E8	238.5027618408203	0.0	0.0	1.1414528E9	1.151000576E9	27.926713943481445	0.07800000160932541	0.05999999865889549	0.05324999988079071	0.05999999865889549	0.8251428604125977	11.0	null	null	null	null	null	null	null	null	8.5482145E7	9.4868298E7	4787831.0	5155571.0	4065876.0	6546969.0	6.119667E7	4.3375784E7	4.3375784E7	1880906.0	1254289.0	
Sat May 13 11:23:00 UTC 2017	19.0	1.529233408E9	18860.93359375	0.0	2.0099072E7	0.0	7.0	8.21936128E8	1004.9136352539062	2.0	2.0	1.141305344E9	1.150685184E9	27.926713943481445	0.07474999874830246	0.06674999743700027	0.05350000038743019	0.07199999690055847	0.8251956701278687	11.0	44.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	8.7663109E7	9.4845286E7	1.1099833E7	3994483.0	5569612.0	4671093.0	8.4385449E7	4.344995E7	4.344995E7	1207961.0	1321118.0	
Sat May 13 11:24:00 UTC 2017	21.0	1.528160256E9	18860.93359375	1.0	2.0099072E7	5024.099609375	14.0	8.21948416E8	1669.1119384765625	4.0	6.0	1.141223424E9	1.14980864E9	61677.4765625	0.0754999965429306	0.07249999791383743	0.05225000157952309	0.06975000351667404	0.8252245783805847	11.0	87.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	9.1809607E7	9.961497E7	4444345.0	3697665.0	5171207.0	5083974.0	8.8925641E7	2.8183178E7	2.8183178E7	1409566.0	2173908.0	
Sat May 13 11:25:00 UTC 2017	60.0	1.528451072E9	379671.65625	1.0	1.9165184E7	5024.099609375	13.0	8.22300672E8	1716.447021484375	4.0	5.0	1.141235712E9	1.149718528E9	61677.4765625	0.11225000023841858	0.06700000166893005	0.06199999898672104	0.0689999982714653	0.8253307342529297	91.0	164.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6412807E7	5.6806523E7	2.0453833E7	4609258.0	4512808.0	6623844.0	3.6552956E7	6377843.0	6377843.0	1440835.0	1500572.0	
Sat May 13 11:26:00 UTC 2017	154.0	1.521881088E9	934391.8125	4.0	2.0099072E7	5024.099609375	31.0	8.22304768E8	1716.447021484375	12.0	13.0	1.1411456E9	1.152253952E9	170666.875	0.07225000113248825	0.08299999684095383	0.07474999874830246	0.0832500010728836	0.8250322937965393	91.0	514.0	544.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3278874E7	7.7215162E7	4643014.0	4896802.0	7532779.0	7346842.0	3.1605926E7	5646862.0	5646862.0	1493368.0	1330119.0	
Sat May 13 11:27:00 UTC 2017	189.0	1.510244352E9	934391.8125	11.0	2.0783104E7	42617.984375	46.0	8.22202368E8	1716.447021484375	31.0	32.0	1.143959552E9	1.15214336E9	170666.875	0.09125000238418579	0.09549999982118607	0.09200000017881393	0.11349999904632568	0.8233012557029724	91.0	877.0	914.0	0.0	0.0	0.0	0.0	0.0	0.0	6.916527E7	7.6794718E7	2.5103671E7	1.5427984E7	1.4433214E7	4365101.0	3.3007273E7	5808955.0	5808955.0	1728467.0	1389489.0	
Sat May 13 11:28:00 UTC 2017	220.0	1.474576384E9	934391.8125	14.0	2.0799488E7	52439.171875	46.0	8.22472704E8	10707.748046875	36.0	37.0	1.143914496E9	1.151971328E9	671783.75	0.0820000022649765	0.10824999958276749	0.09200000017881393	0.13500000536441803	0.8192011713981628	126.0	1248.0	1300.0	0.0	0.0	0.0	0.0	0.0	0.0	6.727768E7	5.9991796E7	2.6661864E7	5169586.0	2.3284869E7	8390564.0	2.948906E7	5671237.0	5671237.0	1639591.0	1453675.0	
Sat May 13 11:29:00 UTC 2017	265.0	1.441333248E9	934391.8125	16.0	2.0803584E7	54766.4296875	52.0	8.22505472E8	12742.087890625	44.0	40.0	1.143689216E9	1.152008192E9	802874.6875	0.08474999666213989	0.10700000077486038	0.11400000005960464	0.13324999809265137	0.8181252479553223	126.0	1756.0	1804.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2799145E7	4.9916796E7	7976991.0	1.0130361E7	4208976.0	5171472.0	2.9750397E7	5576262.0	5576262.0	1493139.0	1560848.0	
Sat May 13 11:30:00 UTC 2017	291.0	1.418743808E9	5097935.5	20.0	2.0553728E7	54766.4296875	60.0	8.22747136E8	12742.087890625	52.0	45.0	1.143771136E9	1.150087168E9	802874.6875	0.0754999965429306	0.10925000160932541	0.1067499965429306	0.1497499942779541	0.8156201839447021	126.0	2249.0	2308.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0341074E7	5.2291813E7	1.0551093E7	3.0615777E7	5099561.0	1.590969E7	3.0683706E7	5835143.0	5835143.0	1675137.0	1398248.0	
Sat May 13 11:31:00 UTC 2017	325.0	1.378336768E9	5097935.5	21.0	2.0488192E7	78715.015625	59.0	8.22706176E8	14625.1669921875	58.0	48.0	1.143709696E9	1.149943808E9	802874.6875	0.09724999964237213	0.11949999630451202	0.11299999803304672	0.1537500023841858	0.8099279999732971	177.0	2771.0	2824.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7532317E7	4.8637777E7	6176612.0	5534557.0	6470101.0	5164600.0	2.976591E7	6073023.0	6073023.0	1469676.0	1495129.0	
Sat May 13 11:32:00 UTC 2017	376.0	1.357848576E9	6150612.5	23.0	2.0504576E7	88081.7421875	68.0	8.22894592E8	14625.1669921875	62.0	57.0	1.143754752E9	1.150091264E9	1232946.875	0.07975000143051147	0.12300000339746475	0.12274999916553497	0.15974999964237213	0.8079156279563904	177.0	3472.0	3542.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2458681E7	4.6238441E7	5381749.0	8762258.0	8143862.0	6007166.0	2.9101264E7	5886544.0	5886544.0	1457205.0	1463651.0	
Sat May 13 11:33:00 UTC 2017	402.0	1.322835968E9	7211999.5	27.0	2.1200896E7	99450.15625	76.0	8.23242752E8	19276.595703125	76.0	65.0	1.142800384E9	1.15027968E9	1232946.875	0.0872500017285347	0.13699999451637268	0.12999999523162842	0.17475000023841858	0.8040494322776794	177.0	4161.0	4251.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7574765E7	4.1794109E7	5680713.0	5681503.0	6712569.0	4939064.0	2.8048325E7	5763180.0	5763180.0	1475257.0	1485761.0	
Sat May 13 11:34:00 UTC 2017	421.0	1.301229568E9	7211999.5	29.0	2.1336064E7	99450.15625	78.0	8.23386112E8	19630.732421875	79.0	67.0	1.143201792E9	1.150623744E9	1574945.875	0.08924999833106995	0.13699999451637268	0.15449999272823334	0.18649999797344208	0.8002198934555054	223.0	4882.0	4990.0	0.0	1.0	0.0	0.0	0.0	0.0	4.7673695E7	4.9921948E7	6063875.0	6738736.0	6440415.0	1.2067384E7	2.9852556E7	6063004.0	6063004.0	1736996.0	1617164.0	
Sat May 13 11:35:00 UTC 2017	483.0	1.266110464E9	8171873.0	32.0	2.205696E7	114508.3125	85.0	8.23635968E8	19630.732421875	85.0	75.0	1.143607296E9	1.151848448E9	1673593.75	0.11800000071525574	0.1472499966621399	0.148499995470047	0.1887499988079071	0.7962044477462769	223.0	5765.0	5876.0	0.0	1.0	0.0	0.0	0.0	0.0	4.4986262E7	4.6273853E7	5483802.0	5250684.0	5563089.0	5669470.0	3.1065045E7	6366331.0	6366331.0	1716593.0	1788975.0	
Sat May 13 11:36:00 UTC 2017	514.0	1.222279168E9	9360430.0	35.0	2.1131264E7	114508.3125	89.0	8.23693312E8	23681.162109375	96.0	82.0	1.143640064E9	1.150865408E9	1673593.75	0.09075000137090683	0.14675000309944153	0.14900000393390656	0.20999999344348907	0.7918817400932312	223.0	6646.0	6774.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0765236E7	5.3420918E7	5697941.0	5365107.0	8535844.0	6439948.0	3.3381213E7	6625934.0	6625934.0	1610633.0	1523986.0	
Sat May 13 11:37:00 UTC 2017	523.0	1.271717888E9	9360430.0	38.0	2.2188032E7	114508.3125	91.0	8.2386944E8	23681.162109375	100.0	88.0	1.143627776E9	1.151725568E9	2008387.25	0.09700000286102295	0.15725000202655792	0.14749999344348907	0.22675000131130219	0.7972764372825623	252.0	7528.0	7664.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0520546E7	4.930446E7	6414689.0	5278176.0	9757878.0	6616315.0	3.1366556E7	6487872.0	6487872.0	1697325.0	1919195.0	
Sat May 13 11:38:00 UTC 2017	564.0	1.28763904E9	9360430.0	38.0	2.2974464E7	140149.828125	94.0	8.2425856E8	24610.103515625	102.0	88.0	1.143394304E9	1.150849024E9	2098537.75	0.0925000011920929	0.1615000069141388	0.1602499932050705	0.22200000286102295	0.8022156357765198	252.0	8543.0	8666.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0684406E7	5.28192E7	5263913.0	5753965.0	6255871.0	1.0444408E7	3.2728226E7	6608443.0	6608443.0	1683536.0	1863319.0	
Sat May 13 11:39:00 UTC 2017	584.0	1.331847168E9	9360430.0	41.0	2.2286336E7	151039.59375	100.0	8.2446336E8	26158.951171875	111.0	94.0	1.143410688E9	1.15185664E9	2243360.0	0.09925000369548798	0.15974999964237213	0.16099999845027924	0.2290000021457672	0.8075535893440247	252.0	9530.0	9687.0	0.0	1.0	0.0	0.0	0.0	0.0	6.088265E7	6.3894454E7	9833127.0	1.378875E7	8239200.0	6578249.0	3.9750228E7	7318530.0	7318530.0	1879929.0	1792307.0	
Sat May 13 11:40:00 UTC 2017	610.0	1.484013568E9	1.1303462E7	43.0	2.2044672E7	151039.59375	98.0	8.2479104E8	26361.1171875	115.0	96.0	1.143410688E9	1.15091456E9	2343488.75	0.09049999713897705	0.17225000262260437	0.164000004529953	0.23999999463558197	0.8246824741363525	287.0	10551.0	10712.0	1.0	2.0	0.0	0.0	0.0	0.0	4.7907841E7	5.192398E7	6295828.0	6173840.0	7041794.0	5422968.0	3.3927522E7	6750662.0	6750662.0	1794433.0	1803387.0	
Sat May 13 11:41:00 UTC 2017	650.0	1.49202944E9	1.1303462E7	44.0	2.2216704E7	151039.59375	106.0	8.2491392E8	26361.1171875	118.0	99.0	1.143324672E9	1.150685184E9	2343488.75	0.09574999660253525	0.17249999940395355	0.1860000044107437	0.24275000393390656	0.8264252543449402	287.0	11678.0	11850.0	2.0	3.0	0.0	0.0	0.0	0.0	7.0761324E7	7.2673496E7	1.4021021E7	1.0259658E7	8399092.0	1.7660886E7	4.6700367E7	7957377.0	7957377.0	1817200.0	1893706.0	
Sat May 13 11:42:00 UTC 2017	653.0	1.52385536E9	1.2636184E7	47.0	2.1327872E7	151039.59375	108.0	8.251392E8	26361.1171875	127.0	106.0	1.143189504E9	1.150758912E9	2343488.75	0.09775000065565109	0.18050000071525574	0.17550000548362732	0.25725001096725464	0.8293060660362244	287.0	12802.0	12990.0	2.0	3.0	0.0	0.0	0.0	0.0	6.323122E7	6.3119113E7	1.2946831E7	1.1552357E7	8467031.0	1.0838074E7	4.0860311E7	7472202.0	7472202.0	2085568.0	1968775.0	
