_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sun May 14 06:19:00 UTC 2017	1.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 06:20:00 UTC 2017	1.0	1.401315328E9	null	0.0	1.9996672E7	null	4.0	8.33142784E8	427.22955322265625	0.0	0.0	1.168551936E9	1.1895808E9	28.49310302734375	25.517648696899414	0.08299999684095383	0.06174999848008156	0.057500001043081284	0.05700000002980232	0.8260161876678467	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 06:21:00 UTC 2017	1.0	1.401315328E9	21435.505859375	0.0	1.916928E7	null	3.0	8.33056768E8	498.8653869628906	0.0	0.0	1.16840448E9	1.190371328E9	29.395214080810547	25.517648696899414	0.07524999976158142	0.07150000333786011	0.04899999871850014	0.07249999791383743	0.8260196447372437	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
Sun May 14 06:22:00 UTC 2017	1.0	1.401315328E9	27046.140625	0.0	1.9996672E7	null	5.0	8.33056768E8	498.8653869628906	0.0	0.0	1.168257024E9	1.189347328E9	30.875316619873047	null	0.07199999690055847	0.06300000101327896	0.052000001072883606	0.0560000017285347	0.826042652130127	55.0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6873410.0	6238956.0	6238956.0	1945539.0	1021574.0	
Sun May 14 06:23:00 UTC 2017	59.0	1.401315328E9	19979.373046875	0.0	1.9996672E7	0.0	5.0	8.333312E8	234.52294921875	0.0	0.0	1.168171008E9	1.190137856E9	27.836275100708008	null	0.07625000178813934	0.060499999672174454	0.051249999552965164	0.06875000149011612	0.8260607123374939	55.0	226.0	231.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7388456E7	7.1065426E7	9804794.0	3.2389272E7	4293957.0	8275412.0	6.1369E7	6385680.0	6385680.0	1449708.0	1596898.0	
Sun May 14 06:24:00 UTC 2017	109.0	1.398820864E9	1051922.0	4.0	2.0668416E7	17519.9453125	27.0	8.33368064E8	234.52294921875	17.0	17.0	1.168027648E9	1.189175296E9	27.836275100708008	null	0.0729999989271164	0.08775000274181366	0.07474999874830246	0.0860000029206276	0.8258371353149414	55.0	440.0	454.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5537743E7	8.1810851E7	9089757.0	9523665.0	3.2057235E7	3.7691056E7	7.09808E7	5607318.0	5607318.0	1388786.0	1747134.0	
Sun May 14 06:25:00 UTC 2017	122.0	1.387814912E9	1051922.0	8.0	1.9861504E7	17519.9453125	30.0	8.33646592E8	234.52294921875	22.0	22.0	1.167945728E9	1.189961728E9	352466.625	null	0.11050000041723251	0.08524999767541885	0.07900000363588333	0.09724999964237213	0.8248223662376404	114.0	654.0	701.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4626374E7	7.1910051E7	4.4727708E7	1.8205437E7	1.6344046E7	2.3201736E7	5.8015685E7	6003584.0	6003584.0	1455693.0	1736172.0	
Sun May 14 06:26:00 UTC 2017	191.0	1.370472448E9	2319037.5	9.0	2.0697088E7	17519.9453125	32.0	8.33736704E8	234.52294921875	24.0	22.0	1.168838656E9	1.189122048E9	426713.21875	null	0.06750000268220901	0.09525000303983688	0.0820000022649765	0.11124999821186066	0.8224063515663147	114.0	1123.0	1144.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9585932E7	5.1901607E7	1.5295634E7	1.2796485E7	2.4840023E7	5625456.0	3.0132971E7	5619683.0	5619683.0	1559982.0	1392951.0	
Sun May 14 06:27:00 UTC 2017	248.0	1.341046784E9	2319037.5	14.0	1.9869696E7	17519.9453125	55.0	8.33650688E8	234.52294921875	42.0	37.0	1.168695296E9	1.188847616E9	602266.75	633308.9375	0.09049999713897705	0.10649999976158142	0.09925000369548798	0.12700000405311584	0.8197956085205078	114.0	1576.0	1594.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3043155E7	4.371503E7	2.5807062E7	6025375.0	1.1112304E7	7987612.0	2.9808997E7	5931725.0	5931725.0	1481863.0	1395920.0	
Sun May 14 06:28:00 UTC 2017	275.0	1.31753984E9	4520703.5	18.0	2.1393408E7	17519.9453125	55.0	8.33900544E8	234.52294921875	48.0	44.0	1.16854784E9	1.190526976E9	855474.9375	633308.9375	0.08100000023841858	0.10824999958276749	0.10649999976158142	0.14000000059604645	0.8161867260932922	193.0	2081.0	2090.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1279796E7	5.7253207E7	4731056.0	6345644.0	4745974.0	6190053.0	3.0051687E7	6014061.0	6014061.0	1987085.0	1866578.0	
