('profile: ', [(0, 3), (0, 3), (24, 3), (95, 3), (98, 3), (135, 3), (217, 3), (288, 3), (274, 3), (283, 3), (364, 3), (430, 3), (462, 3), (526, 3), (548, 3), (600, 3)])
('2017-05-15 07:06:16', 1494831976, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-15 07:09:17', 1494832157, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-15 07:12:17', 1494832337, 'Users=', 24, 'Duration=', 3, 'min')
('2017-05-15 07:15:17', 1494832517, 'Users=', 95, 'Duration=', 3, 'min')
('2017-05-15 07:18:17', 1494832697, 'Users=', 98, 'Duration=', 3, 'min')
('2017-05-15 07:21:17', 1494832877, 'Users=', 135, 'Duration=', 3, 'min')
('2017-05-15 07:24:17', 1494833057, 'Users=', 217, 'Duration=', 3, 'min')
('2017-05-15 07:27:17', 1494833237, 'Users=', 288, 'Duration=', 3, 'min')
('2017-05-15 07:30:17', 1494833417, 'Users=', 274, 'Duration=', 3, 'min')
('2017-05-15 07:33:17', 1494833597, 'Users=', 283, 'Duration=', 3, 'min')
('2017-05-15 07:36:17', 1494833777, 'Users=', 364, 'Duration=', 3, 'min')
('2017-05-15 07:39:17', 1494833957, 'Users=', 430, 'Duration=', 3, 'min')
('2017-05-15 07:42:17', 1494834137, 'Users=', 462, 'Duration=', 3, 'min')
('2017-05-15 07:45:18', 1494834318, 'Users=', 526, 'Duration=', 3, 'min')
('2017-05-15 07:48:18', 1494834498, 'Users=', 548, 'Duration=', 3, 'min')
('2017-05-15 07:51:18', 1494834678, 'Users=', 600, 'Duration=', 3, 'min')
