_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count25	status_200_count4	status_500_count25	status_500_count4	status_0_count25	status_0_count4	status_other_count25	status_other_count4	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Tue Jun 06 15:16:00 UTC 2017	89.0	1.049489408E9	2215843.75	9.0	2.7049984E7	34160.7734375	28.0	1.055707136E9	5884.8017578125	12.0	24.0	8.2434048E8	6.4878592E8	333523.46875	636334.75	0.08224999904632568	0.05674999952316284	0.07874999940395355	0.9827499985694885	0.7985187768936157	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	320.0	320.0	320.0	321.0	319.0	324.0	318.0	319.0	320.0	320.0	322.0	
Tue Jun 06 15:15:00 UTC 2017	95.0	1.049489408E9	2215843.75	9.0	2.7045888E7	34160.7734375	26.0	1.055752192E9	5943.46728515625	14.0	25.0	8.31700992E8	6.56654336E8	333523.46875	636334.75	0.06449999660253525	0.06499999761581421	0.07500000298023224	0.981249988079071	0.7983714938163757	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	316.0	318.0	314.0	319.0	319.0	319.0	320.0	317.0	317.0	320.0	
Tue Jun 06 15:14:00 UTC 2017	105.0	1.050533888E9	2215843.75	8.0	2.7127808E7	31849.212890625	26.0	1.05562112E9	5917.27880859375	13.0	28.0	8.40118272E8	6.65575424E8	287305.25	null	0.08749999850988388	0.061000000685453415	0.07275000214576721	0.9825000166893005	0.7983275055885315	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	319.0	319.0	318.0	319.0	321.0	316.0	320.0	316.0	319.0	323.0	319.0	
Tue Jun 06 15:13:00 UTC 2017	101.0	1.050599424E9	2215843.75	8.0	2.791424E7	29401.541015625	25.0	1.05551872E9	5415.63134765625	14.0	27.0	8.46434304E8	6.7344384E8	287305.25	null	0.07249999791383743	0.06800000369548798	0.07450000196695328	0.9825000166893005	0.7981616258621216	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	320.0	321.0	319.0	320.0	324.0	320.0	323.0	321.0	317.0	321.0	
Tue Jun 06 15:12:00 UTC 2017	101.0	1.050468352E9	2215843.75	8.0	2.6968064E7	30290.923828125	29.0	1.055326208E9	5415.63134765625	13.0	26.0	8.55908352E8	6.81852928E8	298832.125	512632.21875	0.07450000196695328	0.05849999934434891	0.07150000333786011	0.9827499985694885	0.7993475794792175	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	319.0	319.0	317.0	322.0	316.0	320.0	321.0	322.0	323.0	319.0	
Tue Jun 06 15:11:00 UTC 2017	100.0	1.050468352E9	2042881.375	7.0	2.6980352E7	28603.37109375	24.0	1.055297536E9	5415.63134765625	12.0	24.0	8.65902592E8	6.92322304E8	298832.125	512632.21875	0.10400000214576721	0.06800000369548798	0.06825000047683716	0.9835000038146973	0.7978445887565613	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	320.0	321.0	321.0	323.0	325.0	325.0	319.0	324.0	319.0	323.0	
Tue Jun 06 15:10:00 UTC 2017	86.0	1.04978432E9	2042881.375	7.0	2.6976256E7	28603.37109375	25.0	1.055612928E9	5686.60400390625	13.0	24.0	8.68528128E8	6.9824512E8	298832.125	512632.21875	0.07225000113248825	0.057500001043081284	0.07100000232458115	0.9832500219345093	0.7976018786430359	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	322.0	323.0	320.0	319.0	321.0	318.0	322.0	319.0	322.0	321.0	
Tue Jun 06 15:09:00 UTC 2017	91.0	1.04978432E9	2231180.75	7.0	2.7004928E7	29408.857421875	20.0	1.055055872E9	4947.4599609375	13.0	24.0	8.76945408E8	7.06510848E8	269610.40625	539468.3125	0.07874999940395355	0.06199999898672104	0.0689999982714653	0.9837499856948853	0.797511875629425	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	322.0	324.0	320.0	325.0	321.0	321.0	320.0	323.0	319.0	321.0	324.0	
Tue Jun 06 15:08:00 UTC 2017	92.0	1.049718784E9	2231180.75	8.0	2.7820032E7	29408.857421875	26.0	1.055031296E9	5824.7529296875	13.0	28.0	8.88516608E8	7.11630848E8	252414.1875	553515.5	0.07275000214576721	0.06599999964237213	0.06750000268220901	0.9827499985694885	0.7973993420600891	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	319.0	320.0	319.0	322.0	324.0	319.0	322.0	315.0	320.0	321.0	320.0	
Tue Jun 06 15:07:00 UTC 2017	99.0	1.04976384E9	2276531.25	8.0	2.707456E7	28055.107421875	24.0	1.054715904E9	5519.234375	12.0	27.0	8.91674624E8	7.20523264E8	252414.1875	553515.5	0.07400000095367432	0.06475000083446503	0.07275000214576721	0.9825000166893005	0.7973284125328064	50.0	244.0	371.0	0.0	0.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	321.0	318.0	321.0	321.0	319.0	320.0	318.0	321.0	321.0	318.0	321.0	
