('2017-06-02 15:54:56', 1496418896, 'Users=', 3, 'Duration=', 3, 'min')
('2017-06-02 15:57:56', 1496419076, 'Users=', 5, 'Duration=', 3, 'min')
('2017-06-02 16:00:56', 1496419256, 'Users=', 10, 'Duration=', 3, 'min')
('2017-06-02 16:03:56', 1496419436, 'Users=', 20, 'Duration=', 3, 'min')
('2017-06-02 16:06:56', 1496419616, 'Users=', 50, 'Duration=', 3, 'min')
('2017-06-02 16:09:56', 1496419796, 'Users=', 100, 'Duration=', 3, 'min')
('2017-06-02 16:12:56', 1496419976, 'Users=', 150, 'Duration=', 3, 'min')
('2017-06-02 16:15:56', 1496420156, 'Users=', 200, 'Duration=', 3, 'min')
('2017-06-02 16:18:57', 1496420337, 'Users=', 250, 'Duration=', 3, 'min')
('2017-06-02 16:21:57', 1496420517, 'Users=', 300, 'Duration=', 3, 'min')
('2017-06-02 16:24:57', 1496420697, 'Users=', 350, 'Duration=', 3, 'min')
('2017-06-02 16:27:57', 1496420877, 'Users=', 400, 'Duration=', 3, 'min')
('2017-06-02 16:30:57', 1496421057, 'Users=', 500, 'Duration=', 3, 'min')
('2017-06-02 16:33:57', 1496421237, 'Users=', 600, 'Duration=', 3, 'min')
