('2017-06-02 20:51:07', 1496436667, 'Users=', 3, 'Duration=', 3, 'min')
('2017-06-02 20:54:08', 1496436848, 'Users=', 5, 'Duration=', 3, 'min')
('2017-06-02 20:57:08', 1496437028, 'Users=', 10, 'Duration=', 3, 'min')
('2017-06-02 21:00:09', 1496437209, 'Users=', 20, 'Duration=', 3, 'min')
('2017-06-02 21:03:09', 1496437389, 'Users=', 50, 'Duration=', 3, 'min')
('2017-06-02 21:06:09', 1496437569, 'Users=', 100, 'Duration=', 3, 'min')
('2017-06-02 21:09:09', 1496437749, 'Users=', 150, 'Duration=', 3, 'min')
('2017-06-02 21:12:09', 1496437929, 'Users=', 200, 'Duration=', 3, 'min')
('2017-06-02 21:15:09', 1496438109, 'Users=', 250, 'Duration=', 3, 'min')
('2017-06-02 21:18:09', 1496438289, 'Users=', 300, 'Duration=', 3, 'min')
('2017-06-02 21:21:09', 1496438469, 'Users=', 350, 'Duration=', 3, 'min')
('2017-06-02 21:24:09', 1496438649, 'Users=', 400, 'Duration=', 3, 'min')
('2017-06-02 21:27:09', 1496438829, 'Users=', 500, 'Duration=', 3, 'min')
('2017-06-02 21:30:09', 1496439009, 'Users=', 600, 'Duration=', 3, 'min')
