('2017-06-02 18:40:36', 1496428836, 'Users=', 3, 'Duration=', 3, 'min')
('2017-06-02 18:43:36', 1496429016, 'Users=', 5, 'Duration=', 3, 'min')
('2017-06-02 18:46:36', 1496429196, 'Users=', 10, 'Duration=', 3, 'min')
('2017-06-02 18:49:36', 1496429376, 'Users=', 20, 'Duration=', 3, 'min')
('2017-06-02 18:52:36', 1496429556, 'Users=', 50, 'Duration=', 3, 'min')
('2017-06-02 18:55:36', 1496429736, 'Users=', 100, 'Duration=', 3, 'min')
('2017-06-02 18:58:37', 1496429917, 'Users=', 150, 'Duration=', 3, 'min')
('2017-06-02 19:01:37', 1496430097, 'Users=', 200, 'Duration=', 3, 'min')
('2017-06-02 19:04:37', 1496430277, 'Users=', 250, 'Duration=', 3, 'min')
('2017-06-02 19:07:37', 1496430457, 'Users=', 300, 'Duration=', 3, 'min')
('2017-06-02 19:10:37', 1496430637, 'Users=', 350, 'Duration=', 3, 'min')
('2017-06-02 19:13:37', 1496430817, 'Users=', 400, 'Duration=', 3, 'min')
('2017-06-02 19:16:37', 1496430997, 'Users=', 500, 'Duration=', 3, 'min')
('2017-06-02 19:19:37', 1496431177, 'Users=', 600, 'Duration=', 3, 'min')
